,arguments,hostname,name,path,pid,username
0,winlogon.exe,0000DCDSL,winlogon.exe,C:\Windows\system32,5492,NT AUTHORITY\SYSTEM
1,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",0000DCDSL,mchost.exe,C:\Program Files\Common Files\McAfee\Platform\Core,1353,avacarter
2,"""C:\Users\avacarter\AppData\Local\slack\app-3.1.1\slack.exe""",0000DCDSL,slack.exe,C:\Users\avacarter\AppData\Local\slack\app-3.1.1,2022,avacarter
3,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",0000DCDSL,McApExe.exe,C:\Program Files\Common Files\McAfee\VSCore_18_6,536,avacarter
4,C:\Windows\System32\spoolsv.exe,0000DCDSL,spoolsv.exe,C:\Windows\System32,816,NT AUTHORITY\SYSTEM
5,C:\ProgramData\McAfee\McInstruTrack\McInstruTrack.exe /SP:0,0000DCDSL,McInstruTrack.exe,C:\ProgramData\McAfee\McInstruTrack,1762,avacarter
6,C:\Windows\system32\svchost.exe -k netsvcs,0000DCDSL,svchost.exe,C:\Windows\system32,5704,NT AUTHORITY\SYSTEM
7,"C:\Windows\System32\reg.exe add ""HKEY_CURRENT_USER\Control Panel\Desktop"" /v ScreenSaverIsSecure /t REG_SZ /d 0 /f",0000DCDSL,reg.exe,C:\Windows\System32\reg.exe,4756,jam.evan
8,%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024 20480 768 Windows=On SubSystemType=Windows ServerDll=basesrv 1 ServerDll=winsrv:UserServerDllInitialization 3 ServerDll=winsrv:ConServerDllInitialization 2 ServerDll=sxssrv 4 ProfileControl=Off MaxRequestThreads=16,0000DCDSL,csrss.exe,C:\Windows\system32,772,NT AUTHORITY\SYSTEM
9,"C:\Windows\System32\reg.exe add ""HKEY_CURRENT_USER\Control Panel\Desktop"" /v ScreenSaveActive /t REG_SZ /d 1 /f",0000DCDSL,reg.exe,C:\Windows\System32\reg.exe,3472,avacarter
11,C:\Windows\system32\svchost.exe -k regsvc,0000DCDSL,svchost.exe,C:\Windows\system32,4260,NT AUTHORITY\SYSTEM
12,wininit.exe,0000DCDSL,wininit.exe,C:\Windows\system32,4520,NT AUTHORITY\SYSTEM
