,arguments,hostname,name,path,pid,username
0,"""C:\Program Files\Common Files\McAfee\PEF\CORE\PEFService.exe""",0000DPUEW,PEFService.exe,C:\Program Files\Common Files\McAfee\PEF\CORE,6297,martha.hay
1,C:\Windows\System32\spoolsv.exe,0000DPUEW,spoolsv.exe,C:\Windows\System32,6388,NT AUTHORITY\SYSTEM
2,"""C:\Users\martha.hay\AppData\Local\Temp\scoped_dir9616_4071\mcafee_trial_setup_433.0207.3919_key.exe"" ",0000DPUEW,mcafee_trial_setup_433.0207.3919_key.exe,C:\Users\martha.hay\AppData\Local\Temp\scoped_dir9616_4071,2386,martha.hay
3,C:\ProgramData\McAfee\McInstruTrack\McInstruTrack.exe /SP:0,0000DPUEW,McInstruTrack.exe,C:\ProgramData\McAfee\McInstruTrack,1159,martha.hay
4,"""C:\Program Files\CyberGhost 6\CyberGhost.Service.exe""",0000DPUEW,CyberGhost.Service.exe,C:\Program Files\CyberGhost 6,4840,eleanders38
5,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",0000DPUEW,McApExe.exe,C:\Program Files\Common Files\McAfee\VSCore_18_6,3686,martha.hay
6,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",0000DPUEW,mcshield.exe,C:\Program Files\Common Files\McAfee\AMCore,3433,martha.hay
7,C:\Windows\System32\msdtc.exe,0000DPUEW,msdtc.exe,C:\Windows\System32,6232,NT AUTHORITY\SYSTEM
8,C:\Windows\System32\pcalua.exe -a C:\Users\eleanders38\Downloads\winrnr.dll,0000DPUEW,pcalua.exe,C:\Windows\System32\pcalua.exe,5244,isabellesimmo
9,"""C:\Program Files (x86)\OpenOffice 4\program\soffice.exe"" ",0000DPUEW,soffice.exe,C:\Program Files (x86)\OpenOffice 4\program,4179,isabellesimmo
10,"""dwm.exe""",0000DPUEW,dwm.exe,C:\Windows\system32,1292,NT AUTHORITY\SYSTEM
12,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,0000DPUEW,svchost.exe,C:\Windows\System32,4268,NT AUTHORITY\SYSTEM
13,"""C:\Program Files\McAfee\MfeAV\MFEAvSvc.exe""",0000DPUEW,MFEAvSvc.exe,C:\Program Files\McAfee\MfeAV,2200,martha.hay
14,"""c:\program files\common files\mcafee\modulecore\modulecoreservice.exe""",0000DPUEW,modulecoreservice.exe,c:\program files\common files\mcafee\modulecore,4589,martha.hay
15,"""C:\Program Files (x86)\TeamViewer\TeamViewer.exe"" ",0000DPUEW,TeamViewer.exe,C:\Program Files (x86)\TeamViewer,4483,rubcol
16,C:\Windows\System32\svchost.exe -k termsvcs,0000DPUEW,svchost.exe,C:\Windows\System32,4692,NT AUTHORITY\SYSTEM
17,C:\Windows\system32\lsass.exe,0000DPUEW,lsass.exe,C:\Windows\system32,4308,NT AUTHORITY\SYSTEM
18,winlogon.exe,0000DPUEW,winlogon.exe,C:\Windows\system32,2448,NT AUTHORITY\SYSTEM
20,"""C:\Program Files\McAfee\WebAdvisor\ServiceHost.exe""",0000DPUEW,ServiceHost.exe,C:\Program Files\McAfee\WebAdvisor,4970,martha.hay
21,"""C:\Program Files\KeePassXC\KeePassXC.exe"" ",0000DPUEW,KeePassXC.exe,C:\Program Files\KeePassXC,6408,eleanders38
23,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,0000DPUEW,svchost.exe,C:\Windows\System32,4064,NT AUTHORITY\SYSTEM
25,C:\Windows\System32\reg.exe ADD HKLM\SYSTEM\CurrentControlSet\Control\Lsa /v Security Packages /t REG_expand_SZ /d C:\Windows\System32\setupapi.dll,0000DPUEW,reg.exe,C:\Windows\System32\reg.exe,2424,isabellesimmo
26,"""LogonUI.exe"" /flags:0x0",0000DPUEW,LogonUI.exe,C:\Windows\system32,1996,NT AUTHORITY\SYSTEM
27,"""C:\Program Files\Common Files\mcafee\Platform\mcuicnt.exe"" ""C:\Program Files\Common Files\McAfee\ActWiz\mcactwiz.dll"" nosplash:",0000DPUEW,mcuicnt.exe,C:\Program Files\Common Files\mcafee\Platform,3339,martha.hay
28,"""C:\Program Files (x86)\TeamViewer\tv_w32.exe"" --action hooks  --log C:\Program Files (x86)\TeamViewer\TeamViewer13_Logfile.log  ",0000DPUEW,tv_w32.exe,C:\Program Files (x86)\TeamViewer,2718,rubcol
29,C:\Windows\System32\svchost.exe -k utcsvc,0000DPUEW,svchost.exe,C:\Windows\System32,1432,NT AUTHORITY\SYSTEM
30,"""C:\Users\eleanders38\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=2685998191293934672 --lang=en-GB --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=2685998191293934672 --renderer-client-id=12 --mojo-platform-channel-handle=4360 /prefetch:1",0000DPUEW,opera.exe,C:\Users\eleanders38\AppData\Local\Programs\Opera\56.0.3051.52,2018,eleanders38
31,C:\ProgramData\McAfee\Direct\McDiReg.exe -MONITOR_PI2 9508,0000DPUEW,McDiReg.exe,C:\ProgramData\McAfee\Direct,1114,martha.hay
32,C:\Windows\system32\svchost.exe -k LocalService,0000DPUEW,svchost.exe,C:\Windows\system32,3644,NT AUTHORITY\SYSTEM
33,"""C:\Users\rubcol\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",0000DPUEW,OneDrive.exe,C:\Users\rubcol\AppData\Local\Microsoft\OneDrive,3444,rubcol
35,C:\Windows\Explorer.EXE,0000DPUEW,Explorer.EXE,C:\Windows,5084,NT AUTHORITY\SYSTEM
36,"""C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE"" MMSCOM homenetsvc",0000DPUEW,MMSSHOST.EXE,C:\Program Files\Common Files\McAfee\MMSSHost,4706,martha.hay
40,,0000DPUEW,Narrator.exe,C:\Windows\System32\Narrator.exe,2260,NT AUTHORITY\SYSTEM
41,"""C:\Program Files (x86)\OpenOffice 4\program\soffice.exe"" ""-env:OOO_CWD=2C:\\Program Files (x86)\\OpenOffice 4""",0000DPUEW,soffice.bin,C:\Program Files (x86)\OpenOffice 4\program,4678,isabellesimmo
45,"""C:\Users\eleanders38\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=gpu-process --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --gpu-preferences=KAAAAAAAAACAAwBAAQAAAAAAAAAAAGAAAAAAAAAAAAAIAAAAAAAAACgAAAAEAAAAIAAAAAAAAAAoAAAAAAAAADAAAAAAAAAAOAAAAAAAAAAQAAAAAAAAAAAAAAAKAAAAEAAAAAAAAAAAAAAACwAAABAAAAAAAAAAAQAAAAoAAAAQAAAAAAAAAAEAAAALAAAA --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --service-request-channel-token=7207758415534163028 --mojo-platform-channel-handle=1472 --ignored="" --type=renderer "" /prefetch:2",0000DPUEW,opera.exe,C:\Users\eleanders38\AppData\Local\Programs\Opera\56.0.3051.52,736,eleanders38
46,"""C:\Users\eleanders38\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=16451249972883912486 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=16451249972883912486 --renderer-client-id=4 --mojo-platform-channel-handle=3140 /prefetch:1",0000DPUEW,opera.exe,C:\Users\eleanders38\AppData\Local\Programs\Opera\56.0.3051.52,463,eleanders38
47,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",0000DPUEW,ProtectedModuleHost.exe,C:\Program Files\Common Files\McAfee\ModuleCore,3085,martha.hay
48,"""C:\Windows\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe"" -ServerName:ContentProcess.AppX6z3cwk4fvgady6zya12j1cw28d228a7k.mca",0000DPUEW,MicrosoftEdgeCP.exe,C:\Windows\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe,4647,isabellesimmo
49,C:\Windows\system32\svchost.exe -k RPCSS,0000DPUEW,svchost.exe,C:\Windows\system32,6464,NT AUTHORITY\SYSTEM
50,"""C:\Program Files\PuTTY\putty.exe"" ",0000DPUEW,putty.exe,C:\Program Files\PuTTY,1058,eleanders38
51,wininit.exe,0000DPUEW,wininit.exe,C:\Windows\system32,1176,NT AUTHORITY\SYSTEM
53,"""dwm.exe""",0000DPUEW,dwm.exe,C:\Windows\system32,2968,NT AUTHORITY\SYSTEM
54,"""C:\Users\eleanders38\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=12376823585177401963 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=12376823585177401963 --renderer-client-id=7 --mojo-platform-channel-handle=2368 /prefetch:1",0000DPUEW,opera.exe,C:\Users\eleanders38\AppData\Local\Programs\Opera\56.0.3051.52,4989,eleanders38
55,"""C:\Users\eleanders38\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --start-maximized --ran-launcher",0000DPUEW,opera.exe,C:\Users\eleanders38\AppData\Local\Programs\Opera\56.0.3051.52,2745,eleanders38
56,C:\Windows\system32\svchost.exe -k DcomLaunch,0000DPUEW,svchost.exe,C:\Windows\system32,2824,NT AUTHORITY\SYSTEM
57,C:\Windows\system32\wbem\wmiprvse.exe,0000DPUEW,wmiprvse.exe,C:\Windows\system32\wbem,3992,NT AUTHORITY\SYSTEM
59,ModuleCoreService.exe /startUserModeHosting=4_TIME_TO_DIE,0000DPUEW,ModuleCoreService.exe,c:\program files\common files\mcafee\modulecore,2793,martha.hay
60,"""C:\Users\eleanders38\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=6930244878569528683 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6930244878569528683 --renderer-client-id=3 --mojo-platform-channel-handle=2904 /prefetch:1",0000DPUEW,opera.exe,C:\Users\eleanders38\AppData\Local\Programs\Opera\56.0.3051.52,3452,eleanders38
62,"C:\Users\eleanders38\AppData\Local\Programs\Opera\56.0.3051.52\opera_crashreporter.exe --type=crashpad-handler /prefetch:7 --monitor-self-annotation=ptype=crashpad-handler ""--database=C:\Users\eleanders38\AppData\Roaming\Opera Software\Opera Stable\Crash Reports"" ""--crash-count-file=C:\Users\eleanders38\AppData\Roaming\Opera Software\Opera Stable\crash_count.txt"" --url=https://crashstats-collector.opera.com/collector/submit --annotation=channel=Stable --annotation=plat=Win64 --annotation=prod=OperaDesktop --annotation=ver=56.0.3051.52 --initial-client-data=0x238 0x304 0x30c 0x320 0x308 0x7ffb51313108 0x7ffb51313118 0x7ffb51313128",0000DPUEW,opera_crashreporter.exe,C:\Users\eleanders38\AppData\Local\Programs\Opera\56.0.3051.52,1207,eleanders38
