,arguments,hostname,name,path,pid,username
0,C:\Windows\system32\svchost.exe -k DcomLaunch,0000DPUNE,svchost.exe,C:\Windows\system32,3888,NT AUTHORITY\SYSTEM
1,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,0000DPUNE,svchost.exe,C:\Windows\System32,848,NT AUTHORITY\SYSTEM
2,C:\Windows\System32\msdtc.exe,0000DPUNE,msdtc.exe,C:\Windows\System32,5604,NT AUTHORITY\SYSTEM
3,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",0000DPUNE,mchost.exe,C:\Program Files\Common Files\McAfee\Platform\Core,5376,isabellgonza5
4,"""C:\Users\carsmorg16\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=6930244878569528683 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6930244878569528683 --renderer-client-id=3 --mojo-platform-channel-handle=2904 /prefetch:1",0000DPUNE,opera.exe,C:\Users\carsmorg16\AppData\Local\Programs\Opera\56.0.3051.52,4866,carsmorg16
5,"""C:\Program Files\Common Files\McAfee\TaskScheduler\McAMTaskAgent.exe"" -Embedding",0000DPUNE,McAMTaskAgent.exe,C:\Program Files\Common Files\McAfee\TaskScheduler,3723,isabellgonza5
6,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",0000DPUNE,mcshield.exe,C:\Program Files\Common Files\McAfee\AMCore,708,isabellgonza5
7,"""C:\Program Files\WindowsApps\Microsoft.MicrosoftStickyNotes_3.0.119.0_x64__8wekyb3d8bbwe\Microsoft.Notes.exe"" -ServerName:App.AppX495fygk72hjw82j58ny5h3nr8hpsd8vs.mca",0000DPUNE,Microsoft.Notes.exe,C:\Program Files\WindowsApps\Microsoft.MicrosoftStickyNotes_3.0.119.0_x64__8wekyb3d8bbwe,4114,darci.wood8
8,"""C:\Users\isabellgonza5\AppData\Local\GitHubDesktop\app-1.4.3\GitHubDesktop.exe"" --squirrel-firstrun",0000DPUNE,GitHubDesktop.exe,C:\Users\isabellgonza5\AppData\Local\GitHubDesktop\app-1.4.3,3819,isabellgonza5
9,"""C:\Windows\system32\mspaint.exe"" ",0000DPUNE,mspaint.exe,C:\Windows\system32,3569,lucaswashin43
10,"""C:\Users\carsmorg16\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=12376823585177401963 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=12376823585177401963 --renderer-client-id=7 --mojo-platform-channel-handle=2368 /prefetch:1",0000DPUNE,opera.exe,C:\Users\carsmorg16\AppData\Local\Programs\Opera\56.0.3051.52,3799,carsmorg16
11,C:\Windows\system32\svchost.exe -k LocalService,0000DPUNE,svchost.exe,C:\Windows\system32,3232,NT AUTHORITY\SYSTEM
12,"""LogonUI.exe"" /flags:0x0",0000DPUNE,LogonUI.exe,C:\Windows\system32,5840,NT AUTHORITY\SYSTEM
13,"""C:\Program Files\McAfee\MAT\McPvTray.exe""",0000DPUNE,McPvTray.exe,C:\Program Files\McAfee\MAT,5024,isabellgonza5
14,"""C:\Program Files\Common Files\McAfee\CSP\3.0.127.0\\McCSPServiceHost.exe""",0000DPUNE,McCSPServiceHost.exe,C:\Program Files\Common Files\McAfee\CSP\3.0.127.0,2364,isabellgonza5
17,"""C:\Program Files\Wireshark\Wireshark.exe"" ",0000DPUNE,Wireshark.exe,C:\Program Files\Wireshark,669,isabellgonza5
18,C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted,0000DPUNE,svchost.exe,C:\Windows\system32,3272,NT AUTHORITY\SYSTEM
19,"""dwm.exe""",0000DPUNE,dwm.exe,C:\Windows\system32,4388,NT AUTHORITY\SYSTEM
