,arguments,hostname,name,path,pid,username
0,"""C:\Users\jasmin.washin\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=6930244878569528683 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6930244878569528683 --renderer-client-id=3 --mojo-platform-channel-handle=2904 /prefetch:1",0000KTXWS,opera.exe,C:\Users\jasmin.washin\AppData\Local\Programs\Opera\56.0.3051.52,2804,jasmin.washin
1,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",0000KTXWS,McApExe.exe,C:\Program Files\Common Files\McAfee\VSCore_18_6,5124,lea.russel33
2,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",0000KTXWS,mchost.exe,C:\Program Files\Common Files\McAfee\Platform\Core,1435,lea.russel33
3,C:\Windows\System32\svchost.exe -k termsvcs,0000KTXWS,svchost.exe,C:\Windows\System32,5988,NT AUTHORITY\SYSTEM
4,C:\Windows\System32\msdtc.exe,0000KTXWS,msdtc.exe,C:\Windows\System32,4520,NT AUTHORITY\SYSTEM
5,"""C:\Program Files\McAfee\MfeAV\MFEAvSvc.exe""",0000KTXWS,MFEAvSvc.exe,C:\Program Files\McAfee\MfeAV,6398,lea.russel33
6,"""C:\Users\jasmin.washin\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=12376823585177401963 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=12376823585177401963 --renderer-client-id=7 --mojo-platform-channel-handle=2368 /prefetch:1",0000KTXWS,opera.exe,C:\Users\jasmin.washin\AppData\Local\Programs\Opera\56.0.3051.52,4307,jasmin.washin
7,"""C:\Windows\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe"" -ServerName:ContentProcess.AppX6z3cwk4fvgady6zya12j1cw28d228a7k.mca",0000KTXWS,MicrosoftEdgeCP.exe,C:\Windows\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe,1017,lotti.richards
8,C:\ProgramData\McAfee\Direct\McDiReg.exe -MONITOR_PI2 9508,0000KTXWS,McDiReg.exe,C:\ProgramData\McAfee\Direct,5102,lea.russel33
9,"""C:\Users\lea.russel33\AppData\Local\Temp\scoped_dir9616_4071\mcafee_trial_setup_433.0207.3919_key.exe"" ",0000KTXWS,mcafee_trial_setup_433.0207.3919_key.exe,C:\Users\lea.russel33\AppData\Local\Temp\scoped_dir9616_4071,1651,lea.russel33
