,arguments,hostname,name,path,pid,username
0,C:\Windows\System32\spoolsv.exe,0000TEBSC,spoolsv.exe,C:\Windows\System32,5080,NT AUTHORITY\SYSTEM
1,"""C:\Windows\system32\Dwm.exe""",0000TEBSC,Dwm.exe,C:\Windows\system32,5100,NT AUTHORITY\SYSTEM
3,"""C:\Users\zarwatso67\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=16451249972883912486 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=16451249972883912486 --renderer-client-id=4 --mojo-platform-channel-handle=3140 /prefetch:1",0000TEBSC,opera.exe,C:\Users\zarwatso67\AppData\Local\Programs\Opera\56.0.3051.52,2610,zarwatso67
4,"""LogonUI.exe"" /flags:0x0",0000TEBSC,LogonUI.exe,C:\Windows\system32,3312,NT AUTHORITY\SYSTEM
5,"""C:\Program Files (x86)\Common Files\VMware\USB\vmware-usbarbitrator64.exe""",0000TEBSC,vmware-usbarbitrator64.exe,C:\Program Files (x86)\Common Files\VMware\USB,2520,iankel
6,"usr\bin\mintty.exe --nodaemon -o AppID=GitForWindows.Bash -o AppLaunchCmd=""C:\Program Files\Git\git-bash.exe"" -o AppName=""Git Bash"" -i ""C:\Program Files\Git\git-bash.exe"" --store-taskbar-properties -- /usr/bin/bash --login -i",0000TEBSC,mintty.exe,C:\Program Files\Git\usr\bin,1462,ivy.hil
7,C:\Windows\system32\svchost.exe -k netsvcs,0000TEBSC,svchost.exe,C:\Windows\system32,2756,NT AUTHORITY\SYSTEM
8,C:\Windows\System32\svchost.exe -k termsvcs,0000TEBSC,svchost.exe,C:\Windows\System32,1068,NT AUTHORITY\SYSTEM
9,C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted,0000TEBSC,svchost.exe,C:\Windows\system32,432,NT AUTHORITY\SYSTEM
10,"""C:\Program Files\McAfee\WebAdvisor\ServiceHost.exe""",0000TEBSC,ServiceHost.exe,C:\Program Files\McAfee\WebAdvisor,5429,laceylee9
11,"""C:\Program Files\Common Files\McAfee\TaskScheduler\McAMTaskAgent.exe"" -Embedding",0000TEBSC,McAMTaskAgent.exe,C:\Program Files\Common Files\McAfee\TaskScheduler,646,laceylee9
12,"""C:\Users\zarwatso67\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=6930244878569528683 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6930244878569528683 --renderer-client-id=3 --mojo-platform-channel-handle=2904 /prefetch:1",0000TEBSC,opera.exe,C:\Users\zarwatso67\AppData\Local\Programs\Opera\56.0.3051.52,4145,zarwatso67
13,"""C:\Users\zarwatso67\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=2685998191293934672 --lang=en-GB --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=2685998191293934672 --renderer-client-id=12 --mojo-platform-channel-handle=4360 /prefetch:1",0000TEBSC,opera.exe,C:\Users\zarwatso67\AppData\Local\Programs\Opera\56.0.3051.52,947,zarwatso67
14,C:\Windows\system32\svchost.exe -k DcomLaunch,0000TEBSC,svchost.exe,C:\Windows\system32,5428,NT AUTHORITY\SYSTEM
15,"""C:\Program Files\Common Files\McAfee\CSP\3.0.127.0\\McCSPServiceHost.exe""",0000TEBSC,McCSPServiceHost.exe,C:\Program Files\Common Files\McAfee\CSP\3.0.127.0,4918,laceylee9
16,C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235},0000TEBSC,dllhost.exe,C:\Windows\system32,4812,NT AUTHORITY\SYSTEM
