,arguments,hostname,name,path,pid,username
0,C:\Windows\system32\SearchIndexer.exe /Embedding,0000TEBSE,SearchIndexer.exe,C:\Windows\system32,6432,NT AUTHORITY\SYSTEM
1,c:\windows\system32\svchost.exe -k networkservice -p -s NlaSvc,0000TEBSE,svchost.exe,c:\windows\system32,3112,NT AUTHORITY\SYSTEM
2,c:\windows\system32\svchost.exe -k localservicenetworkrestricted -s BTAGService,0000TEBSE,svchost.exe,c:\windows\system32,4652,NT AUTHORITY\SYSTEM
3,,0000TEBSE,services.exe,,5052,NT AUTHORITY\SYSTEM
4,C:\Windows\system32\svchost.exe -k imgsvc,0000TEBSE,svchost.exe,C:\Windows\system32,3832,NT AUTHORITY\SYSTEM
5,c:\windows\system32\svchost.exe -k localservicenetworkrestricted -p -s wscsvc,0000TEBSE,svchost.exe,c:\windows\system32,592,NT AUTHORITY\SYSTEM
6,C:\Windows\system32\svchost.exe -k DcomLaunch -p,0000TEBSE,svchost.exe,C:\Windows\system32,5692,NT AUTHORITY\SYSTEM
7,"""C:\Program Files (x86)\Common Files\Java\Java Update\jusched.exe"" ",0000TEBSE,jusched.exe,C:\Program Files (x86)\Common Files\Java\Java Update,4236,NT AUTHORITY\SYSTEM
8,C:\Windows\System32\RuntimeBroker.exe -Embedding,0000TEBSE,RuntimeBroker.exe,C:\Windows\System32,412,NT AUTHORITY\SYSTEM
9,C:\Windows\system32\SettingSyncHost.exe -Embedding,0000TEBSE,SettingSyncHost.exe,C:\Windows\system32,3660,NT AUTHORITY\SYSTEM
10,c:\windows\system32\svchost.exe -k netsvcs -p -s iphlpsvc,0000TEBSE,svchost.exe,c:\windows\system32,4040,NT AUTHORITY\SYSTEM
11,c:\windows\system32\svchost.exe -k dcomlaunch -p -s PlugPlay,0000TEBSE,svchost.exe,c:\windows\system32,2776,NT AUTHORITY\SYSTEM
12,C:\Windows\system32\lsass.exe,0000TEBSE,lsass.exe,C:\Windows\system32,3492,NT AUTHORITY\SYSTEM
13,c:\windows\system32\svchost.exe -k netsvcs -p,0000TEBSE,svchost.exe,c:\windows\system32,2760,NT AUTHORITY\SYSTEM
14,c:\windows\system32\svchost.exe -k unistacksvcgroup,0000TEBSE,svchost.exe,c:\windows\system32,960,NT AUTHORITY\SYSTEM
15,"""C:\Users\darc.flore1\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=2685998191293934672 --lang=en-GB --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=2685998191293934672 --renderer-client-id=12 --mojo-platform-channel-handle=4360 /prefetch:1",0000TEBSE,opera.exe,C:\Users\darc.flore1\AppData\Local\Programs\Opera\56.0.3051.52,3697,darc.flore1
16,c:\windows\system32\svchost.exe -k netsvcs -p -s ProfSvc,0000TEBSE,svchost.exe,c:\windows\system32,3788,NT AUTHORITY\SYSTEM
17,c:\windows\system32\svchost.exe -k netsvcs -p -s UserManager,0000TEBSE,svchost.exe,c:\windows\system32,1228,NT AUTHORITY\SYSTEM
18,"""C:\Users\darc.flore1\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --start-maximized --ran-launcher",0000TEBSE,opera.exe,C:\Users\darc.flore1\AppData\Local\Programs\Opera\56.0.3051.52,2955,darc.flore1
19,"""C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe"" -ServerName:App.AppXtk181tbxbce2qsex02s8tw7hfxa9xb3t.mca",0000TEBSE,ShellExperienceHost.exe,C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy,2348,NT AUTHORITY\SYSTEM
