,arguments,hostname,name,path,pid,username
0,"""C:\Program Files\CCleaner\CCleaner.exe"" /MONITOR /uac",0000ZIFSB,CCleaner64.exe,C:\Program Files\CCleaner,3056,rub.hug83
1,C:\Windows\System32\svchost.exe -k utcsvc,0000ZIFSB,svchost.exe,C:\Windows\System32,5344,NT AUTHORITY\SYSTEM
2,"""LogonUI.exe"" /flags:0x0 /state0:0xa3a5d855 /state1:0x41c64e6d",0000ZIFSB,LogonUI.exe,C:\Windows\system32,1740,NT AUTHORITY\SYSTEM
3,"""C:\Users\zarwatso67\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",0000ZIFSB,OneDrive.exe,C:\Users\zarwatso67\AppData\Local\Microsoft\OneDrive,4715,zarwatso67
4,C:\Windows\System32\RuntimeBroker.exe -Embedding,0000ZIFSB,RuntimeBroker.exe,C:\Windows\System32,1456,NT AUTHORITY\SYSTEM
5,C:\Windows\Explorer.EXE,0000ZIFSB,Explorer.EXE,C:\Windows,1452,NT AUTHORITY\SYSTEM
6,C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted,0000ZIFSB,svchost.exe,C:\Windows\system32,524,NT AUTHORITY\SYSTEM
7,"""dwm.exe""",0000ZIFSB,dwm.exe,C:\Windows\system32,6156,NT AUTHORITY\SYSTEM
8,C:\Windows\System32\svchost.exe -k termsvcs,0000ZIFSB,svchost.exe,C:\Windows\System32,5332,NT AUTHORITY\SYSTEM
9,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",0000ZIFSB,mchost.exe,C:\Program Files\Common Files\McAfee\Platform\Core,4548,Administrator
10,C:\ProgramData\McAfee\McInstruTrack\McInstruTrack.exe /SP:0,0000ZIFSB,McInstruTrack.exe,C:\ProgramData\McAfee\McInstruTrack,2300,Administrator
11,taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E},0000ZIFSB,taskhostw.exe,C:\Windows\System32,6140,NT AUTHORITY\SYSTEM
12,"""C:\Program Files\Windows Defender\\MpCmdRun.exe"" SpyNetServiceDss -RestrictPrivileges -AccessKey 5BDCBEBD-E077-6957-0484-82901932C7EC -Reinvoke",0000ZIFSB,MpCmdRun.exe,C:\Program Files\Windows Defender,1988,NT AUTHORITY\SYSTEM
13,\??\C:\Windows\system32\conhost.exe 0x4,0000ZIFSB,conhost.exe,C:\Windows\system32,1204,NT AUTHORITY\SYSTEM
14,"""C:\Program Files\McAfee\MAT\McPvTray.exe""",0000ZIFSB,McPvTray.exe,C:\Program Files\McAfee\MAT,2970,Administrator
15,C:\Windows\system32\svchost.exe -k NetworkService,0000ZIFSB,svchost.exe,C:\Windows\system32,5588,NT AUTHORITY\SYSTEM
16,"""C:\Users\jesale23\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=2685998191293934672 --lang=en-GB --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=2685998191293934672 --renderer-client-id=12 --mojo-platform-channel-handle=4360 /prefetch:1",0000ZIFSB,opera.exe,C:\Users\jesale23\AppData\Local\Programs\Opera\56.0.3051.52,3705,jesale23
17,"""C:\Program Files\CCleaner\CCleaner.exe"" /uac",0000ZIFSB,CCleaner64.exe,C:\Program Files\CCleaner,2555,Administrator
18,C:\Windows\system32\svchost.exe -k DcomLaunch,0000ZIFSB,svchost.exe,C:\Windows\system32,1116,NT AUTHORITY\SYSTEM
19,sihost.exe,0000ZIFSB,sihost.exe,C:\Windows\System32,2352,NT AUTHORITY\SYSTEM
22,winlogon.exe,0000ZIFSB,winlogon.exe,C:\Windows\system32,1676,NT AUTHORITY\SYSTEM
23,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",0000ZIFSB,mcshield.exe,C:\Program Files\Common Files\McAfee\AMCore,6440,Administrator
24,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",0000ZIFSB,UIHost.exe,C:\Program Files\McAfee\WebAdvisor,6169,Administrator
25,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",0000ZIFSB,McApExe.exe,C:\Program Files\Common Files\McAfee\VSCore_18_6,1620,Administrator
26,C:\ProgramData\McAfee\Direct\McDiReg.exe -MONITOR_PI2 9508,0000ZIFSB,McDiReg.exe,C:\ProgramData\McAfee\Direct,956,Administrator
27,"""C:\Program Files\McAfee\MfeAV\MFEAvSvc.exe""",0000ZIFSB,MFEAvSvc.exe,C:\Program Files\McAfee\MfeAV,6450,Administrator
28,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" ",0000ZIFSB,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0,1351,jesale23
29,"""C:\Program Files\Common Files\McAfee\TaskScheduler\McAMTaskAgent.exe"" -Embedding",0000ZIFSB,McAMTaskAgent.exe,C:\Program Files\Common Files\McAfee\TaskScheduler,6087,Administrator
30,"""C:\Users\jesale23\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --start-maximized --ran-launcher",0000ZIFSB,opera.exe,C:\Users\jesale23\AppData\Local\Programs\Opera\56.0.3051.52,2371,jesale23
31,"""C:\Program Files\Common Files\McAfee\PEF\CORE\PEFService.exe""",0000ZIFSB,PEFService.exe,C:\Program Files\Common Files\McAfee\PEF\CORE,2171,Administrator
