,arguments,hostname,name,path,pid,username
0,"""c:\program files\common files\mcafee\modulecore\modulecoreservice.exe""",0001DPUNN,modulecoreservice.exe,c:\program files\common files\mcafee\modulecore,6250,nicbell76
1,C:\Windows\system32\svchost.exe -k LocalService,0001DPUNN,svchost.exe,C:\Windows\system32,1228,NT AUTHORITY\SYSTEM
2,winlogon.exe,0001DPUNN,winlogon.exe,C:\Windows\system32,1480,NT AUTHORITY\SYSTEM
3,C:\Windows\system32\lsass.exe,0001DPUNN,lsass.exe,C:\Windows\system32,2028,NT AUTHORITY\SYSTEM
4,%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024 20480 768 Windows=On SubSystemType=Windows ServerDll=basesrv 1 ServerDll=winsrv:UserServerDllInitialization 3 ServerDll=winsrv:ConServerDllInitialization 2 ServerDll=sxssrv 4 ProfileControl=Off MaxRequestThreads=16,0001DPUNN,csrss.exe,C:\Windows\system32,3760,NT AUTHORITY\SYSTEM
6,"""C:\Program Files\Common Files\mcafee\Platform\mcuicnt.exe"" ""C:\Program Files\Common Files\McAfee\ActWiz\mcactwiz.dll"" nosplash:",0001DPUNN,mcuicnt.exe,C:\Program Files\Common Files\mcafee\Platform,6462,nicbell76
7,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,0001DPUNN,svchost.exe,C:\Windows\System32,1000,NT AUTHORITY\SYSTEM
8,"""C:\Users\xav.par72\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=2685998191293934672 --lang=en-GB --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=2685998191293934672 --renderer-client-id=12 --mojo-platform-channel-handle=4360 /prefetch:1",0001DPUNN,opera.exe,C:\Users\xav.par72\AppData\Local\Programs\Opera\56.0.3051.52,4034,xav.par72
9,"""C:\Program Files\Common Files\McAfee\PEF\CORE\PEFService.exe""",0001DPUNN,PEFService.exe,C:\Program Files\Common Files\McAfee\PEF\CORE,428,nicbell76
10,"""C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1809.2731.0_x64__8wekyb3d8bbwe\Calculator.exe"" -ServerName:App.AppXsm3pg4n7er43kdh1qp4e79f1j7am68r8.mca",0001DPUNN,Calculator.exe,C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1809.2731.0_x64__8wekyb3d8bbwe,5066,mat.robinson7
