,arguments,hostname,name,path,pid,username
0,"""C:\Users\lotti.richards\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",0001FSIEW,OneDrive.exe,C:\Users\lotti.richards\AppData\Local\Microsoft\OneDrive,3788,lotti.richards
1,"""dwm.exe""",0001FSIEW,dwm.exe,C:\Windows\system32,4464,NT AUTHORITY\SYSTEM
2,"""C:\Users\martha.hay\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=gpu-process --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --gpu-preferences=KAAAAAAAAACAAwBAAQAAAAAAAAAAAGAAAAAAAAAAAAAIAAAAAAAAACgAAAAEAAAAIAAAAAAAAAAoAAAAAAAAADAAAAAAAAAAOAAAAAAAAAAQAAAAAAAAAAAAAAAKAAAAEAAAAAAAAAAAAAAACwAAABAAAAAAAAAAAQAAAAoAAAAQAAAAAAAAAAEAAAALAAAA --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --service-request-channel-token=7207758415534163028 --mojo-platform-channel-handle=1472 --ignored="" --type=renderer "" /prefetch:2",0001FSIEW,opera.exe,C:\Users\martha.hay\AppData\Local\Programs\Opera\56.0.3051.52,4447,martha.hay
3,ModuleCoreService.exe /startUserModeHosting=4_TIME_TO_DIE,0001FSIEW,ModuleCoreService.exe,c:\program files\common files\mcafee\modulecore,2603,mat.robinson7
4,"""C:\Program Files (x86)\TeamViewer\TeamViewer_Service.exe""",0001FSIEW,TeamViewer_Service.exe,C:\Program Files (x86)\TeamViewer,1398,nicbell76
5,"""C:\Program Files\Common Files\mcafee\Platform\mcuicnt.exe"" ""C:\Program Files\Common Files\McAfee\ActWiz\mcactwiz.dll"" nosplash:",0001FSIEW,mcuicnt.exe,C:\Program Files\Common Files\mcafee\Platform,2311,mat.robinson7
6,C:\Windows\System32\msdtc.exe,0001FSIEW,msdtc.exe,C:\Windows\System32,4564,NT AUTHORITY\SYSTEM
7,taskhostex.exe ,0001FSIEW,taskhostex.exe,C:\Windows\system32,2468,NT AUTHORITY\SYSTEM
8,"""C:\Program Files (x86)\TeamViewer\TeamViewer.exe"" ",0001FSIEW,TeamViewer.exe,C:\Program Files (x86)\TeamViewer,5193,nicbell76
9,C:\Windows\system32\svchost.exe -k NetworkService,0001FSIEW,svchost.exe,C:\Windows\system32,2944,NT AUTHORITY\SYSTEM
10,"""C:\Ruby24-x64\bin\ruby.exe"" ",0001FSIEW,ruby.exe,C:\Ruby24-x64\bin,868,lotti.richards
11,"""C:\Users\mat.robinson7\AppData\Local\Temp\scoped_dir9616_4071\mcafee_trial_setup_433.0207.3919_key.exe"" ",0001FSIEW,mcafee_trial_setup_433.0207.3919_key.exe,C:\Users\mat.robinson7\AppData\Local\Temp\scoped_dir9616_4071,1023,mat.robinson7
12,"""C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1809.2731.0_x64__8wekyb3d8bbwe\Calculator.exe"" -ServerName:App.AppXsm3pg4n7er43kdh1qp4e79f1j7am68r8.mca",0001FSIEW,Calculator.exe,C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1809.2731.0_x64__8wekyb3d8bbwe,3112,nicbell76
13,C:\Windows\System32\spoolsv.exe,0001FSIEW,spoolsv.exe,C:\Windows\System32,4100,NT AUTHORITY\SYSTEM
14,C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork,0001FSIEW,svchost.exe,C:\Windows\system32,4700,NT AUTHORITY\SYSTEM
15,C:\Windows\system32\svchost.exe -k netsvcs,0001FSIEW,svchost.exe,C:\Windows\system32,4380,NT AUTHORITY\SYSTEM
16,"C:\WINDOWS\system32\cmd.exe /c """"C:\Ruby24-x64\bin\irb.cmd"" """,0001FSIEW,cmd.exe,C:\WINDOWS\system32,1460,lotti.richards
18,C:\ProgramData\McAfee\Direct\McDiReg.exe -MONITOR_PI2 9508,0001FSIEW,McDiReg.exe,C:\ProgramData\McAfee\Direct,2869,mat.robinson7
19,C:\Windows\system32\svchost.exe -k RPCSS,0001FSIEW,svchost.exe,C:\Windows\system32,3144,NT AUTHORITY\SYSTEM
20,"C:\Users\martha.hay\AppData\Local\Programs\Opera\56.0.3051.52\opera_crashreporter.exe --type=crashpad-handler /prefetch:7 --monitor-self-annotation=ptype=crashpad-handler ""--database=C:\Users\martha.hay\AppData\Roaming\Opera Software\Opera Stable\Crash Reports"" ""--crash-count-file=C:\Users\martha.hay\AppData\Roaming\Opera Software\Opera Stable\crash_count.txt"" --url=https://crashstats-collector.opera.com/collector/submit --annotation=channel=Stable --annotation=plat=Win64 --annotation=prod=OperaDesktop --annotation=ver=56.0.3051.52 --initial-client-data=0x238 0x304 0x30c 0x320 0x308 0x7ffb51313108 0x7ffb51313118 0x7ffb51313128",0001FSIEW,opera_crashreporter.exe,C:\Users\martha.hay\AppData\Local\Programs\Opera\56.0.3051.52,6269,martha.hay
21,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,0001FSIEW,svchost.exe,C:\Windows\System32,3456,NT AUTHORITY\SYSTEM
22,"""c:\program files\common files\mcafee\modulecore\modulecoreservice.exe""",0001FSIEW,modulecoreservice.exe,c:\program files\common files\mcafee\modulecore,1332,mat.robinson7
23,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",0001FSIEW,mchost.exe,C:\Program Files\Common Files\McAfee\Platform\Core,2031,mat.robinson7
24,C:\Windows\system32\wbem\wmiprvse.exe,0001FSIEW,wmiprvse.exe,C:\Windows\system32\wbem,4052,NT AUTHORITY\SYSTEM
25,"""C:\Program Files (x86)\Common Files\VMware\USB\vmware-usbarbitrator64.exe""",0001FSIEW,vmware-usbarbitrator64.exe,C:\Program Files (x86)\Common Files\VMware\USB,435,annagra
26,C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted,0001FSIEW,svchost.exe,C:\Windows\system32,528,NT AUTHORITY\SYSTEM
27,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",0001FSIEW,UIHost.exe,C:\Program Files\McAfee\WebAdvisor,3738,mat.robinson7
28,"""C:\Program Files (x86)\TeamViewer\tv_w32.exe"" --action hooks  --log C:\Program Files (x86)\TeamViewer\TeamViewer13_Logfile.log  ",0001FSIEW,tv_w32.exe,C:\Program Files (x86)\TeamViewer,3003,nicbell76
30,"""C:\ProgramData\McAfee\Direct\McDiReg.exe"" ",0001FSIEW,McDiReg.exe,C:\ProgramData\McAfee\Direct,621,mat.robinson7
31,C:\Windows\Explorer.EXE,0001FSIEW,Explorer.EXE,C:\Windows,5644,NT AUTHORITY\SYSTEM
