,arguments,hostname,name,path,pid,username
0,C:\Windows\system32\SearchIndexer.exe /Embedding,0001FSIWW,SearchIndexer.exe,C:\Windows\system32,4128,NT AUTHORITY\SYSTEM
1,"""C:\Program Files\McAfee\MAT\McPvTray.exe""",0001FSIWW,McPvTray.exe,C:\Program Files\McAfee\MAT,4810,roby.pet
2,"""C:\Windows\system32\SearchProtocolHost.exe"" Global\UsGthrFltPipeMssGthrPipe15_ Global\UsGthrCtrlFltPipeMssGthrPipe15 1 -2147483646 ""Software\Microsoft\Windows Search"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)"" ""C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc"" ""DownLevelDaemon"" ",0001FSIWW,SearchProtocolHost.exe,C:\Windows\system32,5572,NT AUTHORITY\SYSTEM
3,"""C:\Program Files\Common Files\McAfee\PEF\CORE\PEFService.exe""",0001FSIWW,PEFService.exe,C:\Program Files\Common Files\McAfee\PEF\CORE,1056,roby.pet
4,"""C:\Users\luc.jam\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=2685998191293934672 --lang=en-GB --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=2685998191293934672 --renderer-client-id=12 --mojo-platform-channel-handle=4360 /prefetch:1",0001FSIWW,opera.exe,C:\Users\luc.jam\AppData\Local\Programs\Opera\56.0.3051.52,5026,luc.jam
5,C:\Windows\Explorer.EXE,0001FSIWW,Explorer.EXE,C:\Windows,4856,NT AUTHORITY\SYSTEM
6,"""C:\ProgramData\McAfee\Direct\McDiReg.exe"" ",0001FSIWW,McDiReg.exe,C:\ProgramData\McAfee\Direct,3676,roby.pet
7,C:\ProgramData\McAfee\McInstruTrack\McInstruTrack.exe /SP:0,0001FSIWW,McInstruTrack.exe,C:\ProgramData\McAfee\McInstruTrack,3136,roby.pet
9,"""C:\Windows\system32\wuauclt.exe""",0001FSIWW,wuauclt.exe,C:\Windows\system32,2800,NT AUTHORITY\SYSTEM
10,"""C:\Users\svc_hc\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",0001FSIWW,OneDrive.exe,C:\Users\svc_hc\AppData\Local\Microsoft\OneDrive,4642,svc_hc
11,C:\ProgramData\McAfee\Direct\McDiReg.exe -MONITOR_PI2 9508,0001FSIWW,McDiReg.exe,C:\ProgramData\McAfee\Direct,2793,roby.pet
12,"""C:\Program Files\Common Files\McAfee\CSP\3.0.127.0\\McCSPServiceHost.exe""",0001FSIWW,McCSPServiceHost.exe,C:\Program Files\Common Files\McAfee\CSP\3.0.127.0,1994,roby.pet
13,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,0001FSIWW,svchost.exe,C:\Windows\System32,2532,NT AUTHORITY\SYSTEM
14,"""C:\Users\luc.jam\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=gpu-process --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --gpu-preferences=KAAAAAAAAACAAwBAAQAAAAAAAAAAAGAAAAAAAAAAAAAIAAAAAAAAACgAAAAEAAAAIAAAAAAAAAAoAAAAAAAAADAAAAAAAAAAOAAAAAAAAAAQAAAAAAAAAAAAAAAKAAAAEAAAAAAAAAAAAAAACwAAABAAAAAAAAAAAQAAAAoAAAAQAAAAAAAAAAEAAAALAAAA --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --service-request-channel-token=7207758415534163028 --mojo-platform-channel-handle=1472 --ignored="" --type=renderer "" /prefetch:2",0001FSIWW,opera.exe,C:\Users\luc.jam\AppData\Local\Programs\Opera\56.0.3051.52,5093,luc.jam
15,C:\Windows\system32\svchost.exe -k DcomLaunch,0001FSIWW,svchost.exe,C:\Windows\system32,4756,NT AUTHORITY\SYSTEM
16,"""C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.33.41.0_x64__kzf8qxf38zg5c\SkypeBackgroundHost.exe"" -ServerName:SkypeBackgroundHost",0001FSIWW,SkypeBackgroundHost.exe,C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.33.41.0_x64__kzf8qxf38zg5c,5717,luc.jam
18,winlogon.exe,0001FSIWW,winlogon.exe,C:\Windows\system32,5424,NT AUTHORITY\SYSTEM
19,C:\Windows\System32\spoolsv.exe,0001FSIWW,spoolsv.exe,C:\Windows\System32,284,NT AUTHORITY\SYSTEM
21,C:\Windows\system32\svchost.exe -k netsvcs,0001FSIWW,svchost.exe,C:\Windows\system32,1260,NT AUTHORITY\SYSTEM
22,ModuleCoreService.exe /startUserModeHosting=4_TIME_TO_DIE,0001FSIWW,ModuleCoreService.exe,c:\program files\common files\mcafee\modulecore,666,roby.pet
23,"""C:\Windows\system32\notepad.exe"" ",0001FSIWW,notepad.exe,C:\Windows\system32,2256,svc_hc
24,C:\Windows\system32\svchost.exe -k LocalService,0001FSIWW,svchost.exe,C:\Windows\system32,5264,NT AUTHORITY\SYSTEM
25,"""C:\Program Files\Common Files\mcafee\Platform\mcuicnt.exe"" ""C:\Program Files\Common Files\McAfee\ActWiz\mcactwiz.dll"" nosplash:",0001FSIWW,mcuicnt.exe,C:\Program Files\Common Files\mcafee\Platform,4046,roby.pet
26,C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork,0001FSIWW,svchost.exe,C:\Windows\system32,3404,NT AUTHORITY\SYSTEM
28,"""C:\Users\luc.jam\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=6930244878569528683 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6930244878569528683 --renderer-client-id=3 --mojo-platform-channel-handle=2904 /prefetch:1",0001FSIWW,opera.exe,C:\Users\luc.jam\AppData\Local\Programs\Opera\56.0.3051.52,3302,luc.jam
29,C:\Windows\system32\lsass.exe,0001FSIWW,lsass.exe,C:\Windows\system32,2040,NT AUTHORITY\SYSTEM
31,"""C:\Program Files\McAfee\WebAdvisor\ServiceHost.exe""",0001FSIWW,ServiceHost.exe,C:\Program Files\McAfee\WebAdvisor,5170,roby.pet
32,"""taskhost.exe""",0001FSIWW,taskhost.exe,C:\Windows\system32,3328,NT AUTHORITY\SYSTEM
33,wininit.exe,0001FSIWW,wininit.exe,C:\Windows\system32,4320,NT AUTHORITY\SYSTEM
35,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",0001FSIWW,ProtectedModuleHost.exe,C:\Program Files\Common Files\McAfee\ModuleCore,441,roby.pet
37,\??\C:\Windows\system32\conhost.exe,0001FSIWW,conhost.exe,C:\Windows\system32,428,NT AUTHORITY\SYSTEM
38,C:\Windows\servicing\TrustedInstaller.exe,0001FSIWW,TrustedInstaller.exe,C:\Windows\servicing,6340,NT AUTHORITY\SYSTEM
40,C:\Windows\System32\svchost.exe -k secsvcs,0001FSIWW,svchost.exe,C:\Windows\System32,6428,NT AUTHORITY\SYSTEM
41,"""C:\Program Files\Windows Media Player\wmpnetwk.exe""",0001FSIWW,wmpnetwk.exe,C:\Program Files\Windows Media Player,6320,NT AUTHORITY\SYSTEM
42,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",0001FSIWW,UIHost.exe,C:\Program Files\McAfee\WebAdvisor,3449,roby.pet
44,C:\Windows\System32\VBoxService.exe,0001FSIWW,VBoxService.exe,C:\Windows\System32,4824,NT AUTHORITY\SYSTEM
45,"""c:\program files\common files\mcafee\modulecore\modulecoreservice.exe""",0001FSIWW,modulecoreservice.exe,c:\program files\common files\mcafee\modulecore,1284,roby.pet
46,"""C:\Users\luc.jam\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=12376823585177401963 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=12376823585177401963 --renderer-client-id=7 --mojo-platform-channel-handle=2368 /prefetch:1",0001FSIWW,opera.exe,C:\Users\luc.jam\AppData\Local\Programs\Opera\56.0.3051.52,3038,luc.jam
48,"""C:\Users\roby.pet\AppData\Local\Temp\scoped_dir9616_4071\mcafee_trial_setup_433.0207.3919_key.exe"" ",0001FSIWW,mcafee_trial_setup_433.0207.3919_key.exe,C:\Users\roby.pet\AppData\Local\Temp\scoped_dir9616_4071,2722,roby.pet
49,"""C:\Users\luc.jam\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=16451249972883912486 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=16451249972883912486 --renderer-client-id=4 --mojo-platform-channel-handle=3140 /prefetch:1",0001FSIWW,opera.exe,C:\Users\luc.jam\AppData\Local\Programs\Opera\56.0.3051.52,4452,luc.jam
50,C:\Windows\system32\sppsvc.exe,0001FSIWW,sppsvc.exe,C:\Windows\system32,4784,NT AUTHORITY\SYSTEM
