,arguments,hostname,name,path,pid,username
0,C:\Windows\System32\svchost.exe -k utcsvc,0001FXGSE,svchost.exe,C:\Windows\System32,5336,NT AUTHORITY\SYSTEM
1,"""C:\Program Files\Common Files\mcafee\Platform\mcuicnt.exe"" ""C:\Program Files\Common Files\McAfee\ActWiz\mcactwiz.dll"" nosplash:",0001FXGSE,mcuicnt.exe,C:\Program Files\Common Files\mcafee\Platform,2259,darc.flore1
2,"""C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE"" MMSCOM homenetsvc",0001FXGSE,MMSSHOST.EXE,C:\Program Files\Common Files\McAfee\MMSSHost,582,darc.flore1
3,"""LogonUI.exe"" /flags:0x0",0001FXGSE,LogonUI.exe,C:\Windows\system32,1112,NT AUTHORITY\SYSTEM
4,"""C:\Program Files\CyberGhost 6\CyberGhost.Service.exe""",0001FXGSE,CyberGhost.Service.exe,C:\Program Files\CyberGhost 6,1526,darc.flore1
5,C:\Windows\system32\lsass.exe,0001FXGSE,lsass.exe,C:\Windows\system32,2684,NT AUTHORITY\SYSTEM
6,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",0001FXGSE,McApExe.exe,C:\Program Files\Common Files\McAfee\VSCore_18_6,834,darc.flore1
7,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,0001FXGSE,svchost.exe,C:\Windows\System32,5380,NT AUTHORITY\SYSTEM
8,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,0001FXGSE,svchost.exe,C:\Windows\System32,2016,NT AUTHORITY\SYSTEM
9,"""C:\Users\ryamorr\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=6930244878569528683 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6930244878569528683 --renderer-client-id=3 --mojo-platform-channel-handle=2904 /prefetch:1",0001FXGSE,opera.exe,C:\Users\ryamorr\AppData\Local\Programs\Opera\56.0.3051.52,5100,ryamorr
10,wininit.exe,0001FXGSE,wininit.exe,C:\Windows\system32,2456,NT AUTHORITY\SYSTEM
11,C:\Windows\System32\svchost.exe -k termsvcs,0001FXGSE,svchost.exe,C:\Windows\System32,1488,NT AUTHORITY\SYSTEM
12,C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted,0001FXGSE,svchost.exe,C:\Windows\system32,3080,NT AUTHORITY\SYSTEM
14,ModuleCoreService.exe /startUserModeHosting=4_TIME_TO_DIE,0001FXGSE,ModuleCoreService.exe,c:\program files\common files\mcafee\modulecore,5942,darc.flore1
15,"""C:\Program Files\Common Files\McAfee\TaskScheduler\McAMTaskAgent.exe"" -Embedding",0001FXGSE,McAMTaskAgent.exe,C:\Program Files\Common Files\McAfee\TaskScheduler,1628,darc.flore1
16,C:\Windows\system32\svchost.exe -k LocalService,0001FXGSE,svchost.exe,C:\Windows\system32,3748,NT AUTHORITY\SYSTEM
18,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",0001FXGSE,mchost.exe,C:\Program Files\Common Files\McAfee\Platform\Core,2901,darc.flore1
