,arguments,hostname,name,path,pid,username
0,C:\ProgramData\McAfee\McInstruTrack\McInstruTrack.exe /SP:0,0001IAANL,McInstruTrack.exe,C:\ProgramData\McAfee\McInstruTrack,2655,martha.hay
1,"""C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe"" --type=renderer /prefetch:1",0001IAANL,AcroRd32.exe,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader,2793,isa.coope
2,"""C:\Users\isa.coope\AppData\Local\GoToMeeting\9508\g2mcomm.exe"" ""Action=Host&amp;BrokerServiceSuffix=@ISL1&amp;Build=9508&amp;colClientUiReadyEvent=Global\55848945-2CEA-4978-BF24-0C6A3B11E66E&amp;Digest=1bc982ef0552b1fb859a423b1f290ef0&amp;Dir=C:\Users\isa.coope\AppData\Local\GoToMeeting\9508\&amp;Download=Auto&amp;EGWAddress=216.115.208.230&amp;EGWDNS=egwglobal.gotomeeting.com&amp;EGWPort=80 443 8200&amp;LoaderPath=C:\Users\isa.coope\AppData\Local\GoToMeeting\9508\g2mstart.exe&amp;LogName=c:\users\isa.coope\appdata\local\temp\logmeinlogs\gotomeeting\9508\2018-10-29_12.04.18.379\GoToMeeting.log&amp;Mode=Normal&amp;Path=g2mlauncher.exe&amp;Plugin=G2MLauncher&amp;Product=g2m&amp;sessionTrackingId=e0-PH0LsK8MFgg2A9ZkKW16jt2JkQ4bP&amp;UniqueId=16cc""",0001IAANL,g2mcomm.exe,C:\Users\isa.coope\AppData\Local\GoToMeeting\9508,1382,isa.coope
3,"""C:\Users\isa.coope\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=16451249972883912486 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=16451249972883912486 --renderer-client-id=4 --mojo-platform-channel-handle=3140 /prefetch:1",0001IAANL,opera.exe,C:\Users\isa.coope\AppData\Local\Programs\Opera\56.0.3051.52,5092,isa.coope
4,winlogon.exe,0001IAANL,winlogon.exe,C:\Windows\system32,6172,NT AUTHORITY\SYSTEM
5,"usr\bin\mintty.exe --nodaemon -o AppID=GitForWindows.Bash -o AppLaunchCmd=""C:\Program Files\Git\git-bash.exe"" -o AppName=""Git Bash"" -i ""C:\Program Files\Git\git-bash.exe"" --store-taskbar-properties -- /usr/bin/bash --login -i",0001IAANL,mintty.exe,C:\Program Files\Git\usr\bin,6399,martha.hay
7,"""C:\Program Files\McAfee\MAT\McPvTray.exe""",0001IAANL,McPvTray.exe,C:\Program Files\McAfee\MAT,2739,martha.hay
8,C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted,0001IAANL,svchost.exe,C:\Windows\system32,3748,NT AUTHORITY\SYSTEM
9,"""C:\Users\martha.hay\AppData\Local\Temp\scoped_dir9616_4071\mcafee_trial_setup_433.0207.3919_key.exe"" ",0001IAANL,mcafee_trial_setup_433.0207.3919_key.exe,C:\Users\martha.hay\AppData\Local\Temp\scoped_dir9616_4071,3313,martha.hay
10,"""C:\Users\isa.coope\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=6930244878569528683 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6930244878569528683 --renderer-client-id=3 --mojo-platform-channel-handle=2904 /prefetch:1",0001IAANL,opera.exe,C:\Users\isa.coope\AppData\Local\Programs\Opera\56.0.3051.52,2051,isa.coope
11,"""C:\Program Files\Common Files\McAfee\CSP\3.0.127.0\\McCSPServiceHost.exe""",0001IAANL,McCSPServiceHost.exe,C:\Program Files\Common Files\McAfee\CSP\3.0.127.0,5882,martha.hay
13,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",0001IAANL,mcshield.exe,C:\Program Files\Common Files\McAfee\AMCore,3078,martha.hay
14,C:\ProgramData\McAfee\Direct\McDiReg.exe -MONITOR_PI2 9508,0001IAANL,McDiReg.exe,C:\ProgramData\McAfee\Direct,4751,martha.hay
15,"""C:\Users\martha.hay\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",0001IAANL,OneDrive.exe,C:\Users\martha.hay\AppData\Local\Microsoft\OneDrive,3279,martha.hay
16,"""C:\Users\isa.coope\AppData\Local\GoToMeeting\9508\g2mstart.exe"" ""/Action Host"" ""/BrokerServiceSuffix @ISL1"" ""/Build 9508"" ""/Download Auto"" ""/EGWAddress 216.115.208.230"" ""/EGWDNS egwglobal.gotomeeting.com"" ""/EGWPort 80 443 8200"" ""/Mode Normal"" ""/Product g2m"" ""/colClientUiReadyEvent Global\55848945-2CEA-4978-BF24-0C6A3B11E66E"" ""/sessionTrackingId e0-PH0LsK8MFgg2A9ZkKW16jt2JkQ4bP""",0001IAANL,g2mstart.exe,C:\Users\isa.coope\AppData\Local\GoToMeeting\9508,6064,isa.coope
