,arguments,hostname,name,path,pid,username
0,"""C:\Users\freyree\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=12376823585177401963 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=12376823585177401963 --renderer-client-id=7 --mojo-platform-channel-handle=2368 /prefetch:1",0001TFKWC,opera.exe,C:\Users\freyree\AppData\Local\Programs\Opera\56.0.3051.52,5516,freyree
1,"""C:\Users\freyree\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=2685998191293934672 --lang=en-GB --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=2685998191293934672 --renderer-client-id=12 --mojo-platform-channel-handle=4360 /prefetch:1",0001TFKWC,opera.exe,C:\Users\freyree\AppData\Local\Programs\Opera\56.0.3051.52,2189,freyree
2,C:\Windows\system32\lsass.exe,0001TFKWC,lsass.exe,C:\Windows\system32,2256,NT AUTHORITY\SYSTEM
3,"""C:\Users\freyree\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=gpu-process --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --gpu-preferences=KAAAAAAAAACAAwBAAQAAAAAAAAAAAGAAAAAAAAAAAAAIAAAAAAAAACgAAAAEAAAAIAAAAAAAAAAoAAAAAAAAADAAAAAAAAAAOAAAAAAAAAAQAAAAAAAAAAAAAAAKAAAAEAAAAAAAAAAAAAAACwAAABAAAAAAAAAAAQAAAAoAAAAQAAAAAAAAAAEAAAALAAAA --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --service-request-channel-token=7207758415534163028 --mojo-platform-channel-handle=1472 --ignored="" --type=renderer "" /prefetch:2",0001TFKWC,opera.exe,C:\Users\freyree\AppData\Local\Programs\Opera\56.0.3051.52,3021,freyree
4,"""LogonUI.exe"" /flags:0x0",0001TFKWC,LogonUI.exe,C:\Windows\system32,5772,NT AUTHORITY\SYSTEM
5,"""C:\Program Files\Common Files\McAfee\PEF\CORE\PEFService.exe""",0001TFKWC,PEFService.exe,C:\Program Files\Common Files\McAfee\PEF\CORE,349,benjamcampbel
6,C:\Windows\System32\msdtc.exe,0001TFKWC,msdtc.exe,C:\Windows\System32,108,NT AUTHORITY\SYSTEM
7,C:\Windows\Explorer.EXE,0001TFKWC,Explorer.EXE,C:\Windows,4060,NT AUTHORITY\SYSTEM
8,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",0001TFKWC,UIHost.exe,C:\Program Files\McAfee\WebAdvisor,3698,benjamcampbel
9,C:\Windows\System32\svchost.exe -k utcsvc,0001TFKWC,svchost.exe,C:\Windows\System32,5568,NT AUTHORITY\SYSTEM
