,arguments,hostname,name,path,pid,username
0,"""C:\Windows\system32\SearchFilterHost.exe"" 0 736 740 748 8192 744 ",0001WQUNS,SearchFilterHost.exe,C:\Windows\system32,2784,NT AUTHORITY\SYSTEM
1,c:\windows\system32\svchost.exe -k localservice -p -s BthAvctpSvc,0001WQUNS,svchost.exe,c:\windows\system32,4000,NT AUTHORITY\SYSTEM
2,c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s TrkWks,0001WQUNS,svchost.exe,c:\windows\system32,2500,NT AUTHORITY\SYSTEM
3,c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s DsSvc,0001WQUNS,svchost.exe,c:\windows\system32,4180,NT AUTHORITY\SYSTEM
4,"""ctfmon.exe""",0001WQUNS,ctfmon.exe,C:\Windows\system32,6144,NT AUTHORITY\SYSTEM
5,ModuleCoreService.exe /startUserModeHosting=4_TIME_TO_DIE,0001WQUNS,ModuleCoreService.exe,c:\program files\common files\mcafee\modulecore,369,sop.sanche
6,c:\windows\system32\svchost.exe -k localservice -p -s EventSystem,0001WQUNS,svchost.exe,c:\windows\system32,3808,NT AUTHORITY\SYSTEM
7,"""C:\Windows\system32\cmd.exe"" ",0001WQUNS,cmd.exe,C:\Windows\system32,1172,lea.russel33
8,"""C:\Users\natha.robi36\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=6930244878569528683 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6930244878569528683 --renderer-client-id=3 --mojo-platform-channel-handle=2904 /prefetch:1",0001WQUNS,opera.exe,C:\Users\natha.robi36\AppData\Local\Programs\Opera\56.0.3051.52,5332,natha.robi36
9,"""C:\Windows\system32\notepad.exe"" ",0001WQUNS,notepad.exe,C:\Windows\system32,3409,mat.robinson7
10,"""C:\Program Files\Common Files\McAfee\PEF\CORE\PEFService.exe""",0001WQUNS,PEFService.exe,C:\Program Files\Common Files\McAfee\PEF\CORE,1152,sop.sanche
11,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",0001WQUNS,mcshield.exe,C:\Program Files\Common Files\McAfee\AMCore,4585,sop.sanche
13,c:\windows\system32\svchost.exe -k netsvcs -p -s BITS,0001WQUNS,svchost.exe,c:\windows\system32,3432,NT AUTHORITY\SYSTEM
14,"""C:\Program Files\Common Files\mcafee\Platform\mcuicnt.exe"" ""C:\Program Files\Common Files\McAfee\ActWiz\mcactwiz.dll"" nosplash:",0001WQUNS,mcuicnt.exe,C:\Program Files\Common Files\mcafee\Platform,2042,sop.sanche
15,"""C:\Program Files (x86)\Common Files\VMware\USB\vmware-usbarbitrator64.exe""",0001WQUNS,vmware-usbarbitrator64.exe,C:\Program Files (x86)\Common Files\VMware\USB,5717,sop.sanche
