,arguments,hostname,name,path,pid,username
0,C:\Windows\system32\svchost.exe -k NetworkService,0001YICNT,svchost.exe,C:\Windows\system32,208,NT AUTHORITY\SYSTEM
1,"""dwm.exe""",0001YICNT,dwm.exe,C:\Windows\system32,884,NT AUTHORITY\SYSTEM
2,taskhostex.exe ,0001YICNT,taskhostex.exe,C:\Windows\system32,1196,NT AUTHORITY\SYSTEM
3,"""C:\Users\xav.par72\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --start-maximized --ran-launcher",0001YICNT,opera.exe,C:\Users\xav.par72\AppData\Local\Programs\Opera\56.0.3051.52,4800,xav.par72
4,"""dwm.exe""",0001YICNT,dwm.exe,C:\Windows\system32,5816,NT AUTHORITY\SYSTEM
5,C:\ProgramData\McAfee\Direct\McDiReg.exe -MONITOR_PI2 9508,0001YICNT,McDiReg.exe,C:\ProgramData\McAfee\Direct,3311,xav.par72
6,C:\Windows\System32\spoolsv.exe,0001YICNT,spoolsv.exe,C:\Windows\System32,2112,NT AUTHORITY\SYSTEM
7,"""C:\Program Files\CCleaner\CCleaner.exe"" /MONITOR /uac",0001YICNT,CCleaner64.exe,C:\Program Files\CCleaner,5873,annagra
9,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",0001YICNT,UIHost.exe,C:\Program Files\McAfee\WebAdvisor,4642,xav.par72
10,C:\Windows\Explorer.EXE,0001YICNT,Explorer.EXE,C:\Windows,1436,NT AUTHORITY\SYSTEM
11,ModuleCoreService.exe /startUserModeHosting=4_TIME_TO_DIE,0001YICNT,ModuleCoreService.exe,c:\program files\common files\mcafee\modulecore,5872,xav.par72
12,"""C:\Program Files\PuTTY\putty.exe"" ",0001YICNT,putty.exe,C:\Program Files\PuTTY,5427,svc_hc
13,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",0001YICNT,mcshield.exe,C:\Program Files\Common Files\McAfee\AMCore,5270,xav.par72
14,"""C:\Users\xav.par72\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=6930244878569528683 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6930244878569528683 --renderer-client-id=3 --mojo-platform-channel-handle=2904 /prefetch:1",0001YICNT,opera.exe,C:\Users\xav.par72\AppData\Local\Programs\Opera\56.0.3051.52,575,xav.par72
15,"""C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.33.41.0_x64__kzf8qxf38zg5c\SkypeBackgroundHost.exe"" -ServerName:SkypeBackgroundHost",0001YICNT,SkypeBackgroundHost.exe,C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.33.41.0_x64__kzf8qxf38zg5c,5830,ari.benn
18,"""C:\Program Files\Common Files\McAfee\CSP\3.0.127.0\\McCSPServiceHost.exe""",0001YICNT,McCSPServiceHost.exe,C:\Program Files\Common Files\McAfee\CSP\3.0.127.0,519,xav.par72
19,C:\ProgramData\McAfee\McInstruTrack\McInstruTrack.exe /SP:0,0001YICNT,McInstruTrack.exe,C:\ProgramData\McAfee\McInstruTrack,5593,xav.par72
20,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,0001YICNT,svchost.exe,C:\Windows\System32,4748,NT AUTHORITY\SYSTEM
21,"""C:\Program Files\McAfee\MfeAV\MFEAvSvc.exe""",0001YICNT,MFEAvSvc.exe,C:\Program Files\McAfee\MfeAV,3469,xav.par72
23,"""C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE"" MMSCOM homenetsvc",0001YICNT,MMSSHOST.EXE,C:\Program Files\Common Files\McAfee\MMSSHost,5477,xav.par72
24,"""C:\Users\xav.par72\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=12376823585177401963 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=12376823585177401963 --renderer-client-id=7 --mojo-platform-channel-handle=2368 /prefetch:1",0001YICNT,opera.exe,C:\Users\xav.par72\AppData\Local\Programs\Opera\56.0.3051.52,1593,xav.par72
25,"""C:\Program Files (x86)\Common Files\VMware\USB\vmware-usbarbitrator64.exe""",0001YICNT,vmware-usbarbitrator64.exe,C:\Program Files (x86)\Common Files\VMware\USB,2032,ari.benn
30,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",0001YICNT,ProtectedModuleHost.exe,C:\Program Files\Common Files\McAfee\ModuleCore,5443,xav.par72
31,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",0001YICNT,mchost.exe,C:\Program Files\Common Files\McAfee\Platform\Core,1251,xav.par72
33,"""C:\Users\xav.par72\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=2685998191293934672 --lang=en-GB --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=2685998191293934672 --renderer-client-id=12 --mojo-platform-channel-handle=4360 /prefetch:1",0001YICNT,opera.exe,C:\Users\xav.par72\AppData\Local\Programs\Opera\56.0.3051.52,3504,xav.par72
34,"""C:\Users\annagra\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",0001YICNT,OneDrive.exe,C:\Users\annagra\AppData\Local\Microsoft\OneDrive,1405,annagra
