,arguments,hostname,name,path,pid,username
0,"""C:\Users\jasmin.washin\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=6930244878569528683 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6930244878569528683 --renderer-client-id=3 --mojo-platform-channel-handle=2904 /prefetch:1",0002IAAEB,opera.exe,C:\Users\jasmin.washin\AppData\Local\Programs\Opera\56.0.3051.52,3178,jasmin.washin
1,C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation,0002IAAEB,svchost.exe,C:\Windows\system32,4684,NT AUTHORITY\SYSTEM
2,"""taskhost.exe""",0002IAAEB,taskhost.exe,C:\Windows\system32,5064,NT AUTHORITY\SYSTEM
3,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",0002IAAEB,UIHost.exe,C:\Program Files\McAfee\WebAdvisor,1044,jasmin.washin
4,"""C:\Program Files\CCleaner\CCleaner.exe"" /uac",0002IAAEB,CCleaner64.exe,C:\Program Files\CCleaner,4845,mat.robinson7
5,"""C:\ProgramData\McAfee\Direct\McDiReg.exe"" ",0002IAAEB,McDiReg.exe,C:\ProgramData\McAfee\Direct,4645,jasmin.washin
6,"C:\Users\jasmin.washin\AppData\Local\Programs\Opera\56.0.3051.52\opera_crashreporter.exe --type=crashpad-handler /prefetch:7 --monitor-self-annotation=ptype=crashpad-handler ""--database=C:\Users\jasmin.washin\AppData\Roaming\Opera Software\Opera Stable\Crash Reports"" ""--crash-count-file=C:\Users\jasmin.washin\AppData\Roaming\Opera Software\Opera Stable\crash_count.txt"" --url=https://crashstats-collector.opera.com/collector/submit --annotation=channel=Stable --annotation=plat=Win64 --annotation=prod=OperaDesktop --annotation=ver=56.0.3051.52 --initial-client-data=0x238 0x304 0x30c 0x320 0x308 0x7ffb51313108 0x7ffb51313118 0x7ffb51313128",0002IAAEB,opera_crashreporter.exe,C:\Users\jasmin.washin\AppData\Local\Programs\Opera\56.0.3051.52,622,jasmin.washin
7,"""c:\program files\common files\mcafee\modulecore\modulecoreservice.exe""",0002IAAEB,modulecoreservice.exe,c:\program files\common files\mcafee\modulecore,3301,jasmin.washin
8,"""C:\Windows\system32\wuauclt.exe""",0002IAAEB,wuauclt.exe,C:\Windows\system32,2264,NT AUTHORITY\SYSTEM
9,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",0002IAAEB,ProtectedModuleHost.exe,C:\Program Files\Common Files\McAfee\ModuleCore,3366,jasmin.washin
10,C:\Windows\system32\svchost.exe -k netsvcs,0002IAAEB,svchost.exe,C:\Windows\system32,5012,NT AUTHORITY\SYSTEM
11,C:\ProgramData\McAfee\McInstruTrack\McInstruTrack.exe /SP:0,0002IAAEB,McInstruTrack.exe,C:\ProgramData\McAfee\McInstruTrack,5103,jasmin.washin
13,C:\ProgramData\McAfee\Direct\McDiReg.exe -MONITOR_PI2 9508,0002IAAEB,McDiReg.exe,C:\ProgramData\McAfee\Direct,1820,jasmin.washin
15,C:\Windows\system32\lsm.exe,0002IAAEB,lsm.exe,C:\Windows\system32,4072,NT AUTHORITY\SYSTEM
16,"""C:\Users\jasmin.washin\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",0002IAAEB,OneDrive.exe,C:\Users\jasmin.washin\AppData\Local\Microsoft\OneDrive,4743,jasmin.washin
17,C:\Windows\system32\svchost.exe -k LocalService,0002IAAEB,svchost.exe,C:\Windows\system32,5060,NT AUTHORITY\SYSTEM
18,C:\Windows\system32\svchost.exe -k RPCSS,0002IAAEB,svchost.exe,C:\Windows\system32,3952,NT AUTHORITY\SYSTEM
19,C:\Windows\system32\services.exe,0002IAAEB,services.exe,C:\Windows\system32,5964,NT AUTHORITY\SYSTEM
20,"""C:\Program Files\Common Files\McAfee\TaskScheduler\McAMTaskAgent.exe"" -Embedding",0002IAAEB,McAMTaskAgent.exe,C:\Program Files\Common Files\McAfee\TaskScheduler,6231,jasmin.washin
21,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",0002IAAEB,McApExe.exe,C:\Program Files\Common Files\McAfee\VSCore_18_6,2590,jasmin.washin
22,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",0002IAAEB,mchost.exe,C:\Program Files\Common Files\McAfee\Platform\Core,3149,jasmin.washin
23,"""C:\Windows\system32\SearchProtocolHost.exe"" Global\UsGthrFltPipeMssGthrPipe15_ Global\UsGthrCtrlFltPipeMssGthrPipe15 1 -2147483646 ""Software\Microsoft\Windows Search"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)"" ""C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc"" ""DownLevelDaemon"" ",0002IAAEB,SearchProtocolHost.exe,C:\Windows\system32,3284,NT AUTHORITY\SYSTEM
24,\??\C:\Windows\system32\conhost.exe,0002IAAEB,conhost.exe,C:\Windows\system32,4020,NT AUTHORITY\SYSTEM
25,"""C:\Program Files\CCleaner\CCleaner.exe"" /MONITOR /uac",0002IAAEB,CCleaner64.exe,C:\Program Files\CCleaner,770,mat.robinson7
26,C:\Windows\System32\spoolsv.exe,0002IAAEB,spoolsv.exe,C:\Windows\System32,776,NT AUTHORITY\SYSTEM
27,"""C:\Users\jasmin.washin\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --start-maximized --ran-launcher",0002IAAEB,opera.exe,C:\Users\jasmin.washin\AppData\Local\Programs\Opera\56.0.3051.52,277,jasmin.washin
28,"""C:\Program Files\KeePassXC\KeePassXC.exe"" ",0002IAAEB,KeePassXC.exe,C:\Program Files\KeePassXC,5728,jasmin.washin
29,winlogon.exe,0002IAAEB,winlogon.exe,C:\Windows\system32,4236,NT AUTHORITY\SYSTEM
30,C:\Windows\system32\svchost.exe -k NetworkService,0002IAAEB,svchost.exe,C:\Windows\system32,960,NT AUTHORITY\SYSTEM
31,wininit.exe,0002IAAEB,wininit.exe,C:\Windows\system32,6436,NT AUTHORITY\SYSTEM
32,"""C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE"" MMSCOM homenetsvc",0002IAAEB,MMSSHOST.EXE,C:\Program Files\Common Files\McAfee\MMSSHost,1514,jasmin.washin
33,"""C:\Program Files\Windows Media Player\wmpnetwk.exe""",0002IAAEB,wmpnetwk.exe,C:\Program Files\Windows Media Player,2984,NT AUTHORITY\SYSTEM
34,"""C:\Program Files\KeePassXC\KeePassXC.exe"" ",0002IAAEB,KeePassXC.exe,C:\Program Files\KeePassXC,6227,mat.robinson7
36,C:\Windows\servicing\TrustedInstaller.exe,0002IAAEB,TrustedInstaller.exe,C:\Windows\servicing,5332,NT AUTHORITY\SYSTEM
37,"""C:\Program Files\Microsoft SQL Server\MSSQL14.SQLEXPRESS\MSSQL\Binn\sqlservr.exe"" -sSQLEXPRESS",0002IAAEB,sqlservr.exe,C:\Program Files\Microsoft SQL Server\MSSQL14.SQLEXPRESS\MSSQL\Binn,3371,fletc.powell
43,C:\Windows\system32\SearchIndexer.exe /Embedding,0002IAAEB,SearchIndexer.exe,C:\Windows\system32,1460,NT AUTHORITY\SYSTEM
45,"""C:\Users\jasmin.washin\AppData\Local\Temp\scoped_dir9616_4071\mcafee_trial_setup_433.0207.3919_key.exe"" ",0002IAAEB,mcafee_trial_setup_433.0207.3919_key.exe,C:\Users\jasmin.washin\AppData\Local\Temp\scoped_dir9616_4071,5331,jasmin.washin
