,arguments,hostname,name,path,pid,username
0,"C:\Users\ivy.hil\AppData\Local\Programs\Opera\56.0.3051.52\opera_crashreporter.exe --type=crashpad-handler /prefetch:7 --monitor-self-annotation=ptype=crashpad-handler ""--database=C:\Users\ivy.hil\AppData\Roaming\Opera Software\Opera Stable\Crash Reports"" ""--crash-count-file=C:\Users\ivy.hil\AppData\Roaming\Opera Software\Opera Stable\crash_count.txt"" --url=https://crashstats-collector.opera.com/collector/submit --annotation=channel=Stable --annotation=plat=Win64 --annotation=prod=OperaDesktop --annotation=ver=56.0.3051.52 --initial-client-data=0x238 0x304 0x30c 0x320 0x308 0x7ffb51313108 0x7ffb51313118 0x7ffb51313128",0002NDIES,opera_crashreporter.exe,C:\Users\ivy.hil\AppData\Local\Programs\Opera\56.0.3051.52,5750,ivy.hil
1,"""dwm.exe""",0002NDIES,dwm.exe,C:\Windows\System32,2772,NT AUTHORITY\SYSTEM
2,"""C:\ProgramData\McAfee\Direct\McDiReg.exe"" ",0002NDIES,McDiReg.exe,C:\ProgramData\McAfee\Direct,5612,zarbake19
3,c:\windows\system32\svchost.exe -k netsvcs -p,0002NDIES,svchost.exe,c:\windows\system32,76,NT AUTHORITY\SYSTEM
4,,0002NDIES,MsMpEng.exe,,3824,NT AUTHORITY\SYSTEM
5,c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s DeviceAssociationService,0002NDIES,svchost.exe,c:\windows\system32,5556,NT AUTHORITY\SYSTEM
6,c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s TrkWks,0002NDIES,svchost.exe,c:\windows\system32,4464,NT AUTHORITY\SYSTEM
7,,0002NDIES,smss.exe,,1144,NT AUTHORITY\SYSTEM
8,C:\Windows\System32\svchost.exe -k utcsvc -p,0002NDIES,svchost.exe,C:\Windows\System32,5980,NT AUTHORITY\SYSTEM
9,"""C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe"" -ServerName:WindowsDefaultLockScreen.AppX7y4nbzq37zn4ks9k7amqjywdat7d3j2z.mca",0002NDIES,LockApp.exe,C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy,4064,NT AUTHORITY\SYSTEM
10,c:\windows\system32\svchost.exe -k unistacksvcgroup,0002NDIES,svchost.exe,c:\windows\system32,5104,NT AUTHORITY\SYSTEM
11,c:\windows\system32\svchost.exe -k dcomlaunch -p -s PlugPlay,0002NDIES,svchost.exe,c:\windows\system32,3216,NT AUTHORITY\SYSTEM
12,c:\windows\system32\svchost.exe -k netsvcs -p -s ShellHWDetection,0002NDIES,svchost.exe,c:\windows\system32,920,NT AUTHORITY\SYSTEM
13,c:\windows\system32\svchost.exe -k netsvcs -p -s Winmgmt,0002NDIES,svchost.exe,c:\windows\system32,1196,NT AUTHORITY\SYSTEM
14,,0002NDIES,wininit.exe,,6464,NT AUTHORITY\SYSTEM
15,c:\windows\system32\svchost.exe -k localservice -p -s EventSystem,0002NDIES,svchost.exe,c:\windows\system32,2732,NT AUTHORITY\SYSTEM
16,C:\Windows\system32\svchost.exe -k netsvcs -p -s wlidsvc,0002NDIES,svchost.exe,C:\Windows\system32,20,NT AUTHORITY\SYSTEM
