,arguments,hostname,name,path,pid,username
0,"C:\Users\annagra\AppData\Local\Programs\Opera\56.0.3051.52\opera_crashreporter.exe --type=crashpad-handler /prefetch:7 --monitor-self-annotation=ptype=crashpad-handler ""--database=C:\Users\annagra\AppData\Roaming\Opera Software\Opera Stable\Crash Reports"" ""--crash-count-file=C:\Users\annagra\AppData\Roaming\Opera Software\Opera Stable\crash_count.txt"" --url=https://crashstats-collector.opera.com/collector/submit --annotation=channel=Stable --annotation=plat=Win64 --annotation=prod=OperaDesktop --annotation=ver=56.0.3051.52 --initial-client-data=0x238 0x304 0x30c 0x320 0x308 0x7ffb51313108 0x7ffb51313118 0x7ffb51313128",0002OIUNW,opera_crashreporter.exe,C:\Users\annagra\AppData\Local\Programs\Opera\56.0.3051.52,3093,annagra
1,"""C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE"" ",0002OIUNW,WINWORD.EXE,C:\Program Files\Microsoft Office\root\Office16,1374,martha.hay
2,"""taskhost.exe""",0002OIUNW,taskhost.exe,C:\Windows\system32,5492,NT AUTHORITY\SYSTEM
3,"""C:\Program Files\Common Files\McAfee\PEF\CORE\PEFService.exe""",0002OIUNW,PEFService.exe,C:\Program Files\Common Files\McAfee\PEF\CORE,3590,lotti.richards
4,"""C:\ProgramData\McAfee\Direct\McDiReg.exe"" ",0002OIUNW,McDiReg.exe,C:\ProgramData\McAfee\Direct,4981,lotti.richards
5,C:\Windows\System32\spoolsv.exe,0002OIUNW,spoolsv.exe,C:\Windows\System32,5784,NT AUTHORITY\SYSTEM
6,"""C:\Program Files\McAfee\MAT\McPvTray.exe""",0002OIUNW,McPvTray.exe,C:\Program Files\McAfee\MAT,4208,lotti.richards
7,C:\Windows\System32\svchost.exe -k NetworkService,0002OIUNW,svchost.exe,C:\Windows\System32,164,NT AUTHORITY\SYSTEM
9,C:\Windows\system32\svchost.exe -k LocalService,0002OIUNW,svchost.exe,C:\Windows\system32,5572,NT AUTHORITY\SYSTEM
10,"""C:\Program Files\Common Files\mcafee\Platform\mcuicnt.exe"" ""C:\Program Files\Common Files\McAfee\ActWiz\mcactwiz.dll"" nosplash:",0002OIUNW,mcuicnt.exe,C:\Program Files\Common Files\mcafee\Platform,1133,lotti.richards
11,C:\Windows\system32\services.exe,0002OIUNW,services.exe,C:\Windows\system32,3552,NT AUTHORITY\SYSTEM
12,"""C:\Users\annagra\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --start-maximized --ran-launcher",0002OIUNW,opera.exe,C:\Users\annagra\AppData\Local\Programs\Opera\56.0.3051.52,2113,annagra
13,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,0002OIUNW,svchost.exe,C:\Windows\System32,5888,NT AUTHORITY\SYSTEM
14,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,0002OIUNW,svchost.exe,C:\Windows\System32,5416,NT AUTHORITY\SYSTEM
16,"""C:\Program Files\Common Files\McAfee\CSP\3.0.127.0\\McCSPServiceHost.exe""",0002OIUNW,McCSPServiceHost.exe,C:\Program Files\Common Files\McAfee\CSP\3.0.127.0,2719,lotti.richards
17,C:\Windows\System32\svchost.exe -k utcsvc,0002OIUNW,svchost.exe,C:\Windows\System32,1332,NT AUTHORITY\SYSTEM
19,C:\Windows\system32\lsm.exe,0002OIUNW,lsm.exe,C:\Windows\system32,564,NT AUTHORITY\SYSTEM
20,C:\Windows\system32\svchost.exe -k RPCSS,0002OIUNW,svchost.exe,C:\Windows\system32,4436,NT AUTHORITY\SYSTEM
21,ModuleCoreService.exe /startUserModeHosting=4_TIME_TO_DIE,0002OIUNW,ModuleCoreService.exe,c:\program files\common files\mcafee\modulecore,2967,lotti.richards
22,"""LogonUI.exe"" /flags:0x0",0002OIUNW,LogonUI.exe,C:\Windows\system32,2480,NT AUTHORITY\SYSTEM
23,C:\ProgramData\McAfee\McInstruTrack\McInstruTrack.exe /SP:0,0002OIUNW,McInstruTrack.exe,C:\ProgramData\McAfee\McInstruTrack,5257,lotti.richards
24,"""c:\program files\common files\mcafee\modulecore\modulecoreservice.exe""",0002OIUNW,modulecoreservice.exe,c:\program files\common files\mcafee\modulecore,4840,lotti.richards
25,"C:\Windows\System32\rundll32.exe C:\Windows\Temp\sechost.dll,NtOpenProcess",0002OIUNW,rundll32.exe,C:\Windows\System32\rundll32.exe,1096,lotti.richards
26,"\??\C:\Windows\system32\conhost.exe ""-29887463320281528418771495882049435123649789771-108284301750553232-1762948263",0002OIUNW,conhost.exe,C:\Windows\system32,6020,NT AUTHORITY\SYSTEM
27,"""C:\Users\lotti.richards\AppData\Local\Temp\scoped_dir9616_4071\mcafee_trial_setup_433.0207.3919_key.exe"" ",0002OIUNW,mcafee_trial_setup_433.0207.3919_key.exe,C:\Users\lotti.richards\AppData\Local\Temp\scoped_dir9616_4071,6406,lotti.richards
28,"""C:\Users\annagra\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=12376823585177401963 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=12376823585177401963 --renderer-client-id=7 --mojo-platform-channel-handle=2368 /prefetch:1",0002OIUNW,opera.exe,C:\Users\annagra\AppData\Local\Programs\Opera\56.0.3051.52,590,annagra
29,"""C:\Program Files\McAfee\MfeAV\MFEAvSvc.exe""",0002OIUNW,MFEAvSvc.exe,C:\Program Files\McAfee\MfeAV,4880,lotti.richards
30,C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235},0002OIUNW,dllhost.exe,C:\Windows\system32,4484,NT AUTHORITY\SYSTEM
31,"""C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.33.41.0_x64__kzf8qxf38zg5c\SkypeBackgroundHost.exe"" -ServerName:SkypeBackgroundHost",0002OIUNW,SkypeBackgroundHost.exe,C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.33.41.0_x64__kzf8qxf38zg5c,3339,lotti.richards
32,C:\Windows\System32\svchost.exe -k netsvcs,0002OIUNW,svchost.exe,C:\Windows\System32\svchost.exe,5388,annagra
33,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",0002OIUNW,mchost.exe,C:\Program Files\Common Files\McAfee\Platform\Core,2583,lotti.richards
34,wininit.exe,0002OIUNW,wininit.exe,C:\Windows\system32,5708,NT AUTHORITY\SYSTEM
35,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",0002OIUNW,McApExe.exe,C:\Program Files\Common Files\McAfee\VSCore_18_6,1041,lotti.richards
36,C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted,0002OIUNW,svchost.exe,C:\Windows\system32,1528,NT AUTHORITY\SYSTEM
37,"""C:\Windows\system32\mspaint.exe"" ",0002OIUNW,mspaint.exe,C:\Windows\system32,3400,annagra
40,C:\ProgramData\McAfee\Direct\McDiReg.exe -MONITOR_PI2 9508,0002OIUNW,McDiReg.exe,C:\ProgramData\McAfee\Direct,2101,lotti.richards
42,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",0002OIUNW,ProtectedModuleHost.exe,C:\Program Files\Common Files\McAfee\ModuleCore,960,lotti.richards
43,"""C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE"" ",0002OIUNW,WINWORD.EXE,C:\Program Files\Microsoft Office\root\Office16,6435,lotti.richards
44,C:\Windows\System32\svchost.exe -k termsvcs,0002OIUNW,svchost.exe,C:\Windows\System32,6384,NT AUTHORITY\SYSTEM
45,"""C:\Users\annagra\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=2685998191293934672 --lang=en-GB --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=2685998191293934672 --renderer-client-id=12 --mojo-platform-channel-handle=4360 /prefetch:1",0002OIUNW,opera.exe,C:\Users\annagra\AppData\Local\Programs\Opera\56.0.3051.52,6153,annagra
48,C:\Windows\system32\svchost.exe -k DcomLaunch,0002OIUNW,svchost.exe,C:\Windows\system32,3816,NT AUTHORITY\SYSTEM
