,arguments,hostname,name,path,pid,username
0,"""C:\Program Files\Common Files\mcafee\Platform\mcuicnt.exe"" ""C:\Program Files\Common Files\McAfee\ActWiz\mcactwiz.dll"" nosplash:",0002PKYWB,mcuicnt.exe,C:\Program Files\Common Files\mcafee\Platform,3963,dar.nelso
1,"""C:\Program Files\McAfee\MAT\McPvTray.exe""",0002PKYWB,McPvTray.exe,C:\Program Files\McAfee\MAT,5560,dar.nelso
2,C:\Windows\system32\svchost.exe -k NetworkService,0002PKYWB,svchost.exe,C:\Windows\system32,5072,NT AUTHORITY\SYSTEM
3,"""C:\Users\iri.jone4\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=6930244878569528683 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6930244878569528683 --renderer-client-id=3 --mojo-platform-channel-handle=2904 /prefetch:1",0002PKYWB,opera.exe,C:\Users\iri.jone4\AppData\Local\Programs\Opera\56.0.3051.52,5256,iri.jone4
4,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",0002PKYWB,McApExe.exe,C:\Program Files\Common Files\McAfee\VSCore_18_6,1356,dar.nelso
5,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,0002PKYWB,svchost.exe,C:\Windows\System32,5448,NT AUTHORITY\SYSTEM
6,C:\Windows\System32\cmd.exe,0002PKYWB,cmd.exe,C:\Windows\System32\cmd.exe,5996,NT AUTHORITY\SYSTEM
7,"""C:\Program Files\Common Files\McAfee\PEF\CORE\PEFService.exe""",0002PKYWB,PEFService.exe,C:\Program Files\Common Files\McAfee\PEF\CORE,5961,dar.nelso
8,C:\Windows\system32\svchost.exe -k netsvcs,0002PKYWB,svchost.exe,C:\Windows\system32,5416,NT AUTHORITY\SYSTEM
9,C:\Windows\System32\spoolsv.exe,0002PKYWB,spoolsv.exe,C:\Windows\System32,5012,NT AUTHORITY\SYSTEM
10,C:\Windows\System32\msdtc.exe,0002PKYWB,msdtc.exe,C:\Windows\System32,5052,NT AUTHORITY\SYSTEM
11,"""C:\Users\iri.jone4\Documents\kitty-0.70.0.6.exe"" ",0002PKYWB,kitty-0.70.0.6.exe,C:\Users\iri.jone4\Documents,5584,iri.jone4
12,"""C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.33.41.0_x64__kzf8qxf38zg5c\SkypeBackgroundHost.exe"" -ServerName:SkypeBackgroundHost",0002PKYWB,SkypeBackgroundHost.exe,C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.33.41.0_x64__kzf8qxf38zg5c,2907,jayden.foste
13,C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted,0002PKYWB,svchost.exe,C:\Windows\system32,2888,NT AUTHORITY\SYSTEM
14,taskhostex.exe ,0002PKYWB,taskhostex.exe,C:\Windows\system32,2112,NT AUTHORITY\SYSTEM
15,wininit.exe,0002PKYWB,wininit.exe,C:\Windows\system32,1060,NT AUTHORITY\SYSTEM
16,C:\Windows\Explorer.EXE,0002PKYWB,Explorer.EXE,C:\Windows,4664,NT AUTHORITY\SYSTEM
17,"""C:\Users\iri.jone4\AppData\Local\Programs\Python\Python37\python.exe"" ",0002PKYWB,python.exe,C:\Users\iri.jone4\AppData\Local\Programs\Python\Python37,1300,iri.jone4
18,"""dwm.exe""",0002PKYWB,dwm.exe,C:\Windows\system32,2584,NT AUTHORITY\SYSTEM
19,C:\Windows\system32\lsass.exe,0002PKYWB,lsass.exe,C:\Windows\system32,428,NT AUTHORITY\SYSTEM
20,"""C:\Users\iri.jone4\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=12376823585177401963 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=12376823585177401963 --renderer-client-id=7 --mojo-platform-channel-handle=2368 /prefetch:1",0002PKYWB,opera.exe,C:\Users\iri.jone4\AppData\Local\Programs\Opera\56.0.3051.52,3365,iri.jone4
21,C:\Windows\system32\svchost.exe -k LocalService,0002PKYWB,svchost.exe,C:\Windows\system32,4284,NT AUTHORITY\SYSTEM
22,"""C:\Users\xav.par72\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",0002PKYWB,OneDrive.exe,C:\Users\xav.par72\AppData\Local\Microsoft\OneDrive,3552,xav.par72
25,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",0002PKYWB,UIHost.exe,C:\Program Files\McAfee\WebAdvisor,3644,dar.nelso
26,"""C:\Program Files\Common Files\McAfee\TaskScheduler\McAMTaskAgent.exe"" -Embedding",0002PKYWB,McAMTaskAgent.exe,C:\Program Files\Common Files\McAfee\TaskScheduler,3483,dar.nelso
