,arguments,hostname,name,path,pid,username
0,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",0002RVTSN,ProtectedModuleHost.exe,C:\Program Files\Common Files\McAfee\ModuleCore,1379,svc_hc
1,"""C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe"" -ServerName:App.AppXtk181tbxbce2qsex02s8tw7hfxa9xb3t.mca",0002RVTSN,ShellExperienceHost.exe,C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy,6344,NT AUTHORITY\SYSTEM
2,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,0002RVTSN,svchost.exe,C:\Windows\System32,4072,NT AUTHORITY\SYSTEM
3,winlogon.exe,0002RVTSN,winlogon.exe,C:\Windows\system32,368,NT AUTHORITY\SYSTEM
4,"""C:\Program Files\CCleaner\CCleaner.exe"" /MONITOR /uac",0002RVTSN,CCleaner64.exe,C:\Program Files\CCleaner,1479,nicbell76
5,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",0002RVTSN,UIHost.exe,C:\Program Files\McAfee\WebAdvisor,6407,svc_hc
6,,0002RVTSN,DisplaySwitch.exe,C:\Windows\System32\DisplaySwitch.exe,2320,NT AUTHORITY\SYSTEM
7,C:\Windows\system32\lsass.exe,0002RVTSN,lsass.exe,C:\Windows\system32,4316,NT AUTHORITY\SYSTEM
8,C:\Windows\System32\msdtc.exe,0002RVTSN,msdtc.exe,C:\Windows\System32,456,NT AUTHORITY\SYSTEM
9,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,0002RVTSN,svchost.exe,C:\Windows\System32,6308,NT AUTHORITY\SYSTEM
10,taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E},0002RVTSN,taskhostw.exe,C:\Windows\System32,3216,NT AUTHORITY\SYSTEM
11,C:\Windows\System32\svchost.exe -k netsvcs,0002RVTSN,svchost.exe,C:\Windows\System32,3276,NT AUTHORITY\SYSTEM
12,"""C:\Program Files\Common Files\mcafee\Platform\mcuicnt.exe"" ""C:\Program Files\Common Files\McAfee\ActWiz\mcactwiz.dll"" nosplash:",0002RVTSN,mcuicnt.exe,C:\Program Files\Common Files\mcafee\Platform,3301,svc_hc
13,C:\Windows\System32\svchost.exe -k termsvcs,0002RVTSN,svchost.exe,C:\Windows\System32,1516,NT AUTHORITY\SYSTEM
14,winlogon.exe,0002RVTSN,winlogon.exe,C:\Windows\system32,2552,NT AUTHORITY\SYSTEM
15,"""c:\program files\common files\mcafee\modulecore\modulecoreservice.exe""",0002RVTSN,modulecoreservice.exe,c:\program files\common files\mcafee\modulecore,2165,svc_hc
16,"""C:\Program Files\Common Files\McAfee\CSP\3.0.127.0\\McCSPServiceHost.exe""",0002RVTSN,McCSPServiceHost.exe,C:\Program Files\Common Files\McAfee\CSP\3.0.127.0,1668,svc_hc
17,\??\C:\Windows\system32\conhost.exe 0x4,0002RVTSN,conhost.exe,C:\Windows\system32,4552,NT AUTHORITY\SYSTEM
18,"""C:\Program Files\McAfee\MfeAV\MFEAvSvc.exe""",0002RVTSN,MFEAvSvc.exe,C:\Program Files\McAfee\MfeAV,2212,svc_hc
19,"""C:\Program Files\Windows Defender\\MpCmdRun.exe"" SpyNetServiceDss -RestrictPrivileges -AccessKey 5BDCBEBD-E077-6957-0484-82901932C7EC -Reinvoke",0002RVTSN,MpCmdRun.exe,C:\Program Files\Windows Defender,4340,NT AUTHORITY\SYSTEM
20,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",0002RVTSN,mchost.exe,C:\Program Files\Common Files\McAfee\Platform\Core,5585,svc_hc
21,C:\Windows\System32\RuntimeBroker.exe -Embedding,0002RVTSN,RuntimeBroker.exe,C:\Windows\System32,1176,NT AUTHORITY\SYSTEM
23,"""C:\ProgramData\McAfee\Direct\McDiReg.exe"" ",0002RVTSN,McDiReg.exe,C:\ProgramData\McAfee\Direct,2618,svc_hc
24,C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation,0002RVTSN,svchost.exe,C:\Windows\system32,3764,NT AUTHORITY\SYSTEM
25,C:\Windows\system32\dllhost.exe /Processid:{A7CCA429-5F8F-4A5B-B524-82C38D561286},0002RVTSN,dllhost.exe,C:\Windows\system32,6460,NT AUTHORITY\SYSTEM
26,"""C:\Program Files\Common Files\McAfee\PEF\CORE\PEFService.exe""",0002RVTSN,PEFService.exe,C:\Program Files\Common Files\McAfee\PEF\CORE,3317,svc_hc
27,"""C:\Users\svc_hc\AppData\Local\Temp\scoped_dir9616_4071\mcafee_trial_setup_433.0207.3919_key.exe"" ",0002RVTSN,mcafee_trial_setup_433.0207.3919_key.exe,C:\Users\svc_hc\AppData\Local\Temp\scoped_dir9616_4071,1360,svc_hc
28,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",0002RVTSN,McApExe.exe,C:\Program Files\Common Files\McAfee\VSCore_18_6,1767,svc_hc
29,C:\ProgramData\McAfee\Direct\McDiReg.exe -MONITOR_PI2 9508,0002RVTSN,McDiReg.exe,C:\ProgramData\McAfee\Direct,780,svc_hc
32,C:\Windows\System32\reg.exe ADD HKLM\SYSTEM\CurrentControlSet\Control\Lsa /v Security Packages /t REG_expand_SZ /d C:\Windows\System32\owsx7.dll,0002RVTSN,reg.exe,C:\Windows\System32\reg.exe,4484,evelperez61
33,"""C:\Users\darci.wood8\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=6930244878569528683 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6930244878569528683 --renderer-client-id=3 --mojo-platform-channel-handle=2904 /prefetch:1",0002RVTSN,opera.exe,C:\Users\darci.wood8\AppData\Local\Programs\Opera\56.0.3051.52,1059,darci.wood8
35,C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted,0002RVTSN,svchost.exe,C:\Windows\system32,4676,NT AUTHORITY\SYSTEM
