,arguments,hostname,name,path,pid,username
0,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",0003FSINS,McApExe.exe,C:\Program Files\Common Files\McAfee\VSCore_18_6,5128,jasmin.washin
1,wininit.exe,0003FSINS,wininit.exe,C:\Windows\system32,4528,NT AUTHORITY\SYSTEM
2,C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235},0003FSINS,dllhost.exe,C:\Windows\system32,3572,NT AUTHORITY\SYSTEM
3,%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024 20480 768 Windows=On SubSystemType=Windows ServerDll=basesrv 1 ServerDll=winsrv:UserServerDllInitialization 3 ServerDll=winsrv:ConServerDllInitialization 2 ServerDll=sxssrv 4 ProfileControl=Off MaxRequestThreads=16,0003FSINS,csrss.exe,C:\Windows\system32,5520,NT AUTHORITY\SYSTEM
4,C:\Windows\system32\services.exe,0003FSINS,services.exe,C:\Windows\system32,1240,NT AUTHORITY\SYSTEM
5,C:\ProgramData\McAfee\McInstruTrack\McInstruTrack.exe /SP:0,0003FSINS,McInstruTrack.exe,C:\ProgramData\McAfee\McInstruTrack,5929,jasmin.washin
6,"""C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE"" MMSCOM homenetsvc",0003FSINS,MMSSHOST.EXE,C:\Program Files\Common Files\McAfee\MMSSHost,2234,jasmin.washin
7,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,0003FSINS,svchost.exe,C:\Windows\System32,1088,NT AUTHORITY\SYSTEM
8,C:\Windows\System32\svchost.exe -k NetworkService,0003FSINS,svchost.exe,C:\Windows\System32,5152,NT AUTHORITY\SYSTEM
9,ModuleCoreService.exe /startUserModeHosting=4_TIME_TO_DIE,0003FSINS,ModuleCoreService.exe,c:\program files\common files\mcafee\modulecore,5791,jasmin.washin
