,arguments,hostname,name,path,pid,username
0,C:\Windows\system32\lsass.exe,0003FSISW,lsass.exe,C:\Windows\system32,5304,NT AUTHORITY\SYSTEM
1,"""C:\ProgramData\McAfee\Direct\McDiReg.exe"" ",0003FSISW,McDiReg.exe,C:\ProgramData\McAfee\Direct,2792,kyl.sanders
2,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",0003FSISW,mcshield.exe,C:\Program Files\Common Files\McAfee\AMCore,3470,kyl.sanders
3,"""c:\program files\common files\mcafee\modulecore\modulecoreservice.exe""",0003FSISW,modulecoreservice.exe,c:\program files\common files\mcafee\modulecore,663,kyl.sanders
4,"""C:\Program Files\McAfee\MfeAV\MFEAvSvc.exe""",0003FSISW,MFEAvSvc.exe,C:\Program Files\McAfee\MfeAV,2282,kyl.sanders
5,"""C:\Program Files\McAfee\MAT\McPvTray.exe""",0003FSISW,McPvTray.exe,C:\Program Files\McAfee\MAT,4971,kyl.sanders
6,C:\Windows\Explorer.EXE,0003FSISW,Explorer.EXE,C:\Windows,2796,NT AUTHORITY\SYSTEM
7,"""C:\Program Files\Common Files\mcafee\Platform\mcuicnt.exe"" ""C:\Program Files\Common Files\McAfee\ActWiz\mcactwiz.dll"" nosplash:",0003FSISW,mcuicnt.exe,C:\Program Files\Common Files\mcafee\Platform,6216,kyl.sanders
8,C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation,0003FSISW,svchost.exe,C:\Windows\system32,1864,NT AUTHORITY\SYSTEM
10,C:\Windows\System32\VBoxService.exe,0003FSISW,VBoxService.exe,C:\Windows\System32,5192,NT AUTHORITY\SYSTEM
11,"C:\Windows\System32\rundll32.exe C:\Windows\System32\drivers\netlgn.dll,execute",0003FSISW,rundll32.exe,C:\Windows\System32\rundll32.exe,4812,poppyturne23
12,C:\Windows\System32\svchost.exe -k secsvcs,0003FSISW,svchost.exe,C:\Windows\System32,2136,NT AUTHORITY\SYSTEM
13,"""C:\Windows\system32\SearchProtocolHost.exe"" Global\UsGthrFltPipeMssGthrPipe15_ Global\UsGthrCtrlFltPipeMssGthrPipe15 1 -2147483646 ""Software\Microsoft\Windows Search"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)"" ""C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc"" ""DownLevelDaemon"" ",0003FSISW,SearchProtocolHost.exe,C:\Windows\system32,4904,NT AUTHORITY\SYSTEM
