,arguments,hostname,name,path,pid,username
0,"""C:\Users\kyle.torres\AppData\Local\GoToMeeting\9508\g2mstart.exe"" ""/Action Host"" ""/BrokerServiceSuffix @ISL1"" ""/Build 9508"" ""/Download Auto"" ""/EGWAddress 216.115.208.230"" ""/EGWDNS egwglobal.gotomeeting.com"" ""/EGWPort 80 443 8200"" ""/Mode Normal"" ""/Product g2m"" ""/colClientUiReadyEvent Global\55848945-2CEA-4978-BF24-0C6A3B11E66E"" ""/sessionTrackingId e0-PH0LsK8MFgg2A9ZkKW16jt2JkQ4bP""",0003NDINL,g2mstart.exe,C:\Users\kyle.torres\AppData\Local\GoToMeeting\9508,2922,kyle.torres
1,"""C:\Users\kyle.torres\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=6930244878569528683 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6930244878569528683 --renderer-client-id=3 --mojo-platform-channel-handle=2904 /prefetch:1",0003NDINL,opera.exe,C:\Users\kyle.torres\AppData\Local\Programs\Opera\56.0.3051.52,261,kyle.torres
2,taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E},0003NDINL,taskhostw.exe,C:\Windows\System32,6124,NT AUTHORITY\SYSTEM
3,C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235},0003NDINL,dllhost.exe,C:\Windows\system32,3252,NT AUTHORITY\SYSTEM
4,"""C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe""",0003NDINL,armsvc.exe,C:\Program Files (x86)\Common Files\Adobe\ARM\1.0,3650,kyle.torres
5,"""C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE"" MMSCOM homenetsvc",0003NDINL,MMSSHOST.EXE,C:\Program Files\Common Files\McAfee\MMSSHost,1240,kyl.san67
6,"""C:\Users\kyle.torres\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=gpu-process --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --gpu-preferences=KAAAAAAAAACAAwBAAQAAAAAAAAAAAGAAAAAAAAAAAAAIAAAAAAAAACgAAAAEAAAAIAAAAAAAAAAoAAAAAAAAADAAAAAAAAAAOAAAAAAAAAAQAAAAAAAAAAAAAAAKAAAAEAAAAAAAAAAAAAAACwAAABAAAAAAAAAAAQAAAAoAAAAQAAAAAAAAAAEAAAALAAAA --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --service-request-channel-token=7207758415534163028 --mojo-platform-channel-handle=1472 --ignored="" --type=renderer "" /prefetch:2",0003NDINL,opera.exe,C:\Users\kyle.torres\AppData\Local\Programs\Opera\56.0.3051.52,653,kyle.torres
7,C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted,0003NDINL,svchost.exe,C:\Windows\system32,536,NT AUTHORITY\SYSTEM
8,C:\Windows\System32\svchost.exe -k utcsvc,0003NDINL,svchost.exe,C:\Windows\System32,1012,NT AUTHORITY\SYSTEM
9,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",0003NDINL,McApExe.exe,C:\Program Files\Common Files\McAfee\VSCore_18_6,2180,kyl.san67
10,"""C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroCEF\RdrCEF.exe"" --backgroundcolor=16514043",0003NDINL,RdrCEF.exe,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroCEF,1128,kyle.torres
11,"""C:\Users\kyle.torres\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",0003NDINL,OneDrive.exe,C:\Users\kyle.torres\AppData\Local\Microsoft\OneDrive,3860,kyle.torres
12,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",0003NDINL,mchost.exe,C:\Program Files\Common Files\McAfee\Platform\Core,1691,kyl.san67
13,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,0003NDINL,svchost.exe,C:\Windows\System32,3240,NT AUTHORITY\SYSTEM
14,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",0003NDINL,ProtectedModuleHost.exe,C:\Program Files\Common Files\McAfee\ModuleCore,3182,kyl.san67
15,"""C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe"" ",0003NDINL,AcroRd32.exe,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader,5253,kyle.torres
16,C:\Windows\system32\svchost.exe -k LocalService,0003NDINL,svchost.exe,C:\Windows\system32,1236,NT AUTHORITY\SYSTEM
17,"""C:\Users\kyle.torres\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=12376823585177401963 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=12376823585177401963 --renderer-client-id=7 --mojo-platform-channel-handle=2368 /prefetch:1",0003NDINL,opera.exe,C:\Users\kyle.torres\AppData\Local\Programs\Opera\56.0.3051.52,1896,kyle.torres
18,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",0003NDINL,UIHost.exe,C:\Program Files\McAfee\WebAdvisor,3242,kyl.san67
19,C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted,0003NDINL,svchost.exe,C:\Windows\system32,1224,NT AUTHORITY\SYSTEM
20,C:\Windows\System32\svchost.exe -k netsvcs,0003NDINL,svchost.exe,C:\Windows\System32,6372,NT AUTHORITY\SYSTEM
