,arguments,hostname,name,path,pid,username
0,C:\Windows\System32\svchost.exe -k utcsvc,0003ZETSC,svchost.exe,C:\Windows\System32,1084,NT AUTHORITY\SYSTEM
1,"""C:\Program Files\McAfee\WebAdvisor\ServiceHost.exe""",0003ZETSC,ServiceHost.exe,C:\Program Files\McAfee\WebAdvisor,2753,nathanlewis77
2,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",0003ZETSC,mcshield.exe,C:\Program Files\Common Files\McAfee\AMCore,580,nathanlewis77
3,C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted,0003ZETSC,svchost.exe,C:\Windows\system32,4632,NT AUTHORITY\SYSTEM
4,"""LogonUI.exe"" /flags:0x0",0003ZETSC,LogonUI.exe,C:\Windows\system32,2004,NT AUTHORITY\SYSTEM
5,"""C:\Program Files\Common Files\McAfee\CSP\3.0.127.0\\McCSPServiceHost.exe""",0003ZETSC,McCSPServiceHost.exe,C:\Program Files\Common Files\McAfee\CSP\3.0.127.0,2115,nathanlewis77
6,"""C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE"" MMSCOM homenetsvc",0003ZETSC,MMSSHOST.EXE,C:\Program Files\Common Files\McAfee\MMSSHost,4531,nathanlewis77
7,C:\ProgramData\McAfee\McInstruTrack\McInstruTrack.exe /SP:0,0003ZETSC,McInstruTrack.exe,C:\ProgramData\McAfee\McInstruTrack,2721,nathanlewis77
8,C:\Windows\System32\svchost.exe -k termsvcs,0003ZETSC,svchost.exe,C:\Windows\System32,2664,NT AUTHORITY\SYSTEM
9,C:\Windows\system32\svchost.exe -k LocalService,0003ZETSC,svchost.exe,C:\Windows\system32,4572,NT AUTHORITY\SYSTEM
10,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,0003ZETSC,svchost.exe,C:\Windows\System32,4780,NT AUTHORITY\SYSTEM
11,"""C:\Program Files\Common Files\McAfee\TaskScheduler\McAMTaskAgent.exe"" -Embedding",0003ZETSC,McAMTaskAgent.exe,C:\Program Files\Common Files\McAfee\TaskScheduler,4486,nathanlewis77
13,C:\Windows\system32\wbem\wmiprvse.exe,0003ZETSC,wmiprvse.exe,C:\Windows\system32\wbem,6176,NT AUTHORITY\SYSTEM
14,C:\Windows\system32\svchost.exe -k DcomLaunch,0003ZETSC,svchost.exe,C:\Windows\system32,4448,NT AUTHORITY\SYSTEM
16,C:\Windows\System32\spoolsv.exe,0003ZETSC,spoolsv.exe,C:\Windows\System32,1488,NT AUTHORITY\SYSTEM
17,C:\Windows\system32\svchost.exe -k netsvcs,0003ZETSC,svchost.exe,C:\Windows\system32,3852,NT AUTHORITY\SYSTEM
