,arguments,hostname,name,path,pid,username
0,wininit.exe,0004DCDEC,wininit.exe,C:\Windows\system32,2180,NT AUTHORITY\SYSTEM
1,"""C:\Windows\system32\mspaint.exe"" ",0004DCDEC,mspaint.exe,C:\Windows\system32,2926,ivy.hil
2,"""C:\Users\ivy.hil\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",0004DCDEC,OneDrive.exe,C:\Users\ivy.hil\AppData\Local\Microsoft\OneDrive,2907,ivy.hil
3,C:\ProgramData\McAfee\McInstruTrack\McInstruTrack.exe /SP:0,0004DCDEC,McInstruTrack.exe,C:\ProgramData\McAfee\McInstruTrack,1158,jasmin.washin
4,C:\Windows\system32\svchost.exe -k RPCSS,0004DCDEC,svchost.exe,C:\Windows\system32,928,NT AUTHORITY\SYSTEM
5,"""C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1809.2731.0_x64__8wekyb3d8bbwe\Calculator.exe"" -ServerName:App.AppXsm3pg4n7er43kdh1qp4e79f1j7am68r8.mca",0004DCDEC,Calculator.exe,C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1809.2731.0_x64__8wekyb3d8bbwe,5204,tar.patters90
6,"""C:\Users\tar.patters90\AppData\Local\slack\app-3.1.1\slack.exe"" --type=renderer --disable-pinch --no-sandbox --primordial-pipe-token=B3F36050C50A99BD488162270E67D4DD --lang=en-GB --standard-schemes=slack-resources slack-sounds slack-webapp-dev --app-user-model-id=com.squirrel.slack.slack --app-path=""C:\Users\tar.patters90\AppData\Local\slack\app-3.1.1\resources\app.asar"" --node-integration=true --webview-tag=false --no-sandbox --preload=""C:\Users\tar.patters90\AppData\Local\slack\app-3.1.1\resources\app.asar\src\static\index.js"" --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --content-image-texture-target=0 0 3553;0 1 3553;0 2 3553;0 3 3553;0 4 3553;0 5 3553;0 6 3553;0 7 3553;0 8 3553;0 9 3553;0 10 3553;0 11 3553;0 12 3553;0 13 3553;0 14 3553;0 15 3553;0 16 3553;1 0 3553;1 1 3553;1 2 3553;1 3 3553;1 4 3553;1 5 3553;1 6 3553;1 7 3553;1 8 3553;1 9 3553;1 10 3553;1 11 3553;1 12 3553;1 13 3553;1 14 3553;1 15 3553;1 16 3553;2 0 3553;2 1 3553;2 2 3553;2 3 3553;2 4 3553;2 5 3553;2 6 3553;2 7 3553;2 8 3553;2 9 3553;2 10 3553;2 11 3553;2 12 3553;2 13 3553;2 14 3553;2 15 3553;2 16 3553;3 0 3553;3 1 3553;3 2 3553;3 3 3553;3 4 3553;3 5 3553;3 6 3553;3 7 3553;3 8 3553;3 9 3553;3 10 3553;3 11 3553;3 12 3553;3 13 3553;3 14 3553;3 15 3553;3 16 3553;4 0 3553;4 1 3553;4 2 3553;4 3 3553;4 4 3553;4 5 3553;4 6 3553;4 7 3553;4 8 3553;4 9 3553;4 10 3553;4 11 3553;4 12 3553;4 13 3553;4 14 3553;4 15 3553;4 16 3553 --service-request-channel-token=B3F36050C50A99BD488162270E67D4DD --renderer-client-id=8 --mojo-platform-channel-handle=2336 /prefetch:1",0004DCDEC,slack.exe,C:\Users\tar.patters90\AppData\Local\slack\app-3.1.1,3039,tar.patters90
7,"""C:\Users\tar.patters90\AppData\Local\slack\app-3.1.1\slack.exe"" --type=gpu-process --no-sandbox --supports-dual-gpus=false --gpu-driver-bug-workarounds=7 10 11 20 24 26 43 63 76 --disable-gl-extensions=""GL_KHR_blend_equation_advanced GL_KHR_blend_equation_advanced_coherent"" --gpu-vendor-id=0x8086 --gpu-device-id=0x0a16 --gpu-driver-vendor=""Intel Corporation"" --gpu-driver-version=20.19.15.4331 --gpu-driver-date=11-18-2015 --service-request-channel-token=801A57F64621336F74806802DB83B30B --mojo-platform-channel-handle=1628 /prefetch:2",0004DCDEC,slack.exe,C:\Users\tar.patters90\AppData\Local\slack\app-3.1.1,1877,tar.patters90
8,C:\Windows\System32\svchost.exe -k utcsvc,0004DCDEC,svchost.exe,C:\Windows\System32,4772,NT AUTHORITY\SYSTEM
9,taskhostex.exe ,0004DCDEC,taskhostex.exe,C:\Windows\system32,172,NT AUTHORITY\SYSTEM
