,arguments,hostname,name,path,pid,username
0,"""C:\Users\emil.benne\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=gpu-process --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --gpu-preferences=KAAAAAAAAACAAwBAAQAAAAAAAAAAAGAAAAAAAAAAAAAIAAAAAAAAACgAAAAEAAAAIAAAAAAAAAAoAAAAAAAAADAAAAAAAAAAOAAAAAAAAAAQAAAAAAAAAAAAAAAKAAAAEAAAAAAAAAAAAAAACwAAABAAAAAAAAAAAQAAAAoAAAAQAAAAAAAAAAEAAAALAAAA --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --service-request-channel-token=7207758415534163028 --mojo-platform-channel-handle=1472 --ignored="" --type=renderer "" /prefetch:2",0004IBJSS,opera.exe,C:\Users\emil.benne\AppData\Local\Programs\Opera\56.0.3051.52,1923,emil.benne
1,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",0004IBJSS,UIHost.exe,C:\Program Files\McAfee\WebAdvisor,3319,emil.benne
2,"""C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE"" MMSCOM homenetsvc",0004IBJSS,MMSSHOST.EXE,C:\Program Files\Common Files\McAfee\MMSSHost,4928,emil.benne
3,"""C:\Users\emil.benne\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --start-maximized --ran-launcher",0004IBJSS,opera.exe,C:\Users\emil.benne\AppData\Local\Programs\Opera\56.0.3051.52,690,emil.benne
4,C:\Windows\System32\svchost.exe -k termsvcs,0004IBJSS,svchost.exe,C:\Windows\System32,404,NT AUTHORITY\SYSTEM
5,"""C:\Program Files\McAfee\MAT\McPvTray.exe""",0004IBJSS,McPvTray.exe,C:\Program Files\McAfee\MAT,4371,emil.benne
6,"""C:\Users\emil.benne\AppData\Local\Temp\scoped_dir9616_4071\mcafee_trial_setup_433.0207.3919_key.exe"" ",0004IBJSS,mcafee_trial_setup_433.0207.3919_key.exe,C:\Users\emil.benne\AppData\Local\Temp\scoped_dir9616_4071,3051,emil.benne
7,"""C:\Users\emil.benne\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=2685998191293934672 --lang=en-GB --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=2685998191293934672 --renderer-client-id=12 --mojo-platform-channel-handle=4360 /prefetch:1",0004IBJSS,opera.exe,C:\Users\emil.benne\AppData\Local\Programs\Opera\56.0.3051.52,5828,emil.benne
8,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",0004IBJSS,ProtectedModuleHost.exe,C:\Program Files\Common Files\McAfee\ModuleCore,431,emil.benne
9,"""C:\Users\ambe.alexand52\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",0004IBJSS,OneDrive.exe,C:\Users\ambe.alexand52\AppData\Local\Microsoft\OneDrive,277,ambe.alexand52
10,C:\Windows\System32\spoolsv.exe,0004IBJSS,spoolsv.exe,C:\Windows\System32,2860,NT AUTHORITY\SYSTEM
