,arguments,hostname,name,path,pid,username
0,C:\Windows\System32\spoolsv.exe,0004IXGWB,spoolsv.exe,C:\Windows\System32,3176,NT AUTHORITY\SYSTEM
1,C:\ProgramData\McAfee\McInstruTrack\McInstruTrack.exe /SP:0,0004IXGWB,McInstruTrack.exe,C:\ProgramData\McAfee\McInstruTrack,6409,darc.flore1
2,ModuleCoreService.exe /startUserModeHosting=4_TIME_TO_DIE,0004IXGWB,ModuleCoreService.exe,c:\program files\common files\mcafee\modulecore,2690,darc.flore1
3,"""C:\Program Files\WindowsApps\Microsoft.MicrosoftStickyNotes_3.0.119.0_x64__8wekyb3d8bbwe\Microsoft.Notes.exe"" -ServerName:App.AppX495fygk72hjw82j58ny5h3nr8hpsd8vs.mca",0004IXGWB,Microsoft.Notes.exe,C:\Program Files\WindowsApps\Microsoft.MicrosoftStickyNotes_3.0.119.0_x64__8wekyb3d8bbwe,1561,iankel
5,"""C:\Program Files\Common Files\McAfee\PEF\CORE\PEFService.exe""",0004IXGWB,PEFService.exe,C:\Program Files\Common Files\McAfee\PEF\CORE,5397,darc.flore1
6,"""C:\Ruby24-x64\bin\ruby.exe"" ",0004IXGWB,ruby.exe,C:\Ruby24-x64\bin,3892,iankel
7,wininit.exe,0004IXGWB,wininit.exe,C:\Windows\system32,2976,NT AUTHORITY\SYSTEM
8,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",0004IXGWB,mcshield.exe,C:\Program Files\Common Files\McAfee\AMCore,5451,darc.flore1
9,"""C:\Windows\system32\mspaint.exe"" ",0004IXGWB,mspaint.exe,C:\Windows\system32,5315,iankel
10,"""dwm.exe""",0004IXGWB,dwm.exe,C:\Windows\system32,3324,NT AUTHORITY\SYSTEM
11,"""C:\ProgramData\McAfee\Direct\McDiReg.exe"" ",0004IXGWB,McDiReg.exe,C:\ProgramData\McAfee\Direct,3093,darc.flore1
12,C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted,0004IXGWB,svchost.exe,C:\Windows\system32,6352,NT AUTHORITY\SYSTEM
13,C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork,0004IXGWB,svchost.exe,C:\Windows\system32,5168,NT AUTHORITY\SYSTEM
15,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,0004IXGWB,svchost.exe,C:\Windows\System32,4556,NT AUTHORITY\SYSTEM
16,"""dwm.exe""",0004IXGWB,dwm.exe,C:\Windows\system32,5796,NT AUTHORITY\SYSTEM
17,C:\Windows\system32\svchost.exe -k LocalService,0004IXGWB,svchost.exe,C:\Windows\system32,1400,NT AUTHORITY\SYSTEM
19,"""C:\Users\iankel\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=16451249972883912486 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=16451249972883912486 --renderer-client-id=4 --mojo-platform-channel-handle=3140 /prefetch:1",0004IXGWB,opera.exe,C:\Users\iankel\AppData\Local\Programs\Opera\56.0.3051.52,1173,iankel
20,"""C:\Users\iankel\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=12376823585177401963 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=12376823585177401963 --renderer-client-id=7 --mojo-platform-channel-handle=2368 /prefetch:1",0004IXGWB,opera.exe,C:\Users\iankel\AppData\Local\Programs\Opera\56.0.3051.52,4682,iankel
