,arguments,hostname,name,path,pid,username
0,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",0004LCTSB,McApExe.exe,C:\Program Files\Common Files\McAfee\VSCore_18_6,6226,kyl.sanders
1,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,0004LCTSB,svchost.exe,C:\Windows\System32,5492,NT AUTHORITY\SYSTEM
2,"""C:\Program Files\Common Files\McAfee\CSP\3.0.127.0\\McCSPServiceHost.exe""",0004LCTSB,McCSPServiceHost.exe,C:\Program Files\Common Files\McAfee\CSP\3.0.127.0,2929,kyl.sanders
3,"""C:\Program Files\McAfee\MAT\McPvTray.exe""",0004LCTSB,McPvTray.exe,C:\Program Files\McAfee\MAT,5960,kyl.sanders
4,wininit.exe,0004LCTSB,wininit.exe,C:\Windows\system32,3104,NT AUTHORITY\SYSTEM
5,C:\Windows\System32\svchost.exe -k NetworkService,0004LCTSB,svchost.exe,C:\Windows\System32,1944,NT AUTHORITY\SYSTEM
6,C:\ProgramData\McAfee\Direct\McDiReg.exe -MONITOR_PI2 9508,0004LCTSB,McDiReg.exe,C:\ProgramData\McAfee\Direct,3103,kyl.sanders
7,C:\ProgramData\McAfee\McInstruTrack\McInstruTrack.exe /SP:0,0004LCTSB,McInstruTrack.exe,C:\ProgramData\McAfee\McInstruTrack,2461,kyl.sanders
8,"""C:\Program Files\Common Files\McAfee\TaskScheduler\McAMTaskAgent.exe"" -Embedding",0004LCTSB,McAMTaskAgent.exe,C:\Program Files\Common Files\McAfee\TaskScheduler,6085,kyl.sanders
9,\SystemRoot\System32\smss.exe,0004LCTSB,smss.exe,\SystemRoot\System32,244,NT AUTHORITY\SYSTEM
