,arguments,hostname,name,path,pid,username
0,"""taskhost.exe""",0004OZJEE,taskhost.exe,C:\Windows\system32,1488,NT AUTHORITY\SYSTEM
1,winlogon.exe,0004OZJEE,winlogon.exe,C:\Windows\system32,3380,NT AUTHORITY\SYSTEM
2,"""c:\program files\common files\mcafee\modulecore\modulecoreservice.exe""",0004OZJEE,modulecoreservice.exe,c:\program files\common files\mcafee\modulecore,902,laceylee9
3,"""C:\Program Files\Common Files\McAfee\PEF\CORE\PEFService.exe""",0004OZJEE,PEFService.exe,C:\Program Files\Common Files\McAfee\PEF\CORE,6026,laceylee9
4,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,0004OZJEE,svchost.exe,C:\Windows\System32,88,NT AUTHORITY\SYSTEM
5,wininit.exe,0004OZJEE,wininit.exe,C:\Windows\system32,684,NT AUTHORITY\SYSTEM
6,"""C:\Program Files\McAfee\WebAdvisor\ServiceHost.exe""",0004OZJEE,ServiceHost.exe,C:\Program Files\McAfee\WebAdvisor,4106,laceylee9
7,"""C:\Users\emma.ward12\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=2685998191293934672 --lang=en-GB --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=2685998191293934672 --renderer-client-id=12 --mojo-platform-channel-handle=4360 /prefetch:1",0004OZJEE,opera.exe,C:\Users\emma.ward12\AppData\Local\Programs\Opera\56.0.3051.52,1463,emma.ward12
8,C:\ProgramData\McAfee\McInstruTrack\McInstruTrack.exe /SP:0,0004OZJEE,McInstruTrack.exe,C:\ProgramData\McAfee\McInstruTrack,979,laceylee9
9,"""C:\Windows\system32\cmd.exe"" ",0004OZJEE,cmd.exe,C:\Windows\system32,491,emma.ward12
11,"""C:\Users\annagra\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=12376823585177401963 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=12376823585177401963 --renderer-client-id=7 --mojo-platform-channel-handle=2368 /prefetch:1",0004OZJEE,opera.exe,C:\Users\annagra\AppData\Local\Programs\Opera\56.0.3051.52,987,annagra
12,"""C:\Users\emma.ward12\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=gpu-process --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --gpu-preferences=KAAAAAAAAACAAwBAAQAAAAAAAAAAAGAAAAAAAAAAAAAIAAAAAAAAACgAAAAEAAAAIAAAAAAAAAAoAAAAAAAAADAAAAAAAAAAOAAAAAAAAAAQAAAAAAAAAAAAAAAKAAAAEAAAAAAAAAAAAAAACwAAABAAAAAAAAAAAQAAAAoAAAAQAAAAAAAAAAEAAAALAAAA --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --service-request-channel-token=7207758415534163028 --mojo-platform-channel-handle=1472 --ignored="" --type=renderer "" /prefetch:2",0004OZJEE,opera.exe,C:\Users\emma.ward12\AppData\Local\Programs\Opera\56.0.3051.52,2628,emma.ward12
13,C:\Windows\System32\msdtc.exe,0004OZJEE,msdtc.exe,C:\Windows\System32,6424,NT AUTHORITY\SYSTEM
14,"""C:\Program Files\McAfee\MfeAV\MFEAvSvc.exe""",0004OZJEE,MFEAvSvc.exe,C:\Program Files\McAfee\MfeAV,1045,laceylee9
15,"""C:\Windows\system32\Dwm.exe""",0004OZJEE,Dwm.exe,C:\Windows\system32,5760,NT AUTHORITY\SYSTEM
16,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",0004OZJEE,UIHost.exe,C:\Program Files\McAfee\WebAdvisor,4150,laceylee9
17,C:\Windows\system32\svchost.exe -k DcomLaunch,0004OZJEE,svchost.exe,C:\Windows\system32,4812,NT AUTHORITY\SYSTEM
19,C:\Windows\System32\svchost.exe -k utcsvc,0004OZJEE,svchost.exe,C:\Windows\System32,1664,NT AUTHORITY\SYSTEM
20,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",0004OZJEE,mchost.exe,C:\Program Files\Common Files\McAfee\Platform\Core,3435,laceylee9
21,"""C:\Program Files\internet explorer\iexplore.exe"" ",0004OZJEE,iexplore.exe,C:\Program Files\internet explorer,5354,svc_ms
22,"""C:\Users\annagra\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=2685998191293934672 --lang=en-GB --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=2685998191293934672 --renderer-client-id=12 --mojo-platform-channel-handle=4360 /prefetch:1",0004OZJEE,opera.exe,C:\Users\annagra\AppData\Local\Programs\Opera\56.0.3051.52,2560,annagra
24,"C:\Users\annagra\AppData\Local\Programs\Opera\56.0.3051.52\opera_crashreporter.exe --type=crashpad-handler /prefetch:7 --monitor-self-annotation=ptype=crashpad-handler ""--database=C:\Users\annagra\AppData\Roaming\Opera Software\Opera Stable\Crash Reports"" ""--crash-count-file=C:\Users\annagra\AppData\Roaming\Opera Software\Opera Stable\crash_count.txt"" --url=https://crashstats-collector.opera.com/collector/submit --annotation=channel=Stable --annotation=plat=Win64 --annotation=prod=OperaDesktop --annotation=ver=56.0.3051.52 --initial-client-data=0x238 0x304 0x30c 0x320 0x308 0x7ffb51313108 0x7ffb51313118 0x7ffb51313128",0004OZJEE,opera_crashreporter.exe,C:\Users\annagra\AppData\Local\Programs\Opera\56.0.3051.52,4364,annagra
25,"""C:\Users\laceylee9\AppData\Local\Temp\scoped_dir9616_4071\mcafee_trial_setup_433.0207.3919_key.exe"" ",0004OZJEE,mcafee_trial_setup_433.0207.3919_key.exe,C:\Users\laceylee9\AppData\Local\Temp\scoped_dir9616_4071,2943,laceylee9
27,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,0004OZJEE,svchost.exe,C:\Windows\System32,1700,NT AUTHORITY\SYSTEM
28,C:\Windows\system32\services.exe,0004OZJEE,services.exe,C:\Windows\system32,6352,NT AUTHORITY\SYSTEM
29,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",0004OZJEE,ProtectedModuleHost.exe,C:\Program Files\Common Files\McAfee\ModuleCore,1602,laceylee9
30,C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted,0004OZJEE,svchost.exe,C:\Windows\system32,940,NT AUTHORITY\SYSTEM
31,\SystemRoot\System32\smss.exe,0004OZJEE,smss.exe,\SystemRoot\System32,1848,NT AUTHORITY\SYSTEM
32,C:\Windows\system32\lsm.exe,0004OZJEE,lsm.exe,C:\Windows\system32,6020,NT AUTHORITY\SYSTEM
33,"""C:\Users\emma.ward12\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --start-maximized --ran-launcher",0004OZJEE,opera.exe,C:\Users\emma.ward12\AppData\Local\Programs\Opera\56.0.3051.52,5972,emma.ward12
34,"""C:\Users\annagra\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --start-maximized --ran-launcher",0004OZJEE,opera.exe,C:\Users\annagra\AppData\Local\Programs\Opera\56.0.3051.52,1515,annagra
35,"C:\Users\emma.ward12\AppData\Local\Programs\Opera\56.0.3051.52\opera_crashreporter.exe --type=crashpad-handler /prefetch:7 --monitor-self-annotation=ptype=crashpad-handler ""--database=C:\Users\emma.ward12\AppData\Roaming\Opera Software\Opera Stable\Crash Reports"" ""--crash-count-file=C:\Users\emma.ward12\AppData\Roaming\Opera Software\Opera Stable\crash_count.txt"" --url=https://crashstats-collector.opera.com/collector/submit --annotation=channel=Stable --annotation=plat=Win64 --annotation=prod=OperaDesktop --annotation=ver=56.0.3051.52 --initial-client-data=0x238 0x304 0x30c 0x320 0x308 0x7ffb51313108 0x7ffb51313118 0x7ffb51313128",0004OZJEE,opera_crashreporter.exe,C:\Users\emma.ward12\AppData\Local\Programs\Opera\56.0.3051.52,4271,emma.ward12
36,"""C:\Users\annagra\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=6930244878569528683 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6930244878569528683 --renderer-client-id=3 --mojo-platform-channel-handle=2904 /prefetch:1",0004OZJEE,opera.exe,C:\Users\annagra\AppData\Local\Programs\Opera\56.0.3051.52,5794,annagra
38,"""C:\Users\emma.ward12\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=6930244878569528683 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6930244878569528683 --renderer-client-id=3 --mojo-platform-channel-handle=2904 /prefetch:1",0004OZJEE,opera.exe,C:\Users\emma.ward12\AppData\Local\Programs\Opera\56.0.3051.52,6422,emma.ward12
39,"""C:\Users\annagra\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=gpu-process --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --gpu-preferences=KAAAAAAAAACAAwBAAQAAAAAAAAAAAGAAAAAAAAAAAAAIAAAAAAAAACgAAAAEAAAAIAAAAAAAAAAoAAAAAAAAADAAAAAAAAAAOAAAAAAAAAAQAAAAAAAAAAAAAAAKAAAAEAAAAAAAAAAAAAAACwAAABAAAAAAAAAAAQAAAAoAAAAQAAAAAAAAAAEAAAALAAAA --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --service-request-channel-token=7207758415534163028 --mojo-platform-channel-handle=1472 --ignored="" --type=renderer "" /prefetch:2",0004OZJEE,opera.exe,C:\Users\annagra\AppData\Local\Programs\Opera\56.0.3051.52,3378,annagra
40,"""C:\Program Files\Common Files\McAfee\TaskScheduler\McAMTaskAgent.exe"" -Embedding",0004OZJEE,McAMTaskAgent.exe,C:\Program Files\Common Files\McAfee\TaskScheduler,594,laceylee9
41,"""C:\Windows\system32\mspaint.exe"" ",0004OZJEE,mspaint.exe,C:\Windows\system32,4033,emma.ward12
42,"""C:\Users\svc_ms\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",0004OZJEE,OneDrive.exe,C:\Users\svc_ms\AppData\Local\Microsoft\OneDrive,3940,svc_ms
43,C:\Windows\System32\svchost.exe -k termsvcs,0004OZJEE,svchost.exe,C:\Windows\System32,1252,NT AUTHORITY\SYSTEM
44,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe Get-Date,0004OZJEE,powershell.exe,C:\Windows\System32\powershell.exe,1580,emma.ward12
46,"""C:\Program Files\Common Files\mcafee\Platform\mcuicnt.exe"" ""C:\Program Files\Common Files\McAfee\ActWiz\mcactwiz.dll"" nosplash:",0004OZJEE,mcuicnt.exe,C:\Program Files\Common Files\mcafee\Platform,6444,laceylee9
47,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",0004OZJEE,McApExe.exe,C:\Program Files\Common Files\McAfee\VSCore_18_6,1218,laceylee9
49,"\??\C:\Windows\system32\conhost.exe ""-29887463320281528418771495882049435123649789771-108284301750553232-1762948263",0004OZJEE,conhost.exe,C:\Windows\system32,4396,NT AUTHORITY\SYSTEM
51,%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024 20480 768 Windows=On SubSystemType=Windows ServerDll=basesrv 1 ServerDll=winsrv:UserServerDllInitialization 3 ServerDll=winsrv:ConServerDllInitialization 2 ServerDll=sxssrv 4 ProfileControl=Off MaxRequestThreads=16,0004OZJEE,csrss.exe,C:\Windows\system32,3856,NT AUTHORITY\SYSTEM
52,C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork,0004OZJEE,svchost.exe,C:\Windows\system32,5264,NT AUTHORITY\SYSTEM
53,C:\Windows\system32\svchost.exe -k netsvcs,0004OZJEE,svchost.exe,C:\Windows\system32,4512,NT AUTHORITY\SYSTEM
54,"""C:\Users\emma.ward12\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=16451249972883912486 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=16451249972883912486 --renderer-client-id=4 --mojo-platform-channel-handle=3140 /prefetch:1",0004OZJEE,opera.exe,C:\Users\emma.ward12\AppData\Local\Programs\Opera\56.0.3051.52,4145,emma.ward12
55,"""C:\Program Files\Wireshark\Wireshark.exe"" ",0004OZJEE,Wireshark.exe,C:\Program Files\Wireshark,1666,hayden.pere
58,ModuleCoreService.exe /startUserModeHosting=4_TIME_TO_DIE,0004OZJEE,ModuleCoreService.exe,c:\program files\common files\mcafee\modulecore,3707,laceylee9
60,C:\Windows\system32\svchost.exe -k LocalService,0004OZJEE,svchost.exe,C:\Windows\system32,3372,NT AUTHORITY\SYSTEM
