,arguments,hostname,name,path,pid,username
0,wininit.exe,0004YICSL,wininit.exe,C:\Windows\system32,5696,NT AUTHORITY\SYSTEM
1,"""C:\Program Files\McAfee\MfeAV\MFEAvSvc.exe""",0004YICSL,MFEAvSvc.exe,C:\Program Files\McAfee\MfeAV,5502,isabe.cam54
2,"""C:\Users\laceylee9\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=16451249972883912486 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=16451249972883912486 --renderer-client-id=4 --mojo-platform-channel-handle=3140 /prefetch:1",0004YICSL,opera.exe,C:\Users\laceylee9\AppData\Local\Programs\Opera\56.0.3051.52,1386,laceylee9
3,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",0004YICSL,mcshield.exe,C:\Program Files\Common Files\McAfee\AMCore,3758,isabe.cam54
4,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",0004YICSL,mchost.exe,C:\Program Files\Common Files\McAfee\Platform\Core,4872,isabe.cam54
5,"""C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroCEF\RdrCEF.exe"" --type=renderer --disable-browser-side-navigation --disable-gpu-compositing --service-pipe-token=49849BA2F50EBF33EAD978C1E9CA6D55 --lang=en-US --disable-pack-loading --lang=en-US --log-file=""C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroCEF\debug.log"" --log-severity=disable --product-version=""ReaderServices/19.8.20071 Chrome/64.0.3282.119"" --enable-pinch --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --enable-gpu-async-worker-context --content-image-texture-target=0 0 3553;0 1 3553;0 2 3553;0 3 3553;0 4 3553;0 5 3553;0 6 3553;0 7 3553;0 8 3553;0 9 3553;0 10 3553;0 11 3553;0 12 3553;0 13 3553;0 14 3553;0 15 3553;0 16 3553;0 17 3553;0 18 3553;1 0 3553;1 1 3553;1 2 3553;1 3 3553;1 4 3553;1 5 3553;1 6 3553;1 7 3553;1 8 3553;1 9 3553;1 10 3553;1 11 3553;1 12 3553;1 13 3553;1 14 3553;1 15 3553;1 16 3553;1 17 3553;1 18 3553;2 0 3553;2 1 3553;2 2 3553;2 3 3553;2 4 3553;2 5 3553;2 6 3553;2 7 3553;2 8 3553;2 9 3553;2 10 3553;2 11 3553;2 12 3553;2 13 3553;2 14 3553;2 15 3553;2 16 3553;2 17 3553;2 18 3553;3 0 3553;3 1 3553;3 2 3553;3 3 3553;3 4 3553;3 5 3553;3 6 3553;3 7 3553;3 8 3553;3 9 3553;3 10 3553;3 11 3553;3 12 3553;3 13 3553;3 14 3553;3 15 3553;3 16 3553;3 17 3553;3 18 3553;4 0 3553;4 1 3553;4 2 3553;4 3 3553;4 4 3553;4 5 3553;4 6 3553;4 7 3553;4 8 3553;4 9 3553;4 10 3553;4 11 3553;4 12 3553;4 13 3553;4 14 3553;4 15 3553;4 16 3553;4 17 3553;4 18 3553;5 0 3553;5 1 3553;5 2 3553;5 3 3553;5 4 3553;5 5 3553;5 6 3553;5 7 3553;5 8 3553;5 9 3553;5 10 3553;5 11 3553;5 12 3553;5 13 3553;5 14 3553;5 15 3553;5 16 3553;5 17 3553;5 18 3553;6 0 3553;6 1 3553;6 2 3553;6 3 3553;6 4 3553;6 5 3553;6 6 3553;6 7 3553;6 8 3553;6 9 3553;6 10 3553;6 11 3553;6 12 3553;6 13 3553;6 14 3553;6 15 3553;6 16 3553;6 17 3553;6 18 3553 --disable-accelerated-video-decode --service-request-channel-token=49849BA2F50EBF33EAD978C1E9CA6D55 --renderer-client-id=4 --mojo-platform-channel-handle=2328 --allow-no-sandbox-job /prefetch:1",0004YICSL,RdrCEF.exe,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroCEF,1257,iankel
6,C:\Windows\System32\svchost.exe -k termsvcs,0004YICSL,svchost.exe,C:\Windows\System32,5212,NT AUTHORITY\SYSTEM
7,C:\Windows\system32\svchost.exe -k netsvcs,0004YICSL,svchost.exe,C:\Windows\system32,1092,NT AUTHORITY\SYSTEM
8,"""C:\Users\laceylee9\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=2685998191293934672 --lang=en-GB --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=2685998191293934672 --renderer-client-id=12 --mojo-platform-channel-handle=4360 /prefetch:1",0004YICSL,opera.exe,C:\Users\laceylee9\AppData\Local\Programs\Opera\56.0.3051.52,5790,laceylee9
9,"""C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe"" --type=renderer /prefetch:1",0004YICSL,AcroRd32.exe,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader,6341,iankel
11,"""taskhost.exe""",0004YICSL,taskhost.exe,C:\Windows\system32,6172,NT AUTHORITY\SYSTEM
12,"""C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe"" ",0004YICSL,AcroRd32.exe,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader,6450,iankel
13,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",0004YICSL,UIHost.exe,C:\Program Files\McAfee\WebAdvisor,1184,isabe.cam54
14,"""C:\Program Files\McAfee\MAT\McPvTray.exe""",0004YICSL,McPvTray.exe,C:\Program Files\McAfee\MAT,4914,isabe.cam54
15,"""C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE"" MMSCOM homenetsvc",0004YICSL,MMSSHOST.EXE,C:\Program Files\Common Files\McAfee\MMSSHost,2019,isabe.cam54
16,"""C:\Program Files\Wireshark\Wireshark.exe"" ",0004YICSL,Wireshark.exe,C:\Program Files\Wireshark,1311,laceylee9
17,"""LogonUI.exe"" /flags:0x0",0004YICSL,LogonUI.exe,C:\Windows\system32,4404,NT AUTHORITY\SYSTEM
18,C:\ProgramData\McAfee\McInstruTrack\McInstruTrack.exe /SP:0,0004YICSL,McInstruTrack.exe,C:\ProgramData\McAfee\McInstruTrack,3358,isabe.cam54
19,"""C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe""",0004YICSL,armsvc.exe,C:\Program Files (x86)\Common Files\Adobe\ARM\1.0,6315,iankel
20,"""C:\Users\laceylee9\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=6930244878569528683 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6930244878569528683 --renderer-client-id=3 --mojo-platform-channel-handle=2904 /prefetch:1",0004YICSL,opera.exe,C:\Users\laceylee9\AppData\Local\Programs\Opera\56.0.3051.52,798,laceylee9
21,C:\Windows\system32\svchost.exe -k DcomLaunch,0004YICSL,svchost.exe,C:\Windows\system32,3432,NT AUTHORITY\SYSTEM
