,arguments,hostname,name,path,pid,username
0,"""C:\Users\ambe.alexand52\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=12376823585177401963 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=12376823585177401963 --renderer-client-id=7 --mojo-platform-channel-handle=2368 /prefetch:1",0005FSISC,opera.exe,C:\Users\ambe.alexand52\AppData\Local\Programs\Opera\56.0.3051.52,2366,ambe.alexand52
1,C:\Windows\system32\svchost.exe -k NetworkService,0005FSISC,svchost.exe,C:\Windows\system32,3752,NT AUTHORITY\SYSTEM
2,"""dwm.exe""",0005FSISC,dwm.exe,C:\Windows\system32,5656,NT AUTHORITY\SYSTEM
3,C:\Windows\system32\lsass.exe,0005FSISC,lsass.exe,C:\Windows\system32,4300,NT AUTHORITY\SYSTEM
4,"""C:\Users\ambe.alexand52\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=gpu-process --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --gpu-preferences=KAAAAAAAAACAAwBAAQAAAAAAAAAAAGAAAAAAAAAAAAAIAAAAAAAAACgAAAAEAAAAIAAAAAAAAAAoAAAAAAAAADAAAAAAAAAAOAAAAAAAAAAQAAAAAAAAAAAAAAAKAAAAEAAAAAAAAAAAAAAACwAAABAAAAAAAAAAAQAAAAoAAAAQAAAAAAAAAAEAAAALAAAA --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --service-request-channel-token=7207758415534163028 --mojo-platform-channel-handle=1472 --ignored="" --type=renderer "" /prefetch:2",0005FSISC,opera.exe,C:\Users\ambe.alexand52\AppData\Local\Programs\Opera\56.0.3051.52,2067,ambe.alexand52
5,taskhostex.exe ,0005FSISC,taskhostex.exe,C:\Windows\system32,6300,NT AUTHORITY\SYSTEM
6,C:\Windows\System32\msdtc.exe,0005FSISC,msdtc.exe,C:\Windows\System32,1808,NT AUTHORITY\SYSTEM
7,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",0005FSISC,mchost.exe,C:\Program Files\Common Files\McAfee\Platform\Core,4680,darc.flore1
8,"""C:\Program Files\McAfee\WebAdvisor\ServiceHost.exe""",0005FSISC,ServiceHost.exe,C:\Program Files\McAfee\WebAdvisor,5960,darc.flore1
9,C:\Windows\system32\wbem\wmiprvse.exe,0005FSISC,wmiprvse.exe,C:\Windows\system32\wbem,1456,NT AUTHORITY\SYSTEM
10,"""C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe"" ",0005FSISC,AcroRd32.exe,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader,5192,nicbell76
11,"""C:\Program Files\KeePassXC\KeePassXC.exe"" ",0005FSISC,KeePassXC.exe,C:\Program Files\KeePassXC,2660,ambe.alexand52
12,"""C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroCEF\RdrCEF.exe"" --backgroundcolor=16514043",0005FSISC,RdrCEF.exe,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroCEF,3556,nicbell76
13,"""C:\Program Files\Common Files\McAfee\PEF\CORE\PEFService.exe""",0005FSISC,PEFService.exe,C:\Program Files\Common Files\McAfee\PEF\CORE,6219,darc.flore1
14,C:\Windows\System32\spoolsv.exe,0005FSISC,spoolsv.exe,C:\Windows\System32,1204,NT AUTHORITY\SYSTEM
15,"""dwm.exe""",0005FSISC,dwm.exe,C:\Windows\system32,5304,NT AUTHORITY\SYSTEM
16,"""C:\Users\avasanche\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=16451249972883912486 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=16451249972883912486 --renderer-client-id=4 --mojo-platform-channel-handle=3140 /prefetch:1",0005FSISC,opera.exe,C:\Users\avasanche\AppData\Local\Programs\Opera\56.0.3051.52,3548,avasanche
17,"""C:\Users\avasanche\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=2685998191293934672 --lang=en-GB --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=2685998191293934672 --renderer-client-id=12 --mojo-platform-channel-handle=4360 /prefetch:1",0005FSISC,opera.exe,C:\Users\avasanche\AppData\Local\Programs\Opera\56.0.3051.52,4130,avasanche
18,"""C:\Users\ambe.alexand52\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --start-maximized --ran-launcher",0005FSISC,opera.exe,C:\Users\ambe.alexand52\AppData\Local\Programs\Opera\56.0.3051.52,4692,ambe.alexand52
