,arguments,hostname,name,path,pid,username
0,"""C:\Users\wil.bryant36\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=gpu-process --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --gpu-preferences=KAAAAAAAAACAAwBAAQAAAAAAAAAAAGAAAAAAAAAAAAAIAAAAAAAAACgAAAAEAAAAIAAAAAAAAAAoAAAAAAAAADAAAAAAAAAAOAAAAAAAAAAQAAAAAAAAAAAAAAAKAAAAEAAAAAAAAAAAAAAACwAAABAAAAAAAAAAAQAAAAoAAAAQAAAAAAAAAAEAAAALAAAA --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --service-request-channel-token=7207758415534163028 --mojo-platform-channel-handle=1472 --ignored="" --type=renderer "" /prefetch:2",0005FXGSS,opera.exe,C:\Users\wil.bryant36\AppData\Local\Programs\Opera\56.0.3051.52,3699,wil.bryant36
1,"""C:\Users\wil.bryant36\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=16451249972883912486 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=16451249972883912486 --renderer-client-id=4 --mojo-platform-channel-handle=3140 /prefetch:1",0005FXGSS,opera.exe,C:\Users\wil.bryant36\AppData\Local\Programs\Opera\56.0.3051.52,2357,wil.bryant36
2,"""C:\Program Files\Common Files\McAfee\CSP\3.0.127.0\\McCSPServiceHost.exe""",0005FXGSS,McCSPServiceHost.exe,C:\Program Files\Common Files\McAfee\CSP\3.0.127.0,1082,ambe.alexand52
3,"""C:\Users\sumjac\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",0005FXGSS,OneDrive.exe,C:\Users\sumjac\AppData\Local\Microsoft\OneDrive,1323,sumjac
4,"""C:\Users\wil.bryant36\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=6930244878569528683 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6930244878569528683 --renderer-client-id=3 --mojo-platform-channel-handle=2904 /prefetch:1",0005FXGSS,opera.exe,C:\Users\wil.bryant36\AppData\Local\Programs\Opera\56.0.3051.52,6318,wil.bryant36
5,"""C:\Users\sumjac\AppData\Local\slack\app-3.1.1\slack.exe""",0005FXGSS,slack.exe,C:\Users\sumjac\AppData\Local\slack\app-3.1.1,3038,sumjac
7,C:\Windows\system32\svchost.exe -k regsvc,0005FXGSS,svchost.exe,C:\Windows\system32,5500,NT AUTHORITY\SYSTEM
8,C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235},0005FXGSS,dllhost.exe,C:\Windows\system32,6236,NT AUTHORITY\SYSTEM
9,"""LogonUI.exe"" /flags:0x0",0005FXGSS,LogonUI.exe,C:\Windows\system32,2396,NT AUTHORITY\SYSTEM
11,C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork,0005FXGSS,svchost.exe,C:\Windows\system32,1416,NT AUTHORITY\SYSTEM
12,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,0005FXGSS,svchost.exe,C:\Windows\System32,6352,NT AUTHORITY\SYSTEM
13,winlogon.exe,0005FXGSS,winlogon.exe,C:\Windows\system32,5424,NT AUTHORITY\SYSTEM
14,C:\Windows\System32\svchost.exe -k NetworkService,0005FXGSS,svchost.exe,C:\Windows\System32,4872,NT AUTHORITY\SYSTEM
16,C:\Windows\system32\svchost.exe -k RPCSS,0005FXGSS,svchost.exe,C:\Windows\system32,2200,NT AUTHORITY\SYSTEM
17,"""taskhost.exe""",0005FXGSS,taskhost.exe,C:\Windows\system32,952,NT AUTHORITY\SYSTEM
18,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",0005FXGSS,UIHost.exe,C:\Program Files\McAfee\WebAdvisor,375,ambe.alexand52
19,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",0005FXGSS,mcshield.exe,C:\Program Files\Common Files\McAfee\AMCore,4618,ambe.alexand52
