,arguments,hostname,name,path,pid,username
0,"""C:\Program Files\McAfee\WebAdvisor\ServiceHost.exe""",0005HNPSB,ServiceHost.exe,C:\Program Files\McAfee\WebAdvisor,520,christi.scot
1,C:\Windows\system32\svchost.exe -k LocalService -p,0005HNPSB,svchost.exe,C:\Windows\system32,1312,NT AUTHORITY\SYSTEM
2,"""C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe""",0005HNPSB,armsvc.exe,C:\Program Files (x86)\Common Files\Adobe\ARM\1.0,1783,laceylee9
3,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",0005HNPSB,ProtectedModuleHost.exe,C:\Program Files\Common Files\McAfee\ModuleCore,5596,christi.scot
4,c:\windows\system32\svchost.exe -k netsvcs -p -s TokenBroker,0005HNPSB,svchost.exe,c:\windows\system32,1392,NT AUTHORITY\SYSTEM
5,"""C:\Users\jayden.foste\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=6930244878569528683 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6930244878569528683 --renderer-client-id=3 --mojo-platform-channel-handle=2904 /prefetch:1",0005HNPSB,opera.exe,C:\Users\jayden.foste\AppData\Local\Programs\Opera\56.0.3051.52,6175,jayden.foste
6,"""C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe"" --type=renderer /prefetch:1",0005HNPSB,AcroRd32.exe,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader,6469,laceylee9
7,c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s StorSvc,0005HNPSB,svchost.exe,c:\windows\system32,3800,NT AUTHORITY\SYSTEM
8,c:\windows\system32\svchost.exe -k localserviceandnoimpersonation -p -s SSDPSRV,0005HNPSB,svchost.exe,c:\windows\system32,6328,NT AUTHORITY\SYSTEM
9,c:\windows\system32\svchost.exe -k unistacksvcgroup,0005HNPSB,svchost.exe,c:\windows\system32,2004,NT AUTHORITY\SYSTEM
