,arguments,hostname,name,path,pid,username
0,C:\Windows\system32\svchost.exe -k netsvcs,0005KTXSE,svchost.exe,C:\Windows\system32,2388,NT AUTHORITY\SYSTEM
1,"""C:\Program Files\Common Files\McAfee\PEF\CORE\PEFService.exe""",0005KTXSE,PEFService.exe,C:\Program Files\Common Files\McAfee\PEF\CORE,5571,iankel
2,"""C:\ProgramData\McAfee\Direct\McDiReg.exe"" ",0005KTXSE,McDiReg.exe,C:\ProgramData\McAfee\Direct,3051,iankel
3,C:\Windows\system32\svchost.exe -k DcomLaunch,0005KTXSE,svchost.exe,C:\Windows\system32,1300,NT AUTHORITY\SYSTEM
4,"""C:\Users\iankel\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=12376823585177401963 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=12376823585177401963 --renderer-client-id=7 --mojo-platform-channel-handle=2368 /prefetch:1",0005KTXSE,opera.exe,C:\Users\iankel\AppData\Local\Programs\Opera\56.0.3051.52,5895,iankel
5,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",0005KTXSE,mchost.exe,C:\Program Files\Common Files\McAfee\Platform\Core,4791,iankel
6,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",0005KTXSE,ProtectedModuleHost.exe,C:\Program Files\Common Files\McAfee\ModuleCore,4532,iankel
7,"""C:\Users\iankel\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=16451249972883912486 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=16451249972883912486 --renderer-client-id=4 --mojo-platform-channel-handle=3140 /prefetch:1",0005KTXSE,opera.exe,C:\Users\iankel\AppData\Local\Programs\Opera\56.0.3051.52,2724,iankel
8,"""C:\Users\iri.jone4\AppData\Local\GoToMeeting\9508\g2mcomm.exe"" ""Action=Host&amp;BrokerServiceSuffix=@ISL1&amp;Build=9508&amp;colClientUiReadyEvent=Global\55848945-2CEA-4978-BF24-0C6A3B11E66E&amp;Digest=1bc982ef0552b1fb859a423b1f290ef0&amp;Dir=C:\Users\iri.jone4\AppData\Local\GoToMeeting\9508\&amp;Download=Auto&amp;EGWAddress=216.115.208.230&amp;EGWDNS=egwglobal.gotomeeting.com&amp;EGWPort=80 443 8200&amp;LoaderPath=C:\Users\iri.jone4\AppData\Local\GoToMeeting\9508\g2mstart.exe&amp;LogName=c:\users\iri.jone4\appdata\local\temp\logmeinlogs\gotomeeting\9508\2018-10-29_12.04.18.379\GoToMeeting.log&amp;Mode=Normal&amp;Path=g2mlauncher.exe&amp;Plugin=G2MLauncher&amp;Product=g2m&amp;sessionTrackingId=e0-PH0LsK8MFgg2A9ZkKW16jt2JkQ4bP&amp;UniqueId=16cc""",0005KTXSE,g2mcomm.exe,C:\Users\iri.jone4\AppData\Local\GoToMeeting\9508,2505,iri.jone4
9,C:\Windows\system32\lsass.exe,0005KTXSE,lsass.exe,C:\Windows\system32,100,NT AUTHORITY\SYSTEM
10,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,0005KTXSE,svchost.exe,C:\Windows\System32,6440,NT AUTHORITY\SYSTEM
11,C:\Windows\System32\svchost.exe -k utcsvc,0005KTXSE,svchost.exe,C:\Windows\System32,3016,NT AUTHORITY\SYSTEM
12,wininit.exe,0005KTXSE,wininit.exe,C:\Windows\system32,360,NT AUTHORITY\SYSTEM
