,arguments,hostname,name,path,pid,username
0,"""C:\Program Files\Common Files\McAfee\TaskScheduler\McAMTaskAgent.exe"" -Embedding",0005LCTEW,McAMTaskAgent.exe,C:\Program Files\Common Files\McAfee\TaskScheduler,747,charlottebailey37
1,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",0005LCTEW,McApExe.exe,C:\Program Files\Common Files\McAfee\VSCore_18_6,5648,charlottebailey37
2,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",0005LCTEW,UIHost.exe,C:\Program Files\McAfee\WebAdvisor,6248,charlottebailey37
3,"""c:\program files\common files\mcafee\modulecore\modulecoreservice.exe""",0005LCTEW,modulecoreservice.exe,c:\program files\common files\mcafee\modulecore,4799,charlottebailey37
4,C:\Windows\system32\dllhost.exe /Processid:{3EAE8C5E-B51F-4CBD-9DCE-FA6AA0BDF8B8},0005LCTEW,dllhost.exe,C:\Windows\system32,2996,NT AUTHORITY\SYSTEM
5,"""C:\Program Files\WindowsApps\Microsoft.MicrosoftStickyNotes_3.0.119.0_x64__8wekyb3d8bbwe\Microsoft.Notes.exe"" -ServerName:App.AppX495fygk72hjw82j58ny5h3nr8hpsd8vs.mca",0005LCTEW,Microsoft.Notes.exe,C:\Program Files\WindowsApps\Microsoft.MicrosoftStickyNotes_3.0.119.0_x64__8wekyb3d8bbwe,2780,elizabut81
6,C:\ProgramData\McAfee\Direct\McDiReg.exe -MONITOR_PI2 9508,0005LCTEW,McDiReg.exe,C:\ProgramData\McAfee\Direct,6431,charlottebailey37
7,"""C:\Users\elizabut81\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=2685998191293934672 --lang=en-GB --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=2685998191293934672 --renderer-client-id=12 --mojo-platform-channel-handle=4360 /prefetch:1",0005LCTEW,opera.exe,C:\Users\elizabut81\AppData\Local\Programs\Opera\56.0.3051.52,4149,elizabut81
8,"""C:\Users\elizabut81\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=gpu-process --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --gpu-preferences=KAAAAAAAAACAAwBAAQAAAAAAAAAAAGAAAAAAAAAAAAAIAAAAAAAAACgAAAAEAAAAIAAAAAAAAAAoAAAAAAAAADAAAAAAAAAAOAAAAAAAAAAQAAAAAAAAAAAAAAAKAAAAEAAAAAAAAAAAAAAACwAAABAAAAAAAAAAAQAAAAoAAAAQAAAAAAAAAAEAAAALAAAA --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --service-request-channel-token=7207758415534163028 --mojo-platform-channel-handle=1472 --ignored="" --type=renderer "" /prefetch:2",0005LCTEW,opera.exe,C:\Users\elizabut81\AppData\Local\Programs\Opera\56.0.3051.52,1251,elizabut81
9,C:\Windows\System32\svchost.exe -k NetworkService,0005LCTEW,svchost.exe,C:\Windows\System32,5324,NT AUTHORITY\SYSTEM
10,C:\Windows\System32\spoolsv.exe,0005LCTEW,spoolsv.exe,C:\Windows\System32,3064,NT AUTHORITY\SYSTEM
11,"""C:\Users\lea.russel33\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",0005LCTEW,OneDrive.exe,C:\Users\lea.russel33\AppData\Local\Microsoft\OneDrive,5474,lea.russel33
12,"""C:\Program Files\CyberGhost 6\CyberGhost.Service.exe""",0005LCTEW,CyberGhost.Service.exe,C:\Program Files\CyberGhost 6,3971,matild.howard8
13,"""C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE"" MMSCOM homenetsvc",0005LCTEW,MMSSHOST.EXE,C:\Program Files\Common Files\McAfee\MMSSHost,1651,charlottebailey37
14,"""C:\Program Files\McAfee\MfeAV\MFEAvSvc.exe""",0005LCTEW,MFEAvSvc.exe,C:\Program Files\McAfee\MfeAV,6061,charlottebailey37
17,C:\Windows\system32\svchost.exe -k netsvcs,0005LCTEW,svchost.exe,C:\Windows\system32,2356,NT AUTHORITY\SYSTEM
18,"""C:\Program Files\Common Files\mcafee\Platform\mcuicnt.exe"" ""C:\Program Files\Common Files\McAfee\ActWiz\mcactwiz.dll"" nosplash:",0005LCTEW,mcuicnt.exe,C:\Program Files\Common Files\mcafee\Platform,5269,charlottebailey37
19,"""C:\Program Files\Common Files\McAfee\PEF\CORE\PEFService.exe""",0005LCTEW,PEFService.exe,C:\Program Files\Common Files\McAfee\PEF\CORE,2581,charlottebailey37
