,arguments,hostname,name,path,pid,username
0,C:\Windows\system32\lsass.exe,0005LKOES,lsass.exe,C:\Windows\system32,5408,NT AUTHORITY\SYSTEM
1,"""C:\Users\jayden.foste\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --start-maximized --ran-launcher",0005LKOES,opera.exe,C:\Users\jayden.foste\AppData\Local\Programs\Opera\56.0.3051.52,4427,jayden.foste
2,"""C:\Program Files\McAfee\MAT\McPvTray.exe""",0005LKOES,McPvTray.exe,C:\Program Files\McAfee\MAT,4224,jasmin.washin
3,"""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --field-trial-handle=1556 1270622256617353588 15561965010207222735 131072 --service-pipe-token=1352282089870284743 --lang=en-US --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --device-scale-factor=1 --num-raster-threads=3 --enable-main-frame-before-activation --service-request-channel-token=1352282089870284743 --renderer-client-id=45 --mojo-platform-channel-handle=7884 /prefetch:1",0005LKOES,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,4944,jasmin.washin
4,"""C:\Users\jayden.foste\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",0005LKOES,OneDrive.exe,C:\Users\jayden.foste\AppData\Local\Microsoft\OneDrive,6073,jayden.foste
5,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" ",0005LKOES,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0,562,jayden.foste
6,C:\Windows\system32\services.exe,0005LKOES,services.exe,C:\Windows\system32,984,NT AUTHORITY\SYSTEM
7,"""C:\Users\jayden.foste\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=6930244878569528683 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6930244878569528683 --renderer-client-id=3 --mojo-platform-channel-handle=2904 /prefetch:1",0005LKOES,opera.exe,C:\Users\jayden.foste\AppData\Local\Programs\Opera\56.0.3051.52,4920,jayden.foste
8,"""C:\Users\jayden.foste\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=12376823585177401963 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=12376823585177401963 --renderer-client-id=7 --mojo-platform-channel-handle=2368 /prefetch:1",0005LKOES,opera.exe,C:\Users\jayden.foste\AppData\Local\Programs\Opera\56.0.3051.52,4188,jayden.foste
9,"""C:\Users\jasmin.washin\AppData\Local\GitHubDesktop\app-1.4.3\GitHubDesktop.exe"" --squirrel-firstrun",0005LKOES,GitHubDesktop.exe,C:\Users\jasmin.washin\AppData\Local\GitHubDesktop\app-1.4.3,1145,jasmin.washin
10,C:\Windows\system32\svchost.exe -k RPCSS,0005LKOES,svchost.exe,C:\Windows\system32,924,NT AUTHORITY\SYSTEM
11,"""C:\Windows\system32\Dwm.exe""",0005LKOES,Dwm.exe,C:\Windows\system32,2352,NT AUTHORITY\SYSTEM
12,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",0005LKOES,ProtectedModuleHost.exe,C:\Program Files\Common Files\McAfee\ModuleCore,1391,jasmin.washin
14,"""C:\Program Files\McAfee\MfeAV\MFEAvSvc.exe""",0005LKOES,MFEAvSvc.exe,C:\Program Files\McAfee\MfeAV,2899,jasmin.washin
15,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",0005LKOES,McApExe.exe,C:\Program Files\Common Files\McAfee\VSCore_18_6,4155,jasmin.washin
17,"""C:\ProgramData\McAfee\Direct\McDiReg.exe"" ",0005LKOES,McDiReg.exe,C:\ProgramData\McAfee\Direct,2194,jasmin.washin
18,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" ",0005LKOES,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0,3194,jayden.foste
19,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,0005LKOES,svchost.exe,C:\Windows\System32,3320,NT AUTHORITY\SYSTEM
20,"""C:\Windows\system32\SearchProtocolHost.exe"" Global\UsGthrFltPipeMssGthrPipe15_ Global\UsGthrCtrlFltPipeMssGthrPipe15 1 -2147483646 ""Software\Microsoft\Windows Search"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)"" ""C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc"" ""DownLevelDaemon"" ",0005LKOES,SearchProtocolHost.exe,C:\Windows\system32,3400,NT AUTHORITY\SYSTEM
21,C:\Windows\system32\svchost.exe -k NetworkService,0005LKOES,svchost.exe,C:\Windows\system32,6428,NT AUTHORITY\SYSTEM
22,C:\Windows\servicing\TrustedInstaller.exe,0005LKOES,TrustedInstaller.exe,C:\Windows\servicing,5188,NT AUTHORITY\SYSTEM
23,"""C:\Program Files\Common Files\McAfee\PEF\CORE\PEFService.exe""",0005LKOES,PEFService.exe,C:\Program Files\Common Files\McAfee\PEF\CORE,3469,jasmin.washin
24,C:\Windows\system32\svchost.exe -k LocalService,0005LKOES,svchost.exe,C:\Windows\system32,3332,NT AUTHORITY\SYSTEM
26,"""C:\Users\jayden.foste\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=gpu-process --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --gpu-preferences=KAAAAAAAAACAAwBAAQAAAAAAAAAAAGAAAAAAAAAAAAAIAAAAAAAAACgAAAAEAAAAIAAAAAAAAAAoAAAAAAAAADAAAAAAAAAAOAAAAAAAAAAQAAAAAAAAAAAAAAAKAAAAEAAAAAAAAAAAAAAACwAAABAAAAAAAAAAAQAAAAoAAAAQAAAAAAAAAAEAAAALAAAA --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --service-request-channel-token=7207758415534163028 --mojo-platform-channel-handle=1472 --ignored="" --type=renderer "" /prefetch:2",0005LKOES,opera.exe,C:\Users\jayden.foste\AppData\Local\Programs\Opera\56.0.3051.52,6057,jayden.foste
