,arguments,hostname,name,path,pid,username
0,C:\Windows\system32\SettingSyncHost.exe -Embedding,0005OIUWS,SettingSyncHost.exe,C:\Windows\system32,2952,NT AUTHORITY\SYSTEM
1,"""fontdrvhost.exe""",0005OIUWS,fontdrvhost.exe,C:\Windows\System32,516,NT AUTHORITY\SYSTEM
2,c:\windows\system32\svchost.exe -k networkservice -p -s LanmanWorkstation,0005OIUWS,svchost.exe,c:\windows\system32,2648,NT AUTHORITY\SYSTEM
3,c:\windows\system32\svchost.exe -k networkservice -p -s TapiSrv,0005OIUWS,svchost.exe,c:\windows\system32,5376,NT AUTHORITY\SYSTEM
4,c:\windows\system32\svchost.exe -k unistacksvcgroup,0005OIUWS,svchost.exe,c:\windows\system32,6344,NT AUTHORITY\SYSTEM
5,"""C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe"" -ServerName:WindowsDefaultLockScreen.AppX7y4nbzq37zn4ks9k7amqjywdat7d3j2z.mca",0005OIUWS,LockApp.exe,C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy,4528,NT AUTHORITY\SYSTEM
6,c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s TrkWks,0005OIUWS,svchost.exe,c:\windows\system32,1208,NT AUTHORITY\SYSTEM
7,C:\Windows\Explorer.EXE,0005OIUWS,Explorer.EXE,C:\Windows,3988,NT AUTHORITY\SYSTEM
8,c:\windows\system32\svchost.exe -k netsvcs -p,0005OIUWS,svchost.exe,c:\windows\system32,424,NT AUTHORITY\SYSTEM
9,c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s SysMain,0005OIUWS,svchost.exe,c:\windows\system32,2600,NT AUTHORITY\SYSTEM
10,c:\windows\system32\svchost.exe -k netsvcs -p -s Themes,0005OIUWS,svchost.exe,c:\windows\system32,3868,NT AUTHORITY\SYSTEM
12,c:\windows\system32\svchost.exe -k rpcss -p,0005OIUWS,svchost.exe,c:\windows\system32,5056,NT AUTHORITY\SYSTEM
13,"""C:\Users\cartemor\AppData\Local\GitHubDesktop\app-1.4.3\GitHubDesktop.exe"" --type=gpu-process --no-sandbox --supports-dual-gpus=false --gpu-driver-bug-workarounds=9 12 13 23 27 29 49 70 84 --disable-gl-extensions=""GL_KHR_blend_equation_advanced GL_KHR_blend_equation_advanced_coherent"" --gpu-vendor-id=0x8086 --gpu-device-id=0x0a16 --gpu-driver-vendor=""Intel Corporation"" --gpu-driver-version=20.19.15.4331 --gpu-driver-date=11-18-2015 --service-request-channel-token=29571E74A71F5219E432184D13D76C95 --mojo-platform-channel-handle=1732 /prefetch:2",0005OIUWS,GitHubDesktop.exe,C:\Users\cartemor\AppData\Local\GitHubDesktop\app-1.4.3,310,cartemor
14,c:\windows\system32\svchost.exe -k netsvcs -p -s lfsvc,0005OIUWS,svchost.exe,c:\windows\system32,3760,NT AUTHORITY\SYSTEM
15,"""c:\program files\common files\mcafee\modulecore\modulecoreservice.exe""",0005OIUWS,modulecoreservice.exe,c:\program files\common files\mcafee\modulecore,5917,ricwash100
16,C:\Windows\system32\lsass.exe,0005OIUWS,lsass.exe,C:\Windows\system32,1284,NT AUTHORITY\SYSTEM
17,"""dwm.exe""",0005OIUWS,dwm.exe,C:\Windows\System32,1848,NT AUTHORITY\SYSTEM
18,c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s SensorService,0005OIUWS,svchost.exe,c:\windows\system32,908,NT AUTHORITY\SYSTEM
19,C:\Windows\system32\svchost.exe -k SDRSVC,0005OIUWS,svchost.exe,C:\Windows\system32,3608,NT AUTHORITY\SYSTEM
20,"""C:\Program Files\WindowsApps\Microsoft.MicrosoftStickyNotes_3.0.119.0_x64__8wekyb3d8bbwe\Microsoft.Notes.exe"" -ServerName:App.AppX495fygk72hjw82j58ny5h3nr8hpsd8vs.mca",0005OIUWS,Microsoft.Notes.exe,C:\Program Files\WindowsApps\Microsoft.MicrosoftStickyNotes_3.0.119.0_x64__8wekyb3d8bbwe,2844,mat.robinson7
21,c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s DsSvc,0005OIUWS,svchost.exe,c:\windows\system32,6012,NT AUTHORITY\SYSTEM
