,arguments,hostname,name,path,pid,username
0,c:\windows\system32\svchost.exe -k netsvcs -p -s ProfSvc,0005WQUNL,svchost.exe,c:\windows\system32,3900,NT AUTHORITY\SYSTEM
1,,0005WQUNL,Memory Compression,,6460,NT AUTHORITY\SYSTEM
2,"""C:\Users\charlottemoor\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=16451249972883912486 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=16451249972883912486 --renderer-client-id=4 --mojo-platform-channel-handle=3140 /prefetch:1",0005WQUNL,opera.exe,C:\Users\charlottemoor\AppData\Local\Programs\Opera\56.0.3051.52,5898,charlottemoor
3,taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E},0005WQUNL,taskhostw.exe,c:\windows\system32,6008,NT AUTHORITY\SYSTEM
4,c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s TrkWks,0005WQUNL,svchost.exe,c:\windows\system32,2424,NT AUTHORITY\SYSTEM
5,,0005WQUNL,csrss.exe,,364,NT AUTHORITY\SYSTEM
6,C:\Windows\system32\svchost.exe -k DcomLaunch -p,0005WQUNL,svchost.exe,C:\Windows\system32,2628,NT AUTHORITY\SYSTEM
7,c:\windows\system32\svchost.exe -k localservicenetworkrestricted -p -s WinHttpAutoProxySvc,0005WQUNL,svchost.exe,c:\windows\system32,5972,NT AUTHORITY\SYSTEM
8,c:\windows\system32\svchost.exe -k netsvcs -p -s Appinfo,0005WQUNL,svchost.exe,c:\windows\system32,3416,NT AUTHORITY\SYSTEM
9,c:\windows\system32\svchost.exe -k networkservice -p -s CryptSvc,0005WQUNL,svchost.exe,c:\windows\system32,3700,NT AUTHORITY\SYSTEM
10,c:\windows\system32\svchost.exe -k rpcss -p,0005WQUNL,svchost.exe,c:\windows\system32,848,NT AUTHORITY\SYSTEM
11,"""C:\Program Files (x86)\TeamViewer\TeamViewer.exe"" ",0005WQUNL,TeamViewer.exe,C:\Program Files (x86)\TeamViewer,1038,mat.robinson7
12,c:\windows\system32\svchost.exe -k appmodel -p -s StateRepository,0005WQUNL,svchost.exe,c:\windows\system32,3636,NT AUTHORITY\SYSTEM
13,,0005WQUNL,services.exe,,6388,NT AUTHORITY\SYSTEM
14,c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s NcbService,0005WQUNL,svchost.exe,c:\windows\system32,5336,NT AUTHORITY\SYSTEM
15,"""C:\Windows\system32\SearchFilterHost.exe"" 0 736 740 748 8192 744 ",0005WQUNL,SearchFilterHost.exe,C:\Windows\system32,2272,NT AUTHORITY\SYSTEM
16,c:\windows\system32\svchost.exe -k localservice -p -s FontCache,0005WQUNL,svchost.exe,c:\windows\system32,2404,NT AUTHORITY\SYSTEM
17,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s lmhosts,0005WQUNL,svchost.exe,C:\Windows\System32,2664,NT AUTHORITY\SYSTEM
18,c:\windows\system32\svchost.exe -k networkservice -p -s TapiSrv,0005WQUNL,svchost.exe,c:\windows\system32,5420,NT AUTHORITY\SYSTEM
19,"""C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.33.41.0_x64__kzf8qxf38zg5c\SkypeBackgroundHost.exe"" -ServerName:SkypeBackgroundHost",0005WQUNL,SkypeBackgroundHost.exe,C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.33.41.0_x64__kzf8qxf38zg5c,2405,darci.wood8
20,,0005WQUNL,MsMpEng.exe,,2668,NT AUTHORITY\SYSTEM
21,"""C:\Program Files (x86)\TeamViewer\TeamViewer_Service.exe""",0005WQUNL,TeamViewer_Service.exe,C:\Program Files (x86)\TeamViewer,1994,mat.robinson7
22,\??\C:\Windows\system32\conhost.exe 0x4,0005WQUNL,conhost.exe,C:\Windows\system32,2100,NT AUTHORITY\SYSTEM
23,"""C:\Users\charlottemoor\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=6930244878569528683 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6930244878569528683 --renderer-client-id=3 --mojo-platform-channel-handle=2904 /prefetch:1",0005WQUNL,opera.exe,C:\Users\charlottemoor\AppData\Local\Programs\Opera\56.0.3051.52,2040,charlottemoor
25,C:\ProgramData\McAfee\Direct\McDiReg.exe -MONITOR_PI2 9508,0005WQUNL,McDiReg.exe,C:\ProgramData\McAfee\Direct,1837,cla.thomas61
26,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",0005WQUNL,UIHost.exe,C:\Program Files\McAfee\WebAdvisor,2459,cla.thomas61
