,arguments,hostname,name,path,pid,username
0,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",0006APQNS,mcshield.exe,C:\Program Files\Common Files\McAfee\AMCore,3467,ryamorr
1,C:\Windows\system32\svchost.exe -k RPCSS,0006APQNS,svchost.exe,C:\Windows\system32,1208,NT AUTHORITY\SYSTEM
2,"""C:\Users\ryamorr\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=gpu-process --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --gpu-preferences=KAAAAAAAAACAAwBAAQAAAAAAAAAAAGAAAAAAAAAAAAAIAAAAAAAAACgAAAAEAAAAIAAAAAAAAAAoAAAAAAAAADAAAAAAAAAAOAAAAAAAAAAQAAAAAAAAAAAAAAAKAAAAEAAAAAAAAAAAAAAACwAAABAAAAAAAAAAAQAAAAoAAAAQAAAAAAAAAAEAAAALAAAA --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --service-request-channel-token=7207758415534163028 --mojo-platform-channel-handle=1472 --ignored="" --type=renderer "" /prefetch:2",0006APQNS,opera.exe,C:\Users\ryamorr\AppData\Local\Programs\Opera\56.0.3051.52,5551,ryamorr
3,C:\Windows\System32\svchost.exe -k termsvcs,0006APQNS,svchost.exe,C:\Windows\System32,6440,NT AUTHORITY\SYSTEM
4,"""dwm.exe""",0006APQNS,dwm.exe,C:\Windows\system32,4836,NT AUTHORITY\SYSTEM
5,"""C:\Users\belrichard\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",0006APQNS,OneDrive.exe,C:\Users\belrichard\AppData\Local\Microsoft\OneDrive,6348,belrichard
6,"""C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE"" MMSCOM homenetsvc",0006APQNS,MMSSHOST.EXE,C:\Program Files\Common Files\McAfee\MMSSHost,1192,ryamorr
7,C:\Windows\Explorer.EXE,0006APQNS,Explorer.EXE,C:\Windows,4356,NT AUTHORITY\SYSTEM
8,C:\Windows\System32\msdtc.exe,0006APQNS,msdtc.exe,C:\Windows\System32,4520,NT AUTHORITY\SYSTEM
9,"""C:\Program Files\Common Files\mcafee\Platform\mcuicnt.exe"" ""C:\Program Files\Common Files\McAfee\ActWiz\mcactwiz.dll"" nosplash:",0006APQNS,mcuicnt.exe,C:\Program Files\Common Files\mcafee\Platform,1987,ryamorr
10,C:\Windows\system32\svchost.exe -k LocalService,0006APQNS,svchost.exe,C:\Windows\system32,5552,NT AUTHORITY\SYSTEM
11,"""C:\Users\ryamorr\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=16451249972883912486 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=16451249972883912486 --renderer-client-id=4 --mojo-platform-channel-handle=3140 /prefetch:1",0006APQNS,opera.exe,C:\Users\ryamorr\AppData\Local\Programs\Opera\56.0.3051.52,2200,ryamorr
12,"""C:\Program Files\McAfee\WebAdvisor\ServiceHost.exe""",0006APQNS,ServiceHost.exe,C:\Program Files\McAfee\WebAdvisor,5622,ryamorr
13,"""C:\Program Files\Common Files\McAfee\TaskScheduler\McAMTaskAgent.exe"" -Embedding",0006APQNS,McAMTaskAgent.exe,C:\Program Files\Common Files\McAfee\TaskScheduler,5865,ryamorr
14,C:\Windows\System32\svchost.exe -k utcsvc,0006APQNS,svchost.exe,C:\Windows\System32,3796,NT AUTHORITY\SYSTEM
15,C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted,0006APQNS,svchost.exe,C:\Windows\system32,3600,NT AUTHORITY\SYSTEM
16,C:\ProgramData\McAfee\McInstruTrack\McInstruTrack.exe /SP:0,0006APQNS,McInstruTrack.exe,C:\ProgramData\McAfee\McInstruTrack,482,ryamorr
18,"""C:\Program Files\Git\usr\bin\bash.exe""",0006APQNS,bash.exe,C:\Program Files\Git\usr\bin,2973,svc_cb
19,wininit.exe,0006APQNS,wininit.exe,C:\Windows\system32,2948,NT AUTHORITY\SYSTEM
20,"""C:\Users\belrichard\AppData\Local\GitHubDesktop\app-1.4.3\GitHubDesktop.exe"" --type=gpu-process --no-sandbox --supports-dual-gpus=false --gpu-driver-bug-workarounds=9 12 13 23 27 29 49 70 84 --disable-gl-extensions=""GL_KHR_blend_equation_advanced GL_KHR_blend_equation_advanced_coherent"" --gpu-vendor-id=0x8086 --gpu-device-id=0x0a16 --gpu-driver-vendor=""Intel Corporation"" --gpu-driver-version=20.19.15.4331 --gpu-driver-date=11-18-2015 --service-request-channel-token=29571E74A71F5219E432184D13D76C95 --mojo-platform-channel-handle=1732 /prefetch:2",0006APQNS,GitHubDesktop.exe,C:\Users\belrichard\AppData\Local\GitHubDesktop\app-1.4.3,5160,belrichard
21,"""C:\Program Files\McAfee\MAT\McPvTray.exe""",0006APQNS,McPvTray.exe,C:\Program Files\McAfee\MAT,3461,ryamorr
22,C:\Windows\system32\wbem\wmiprvse.exe,0006APQNS,wmiprvse.exe,C:\Windows\system32\wbem,868,NT AUTHORITY\SYSTEM
24,"""C:\Program Files\McAfee\MfeAV\MFEAvSvc.exe""",0006APQNS,MFEAvSvc.exe,C:\Program Files\McAfee\MfeAV,6100,ryamorr
25,"""C:\Users\belrichard\AppData\Local\GitHubDesktop\app-1.4.3\GitHubDesktop.exe"" --squirrel-firstrun",0006APQNS,GitHubDesktop.exe,C:\Users\belrichard\AppData\Local\GitHubDesktop\app-1.4.3,2629,belrichard
