,arguments,hostname,name,path,pid,username
0,"""C:\Program Files\CCleaner\CCleaner.exe"" /uac",0006APQSC,CCleaner64.exe,C:\Program Files\CCleaner,1045,juagarc40
1,C:\Windows\System32\RuntimeBroker.exe -Embedding,0006APQSC,RuntimeBroker.exe,C:\Windows\System32,2476,NT AUTHORITY\SYSTEM
2,"""C:\Program Files\Common Files\McAfee\PEF\CORE\PEFService.exe""",0006APQSC,PEFService.exe,C:\Program Files\Common Files\McAfee\PEF\CORE,2962,martha.hay
3,"""C:\Users\martha.hay\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=12376823585177401963 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=12376823585177401963 --renderer-client-id=7 --mojo-platform-channel-handle=2368 /prefetch:1",0006APQSC,opera.exe,C:\Users\martha.hay\AppData\Local\Programs\Opera\56.0.3051.52,3979,martha.hay
4,"""c:\program files\common files\mcafee\modulecore\modulecoreservice.exe""",0006APQSC,modulecoreservice.exe,c:\program files\common files\mcafee\modulecore,4797,martha.hay
5,C:\Windows\system32\svchost.exe -k NetworkService,0006APQSC,svchost.exe,C:\Windows\system32,3172,NT AUTHORITY\SYSTEM
6,"""C:\Users\martha.hay\AppData\Local\Temp\scoped_dir9616_4071\mcafee_trial_setup_433.0207.3919_key.exe"" ",0006APQSC,mcafee_trial_setup_433.0207.3919_key.exe,C:\Users\martha.hay\AppData\Local\Temp\scoped_dir9616_4071,1074,martha.hay
7,"""C:\Program Files\McAfee\WebAdvisor\ServiceHost.exe""",0006APQSC,ServiceHost.exe,C:\Program Files\McAfee\WebAdvisor,3232,martha.hay
8,"""C:\Users\martha.hay\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=16451249972883912486 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=16451249972883912486 --renderer-client-id=4 --mojo-platform-channel-handle=3140 /prefetch:1",0006APQSC,opera.exe,C:\Users\martha.hay\AppData\Local\Programs\Opera\56.0.3051.52,6299,martha.hay
9,C:\Windows\System32\msdtc.exe,0006APQSC,msdtc.exe,C:\Windows\System32,2996,NT AUTHORITY\SYSTEM
10,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",0006APQSC,McApExe.exe,C:\Program Files\Common Files\McAfee\VSCore_18_6,5802,martha.hay
11,"""C:\Program Files\Windows Defender\\MpCmdRun.exe"" SpyNetServiceDss -RestrictPrivileges -AccessKey 5BDCBEBD-E077-6957-0484-82901932C7EC -Reinvoke",0006APQSC,MpCmdRun.exe,C:\Program Files\Windows Defender,968,NT AUTHORITY\SYSTEM
12,C:\Windows\System32\svchost.exe -k smbsvcs,0006APQSC,svchost.exe,C:\Windows\System32,1532,NT AUTHORITY\SYSTEM
14,"""C:\Users\martha.hay\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --start-maximized --ran-launcher",0006APQSC,opera.exe,C:\Users\martha.hay\AppData\Local\Programs\Opera\56.0.3051.52,5754,martha.hay
16,C:\Windows\Explorer.EXE,0006APQSC,Explorer.EXE,C:\Windows,3236,NT AUTHORITY\SYSTEM
17,"C:\Users\juagarc40\AppData\Local\slack\app-3.1.1\slack.exe --reporter-url=https://slack.com/apps/breakpad?instanceUid=c116fa6f-e78f-4f7e-9927-09567265c493&amp;version=3.1.1&amp;channel=prod --application-name=Slack ""--crashes-directory=C:\Users\juagarc40\AppData\Local\Temp\Slack Crashes"" --v=1",0006APQSC,slack.exe,C:\Users\juagarc40\AppData\Local\slack\app-3.1.1,2235,juagarc40
18,/loadhooks /Parent:0000000000001188,0006APQSC,TabTip32.exe,C:\Program Files (x86)\Common Files\Microsoft Shared\Ink,788,NT AUTHORITY\SYSTEM
