,arguments,hostname,name,path,pid,username
0,c:\windows\system32\svchost.exe -k appmodel -p -s StateRepository,0006FOAET,svchost.exe,c:\windows\system32,4256,NT AUTHORITY\SYSTEM
1,c:\windows\system32\svchost.exe -k localservicenetworkrestricted -p -s Dhcp,0006FOAET,svchost.exe,c:\windows\system32,1416,NT AUTHORITY\SYSTEM
2,C:\Windows\system32\lsass.exe,0006FOAET,lsass.exe,C:\Windows\system32,1976,NT AUTHORITY\SYSTEM
3,c:\windows\system32\svchost.exe -k localservicenetworkrestricted -p -s WinHttpAutoProxySvc,0006FOAET,svchost.exe,c:\windows\system32,6212,NT AUTHORITY\SYSTEM
4,c:\windows\system32\svchost.exe -k rpcss -p,0006FOAET,svchost.exe,c:\windows\system32,1200,NT AUTHORITY\SYSTEM
5,c:\windows\system32\svchost.exe -k localservice -p -s FontCache,0006FOAET,svchost.exe,c:\windows\system32,6468,NT AUTHORITY\SYSTEM
6,C:\Windows\system32\svchost.exe -k imgsvc,0006FOAET,svchost.exe,C:\Windows\system32,2168,NT AUTHORITY\SYSTEM
7,c:\windows\system32\svchost.exe -k localservice -p -s nsi,0006FOAET,svchost.exe,c:\windows\system32,980,NT AUTHORITY\SYSTEM
8,c:\windows\system32\svchost.exe -k netsvcs -p -s lfsvc,0006FOAET,svchost.exe,c:\windows\system32,5476,NT AUTHORITY\SYSTEM
9,"""C:\Program Files\McAfee\MfeAV\MFEAvSvc.exe""",0006FOAET,MFEAvSvc.exe,C:\Program Files\McAfee\MfeAV,1224,iri.jone4
10,c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s PcaSvc,0006FOAET,svchost.exe,c:\windows\system32,1220,NT AUTHORITY\SYSTEM
12,,0006FOAET,SecurityHealthService.exe,,188,NT AUTHORITY\SYSTEM
13,c:\windows\system32\svchost.exe -k localservice -p -s LicenseManager,0006FOAET,svchost.exe,c:\windows\system32,6480,NT AUTHORITY\SYSTEM
14,C:\Windows\system32\svchost.exe -k LocalService -p,0006FOAET,svchost.exe,C:\Windows\system32,4168,NT AUTHORITY\SYSTEM
15,c:\windows\system32\svchost.exe -k netsvcs,0006FOAET,svchost.exe,c:\windows\system32,2240,NT AUTHORITY\SYSTEM
16,"""ctfmon.exe""",0006FOAET,ctfmon.exe,C:\Windows\system32,5084,NT AUTHORITY\SYSTEM
17,c:\windows\system32\svchost.exe -k netsvcs -p -s iphlpsvc,0006FOAET,svchost.exe,c:\windows\system32,1364,NT AUTHORITY\SYSTEM
18,"""C:\Users\iri.jone4\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=2685998191293934672 --lang=en-GB --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=2685998191293934672 --renderer-client-id=12 --mojo-platform-channel-handle=4360 /prefetch:1",0006FOAET,opera.exe,C:\Users\iri.jone4\AppData\Local\Programs\Opera\56.0.3051.52,300,iri.jone4
19,c:\windows\system32\svchost.exe -k localservicenetworkrestricted -p -s EventLog,0006FOAET,svchost.exe,c:\windows\system32,4784,NT AUTHORITY\SYSTEM
20,"""C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE"" MMSCOM homenetsvc",0006FOAET,MMSSHOST.EXE,C:\Program Files\Common Files\McAfee\MMSSHost,2264,iri.jone4
21,,0006FOAET,System,,1152,NT AUTHORITY\SYSTEM
22,c:\windows\system32\svchost.exe -k localservice -p -s SstpSvc,0006FOAET,svchost.exe,c:\windows\system32,632,NT AUTHORITY\SYSTEM
23,"""C:\Program Files\McAfee\MAT\McPvTray.exe""",0006FOAET,McPvTray.exe,C:\Program Files\McAfee\MAT,5180,iri.jone4
24,c:\windows\system32\svchost.exe -k netsvcs -p -s LanmanServer,0006FOAET,svchost.exe,c:\windows\system32,3080,NT AUTHORITY\SYSTEM
26,c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s NcbService,0006FOAET,svchost.exe,c:\windows\system32,4132,NT AUTHORITY\SYSTEM
27,C:\Windows\System32\RuntimeBroker.exe -Embedding,0006FOAET,RuntimeBroker.exe,C:\Windows\System32,1932,NT AUTHORITY\SYSTEM
28,C:\Windows\system32\SettingSyncHost.exe -Embedding,0006FOAET,SettingSyncHost.exe,C:\Windows\system32,4772,NT AUTHORITY\SYSTEM
29,c:\windows\system32\svchost.exe -k localservicenetworkrestricted -p -s wscsvc,0006FOAET,svchost.exe,c:\windows\system32,4716,NT AUTHORITY\SYSTEM
