,arguments,hostname,name,path,pid,username
0,C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork,0006IAAES,svchost.exe,C:\Windows\system32,748,NT AUTHORITY\SYSTEM
1,"""C:\Program Files\Common Files\McAfee\CSP\3.0.127.0\\McCSPServiceHost.exe""",0006IAAES,McCSPServiceHost.exe,C:\Program Files\Common Files\McAfee\CSP\3.0.127.0,1984,iankel
2,"""C:\ProgramData\McAfee\Direct\McDiReg.exe"" ",0006IAAES,McDiReg.exe,C:\ProgramData\McAfee\Direct,1333,iankel
3,C:\Windows\system32\services.exe,0006IAAES,services.exe,C:\Windows\system32,4928,NT AUTHORITY\SYSTEM
4,C:\Windows\system32\SearchIndexer.exe /Embedding,0006IAAES,SearchIndexer.exe,C:\Windows\system32,2532,NT AUTHORITY\SYSTEM
5,C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation,0006IAAES,svchost.exe,C:\Windows\system32,3880,NT AUTHORITY\SYSTEM
6,"""C:\Windows\system32\wuauclt.exe""",0006IAAES,wuauclt.exe,C:\Windows\system32,368,NT AUTHORITY\SYSTEM
7,"""C:\Program Files\KeePassXC\KeePassXC.exe"" ",0006IAAES,KeePassXC.exe,C:\Program Files\KeePassXC,4435,martha.hay
8,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",0006IAAES,UIHost.exe,C:\Program Files\McAfee\WebAdvisor,1764,iankel
9,"""C:\Program Files\McAfee\MfeAV\MFEAvSvc.exe""",0006IAAES,MFEAvSvc.exe,C:\Program Files\McAfee\MfeAV,5789,iankel
10,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",0006IAAES,mchost.exe,C:\Program Files\Common Files\McAfee\Platform\Core,3636,iankel
11,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,0006IAAES,svchost.exe,C:\Windows\System32,1260,NT AUTHORITY\SYSTEM
12,"""taskhost.exe""",0006IAAES,taskhost.exe,C:\Windows\system32,6064,NT AUTHORITY\SYSTEM
13,C:\Windows\system32\lsass.exe,0006IAAES,lsass.exe,C:\Windows\system32,4112,NT AUTHORITY\SYSTEM
