,arguments,hostname,name,path,pid,username
0,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,0006LKOWN,svchost.exe,C:\Windows\System32,5640,NT AUTHORITY\SYSTEM
1,"C:\Users\mat.robinson7\AppData\Local\Programs\Opera\56.0.3051.52\opera_crashreporter.exe --type=crashpad-handler /prefetch:7 --monitor-self-annotation=ptype=crashpad-handler ""--database=C:\Users\mat.robinson7\AppData\Roaming\Opera Software\Opera Stable\Crash Reports"" ""--crash-count-file=C:\Users\mat.robinson7\AppData\Roaming\Opera Software\Opera Stable\crash_count.txt"" --url=https://crashstats-collector.opera.com/collector/submit --annotation=channel=Stable --annotation=plat=Win64 --annotation=prod=OperaDesktop --annotation=ver=56.0.3051.52 --initial-client-data=0x238 0x304 0x30c 0x320 0x308 0x7ffb51313108 0x7ffb51313118 0x7ffb51313128",0006LKOWN,opera_crashreporter.exe,C:\Users\mat.robinson7\AppData\Local\Programs\Opera\56.0.3051.52,4219,mat.robinson7
2,C:\Windows\system32\svchost.exe -k RPCSS,0006LKOWN,svchost.exe,C:\Windows\system32,5836,NT AUTHORITY\SYSTEM
3,"""C:\Users\joncole\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=12376823585177401963 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=12376823585177401963 --renderer-client-id=7 --mojo-platform-channel-handle=2368 /prefetch:1",0006LKOWN,opera.exe,C:\Users\joncole\AppData\Local\Programs\Opera\56.0.3051.52,5782,joncole
4,"""C:\Program Files\PuTTY\putty.exe"" ",0006LKOWN,putty.exe,C:\Program Files\PuTTY,243,mat.robinson7
5,C:\Windows\system32\svchost.exe -k LocalService,0006LKOWN,svchost.exe,C:\Windows\system32,812,NT AUTHORITY\SYSTEM
6,"""C:\Users\joncole\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=16451249972883912486 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=16451249972883912486 --renderer-client-id=4 --mojo-platform-channel-handle=3140 /prefetch:1",0006LKOWN,opera.exe,C:\Users\joncole\AppData\Local\Programs\Opera\56.0.3051.52,4818,joncole
7,%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024 20480 768 Windows=On SubSystemType=Windows ServerDll=basesrv 1 ServerDll=winsrv:UserServerDllInitialization 3 ServerDll=winsrv:ConServerDllInitialization 2 ServerDll=sxssrv 4 ProfileControl=Off MaxRequestThreads=16,0006LKOWN,csrss.exe,C:\Windows\system32,708,NT AUTHORITY\SYSTEM
8,C:\Windows\system32\dllhost.exe /Processid:{3EAE8C5E-B51F-4CBD-9DCE-FA6AA0BDF8B8},0006LKOWN,dllhost.exe,C:\Windows\system32,5116,NT AUTHORITY\SYSTEM
9,"C:\Users\joncole\AppData\Local\Programs\Opera\56.0.3051.52\opera_crashreporter.exe --type=crashpad-handler /prefetch:7 --monitor-self-annotation=ptype=crashpad-handler ""--database=C:\Users\joncole\AppData\Roaming\Opera Software\Opera Stable\Crash Reports"" ""--crash-count-file=C:\Users\joncole\AppData\Roaming\Opera Software\Opera Stable\crash_count.txt"" --url=https://crashstats-collector.opera.com/collector/submit --annotation=channel=Stable --annotation=plat=Win64 --annotation=prod=OperaDesktop --annotation=ver=56.0.3051.52 --initial-client-data=0x238 0x304 0x30c 0x320 0x308 0x7ffb51313108 0x7ffb51313118 0x7ffb51313128",0006LKOWN,opera_crashreporter.exe,C:\Users\joncole\AppData\Local\Programs\Opera\56.0.3051.52,5973,joncole
10,wininit.exe,0006LKOWN,wininit.exe,C:\Windows\system32,4524,NT AUTHORITY\SYSTEM
11,"""C:\Program Files\Common Files\McAfee\CSP\3.0.127.0\\McCSPServiceHost.exe""",0006LKOWN,McCSPServiceHost.exe,C:\Program Files\Common Files\McAfee\CSP\3.0.127.0,5718,mat.robinson7
12,"""taskhost.exe""",0006LKOWN,taskhost.exe,C:\Windows\system32,2992,NT AUTHORITY\SYSTEM
13,"""C:\Program Files\McAfee\MAT\McPvTray.exe""",0006LKOWN,McPvTray.exe,C:\Program Files\McAfee\MAT,6009,mat.robinson7
14,C:\Windows\system32\svchost.exe -k netsvcs,0006LKOWN,svchost.exe,C:\Windows\system32,1980,NT AUTHORITY\SYSTEM
15,"""C:\Program Files\Common Files\McAfee\TaskScheduler\McAMTaskAgent.exe"" -Embedding",0006LKOWN,McAMTaskAgent.exe,C:\Program Files\Common Files\McAfee\TaskScheduler,577,mat.robinson7
17,"""c:\program files\common files\mcafee\modulecore\modulecoreservice.exe""",0006LKOWN,modulecoreservice.exe,c:\program files\common files\mcafee\modulecore,5356,mat.robinson7
