,arguments,hostname,name,path,pid,username
0,winlogon.exe,0006PKYSW,winlogon.exe,C:\Windows\system32,3480,NT AUTHORITY\SYSTEM
1,C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted,0006PKYSW,svchost.exe,C:\Windows\system32,3640,NT AUTHORITY\SYSTEM
2,C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork,0006PKYSW,svchost.exe,C:\Windows\system32,5420,NT AUTHORITY\SYSTEM
3,"""C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe"" -ServerName:CortanaUI.AppXa50dqqa5gqv4a428c9y1jjw7m3btvepj.mca",0006PKYSW,SearchUI.exe,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy,5392,NT AUTHORITY\SYSTEM
4,"""C:\Program Files\Common Files\McAfee\CSP\3.0.127.0\\McCSPServiceHost.exe""",0006PKYSW,McCSPServiceHost.exe,C:\Program Files\Common Files\McAfee\CSP\3.0.127.0,458,darc.flore1
5,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,0006PKYSW,svchost.exe,C:\Windows\System32,1884,NT AUTHORITY\SYSTEM
6,C:\Windows\Explorer.EXE,0006PKYSW,Explorer.EXE,C:\Windows,4020,NT AUTHORITY\SYSTEM
7,C:\Windows\System32\svchost.exe -k netsvcs,0006PKYSW,svchost.exe,C:\Windows\System32,5492,NT AUTHORITY\SYSTEM
8,"""LogonUI.exe"" /flags:0x0 /state0:0xa3a5d855 /state1:0x41c64e6d",0006PKYSW,LogonUI.exe,C:\Windows\system32,1576,NT AUTHORITY\SYSTEM
9,"""C:\Users\mat.robinson7\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=6930244878569528683 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6930244878569528683 --renderer-client-id=3 --mojo-platform-channel-handle=2904 /prefetch:1",0006PKYSW,opera.exe,C:\Users\mat.robinson7\AppData\Local\Programs\Opera\56.0.3051.52,2179,mat.robinson7
10,,0006PKYSW,Narrator.exe,C:\Windows\System32\Narrator.exe,3708,NT AUTHORITY\SYSTEM
11,"""C:\ProgramData\McAfee\Direct\McDiReg.exe"" ",0006PKYSW,McDiReg.exe,C:\ProgramData\McAfee\Direct,4372,darc.flore1
12,"""C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE"" MMSCOM homenetsvc",0006PKYSW,MMSSHOST.EXE,C:\Program Files\Common Files\McAfee\MMSSHost,4465,darc.flore1
13,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",0006PKYSW,McApExe.exe,C:\Program Files\Common Files\McAfee\VSCore_18_6,1093,darc.flore1
14,/loadhooks /Parent:0000000000001188,0006PKYSW,TabTip32.exe,C:\Program Files (x86)\Common Files\Microsoft Shared\Ink,3144,NT AUTHORITY\SYSTEM
15,"C:\Users\mat.robinson7\AppData\Local\Programs\Opera\56.0.3051.52\opera_crashreporter.exe --type=crashpad-handler /prefetch:7 --monitor-self-annotation=ptype=crashpad-handler ""--database=C:\Users\mat.robinson7\AppData\Roaming\Opera Software\Opera Stable\Crash Reports"" ""--crash-count-file=C:\Users\mat.robinson7\AppData\Roaming\Opera Software\Opera Stable\crash_count.txt"" --url=https://crashstats-collector.opera.com/collector/submit --annotation=channel=Stable --annotation=plat=Win64 --annotation=prod=OperaDesktop --annotation=ver=56.0.3051.52 --initial-client-data=0x238 0x304 0x30c 0x320 0x308 0x7ffb51313108 0x7ffb51313118 0x7ffb51313128",0006PKYSW,opera_crashreporter.exe,C:\Users\mat.robinson7\AppData\Local\Programs\Opera\56.0.3051.52,4542,mat.robinson7
16,"""C:\Program Files\CyberGhost 6\CyberGhost.Service.exe""",0006PKYSW,CyberGhost.Service.exe,C:\Program Files\CyberGhost 6,2741,mat.robinson7
17,C:\Windows\System32\svchost.exe -k smbsvcs,0006PKYSW,svchost.exe,C:\Windows\System32,1476,NT AUTHORITY\SYSTEM
18,taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E},0006PKYSW,taskhostw.exe,C:\Windows\System32,2548,NT AUTHORITY\SYSTEM
19,"""C:\Users\darc.flore1\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",0006PKYSW,OneDrive.exe,C:\Users\darc.flore1\AppData\Local\Microsoft\OneDrive,1408,darc.flore1
20,"""C:\Users\mat.robinson7\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=16451249972883912486 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=16451249972883912486 --renderer-client-id=4 --mojo-platform-channel-handle=3140 /prefetch:1",0006PKYSW,opera.exe,C:\Users\mat.robinson7\AppData\Local\Programs\Opera\56.0.3051.52,5900,mat.robinson7
21,"""C:\Program Files\CyberGhost 6\CyberGhost.Service.exe""",0006PKYSW,CyberGhost.Service.exe,C:\Program Files\CyberGhost 6,1052,iankel
22,C:\Windows\System32\svchost.exe -k utcsvc,0006PKYSW,svchost.exe,C:\Windows\System32,5688,NT AUTHORITY\SYSTEM
23,C:\Windows\System32\msdtc.exe,0006PKYSW,msdtc.exe,C:\Windows\System32,1208,NT AUTHORITY\SYSTEM
24,C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation,0006PKYSW,svchost.exe,C:\Windows\system32,1920,NT AUTHORITY\SYSTEM
25,winlogon.exe,0006PKYSW,winlogon.exe,C:\Windows\system32,5236,NT AUTHORITY\SYSTEM
27,C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted,0006PKYSW,svchost.exe,C:\Windows\system32,4100,NT AUTHORITY\SYSTEM
28,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",0006PKYSW,UIHost.exe,C:\Program Files\McAfee\WebAdvisor,1177,darc.flore1
29,C:\Windows\system32\lsass.exe,0006PKYSW,lsass.exe,C:\Windows\system32,432,NT AUTHORITY\SYSTEM
31,"""C:\Program Files\McAfee\MfeAV\MFEAvSvc.exe""",0006PKYSW,MFEAvSvc.exe,C:\Program Files\McAfee\MfeAV,1305,darc.flore1
32,"""C:\Program Files\Wireshark\Wireshark.exe"" ",0006PKYSW,Wireshark.exe,C:\Program Files\Wireshark,5920,will.lon
33,"""c:\program files\common files\mcafee\modulecore\modulecoreservice.exe""",0006PKYSW,modulecoreservice.exe,c:\program files\common files\mcafee\modulecore,1417,darc.flore1
34,C:\Windows\System32\svchost.exe -k termsvcs,0006PKYSW,svchost.exe,C:\Windows\System32,644,NT AUTHORITY\SYSTEM
36,C:\Windows\System32\svchost.exe -k tidkb0k,0006PKYSW,svchost.exe,C:\Windows\System32\svchost.exe,5488,mat.robinson7
