,arguments,hostname,name,path,pid,username
0,C:\Windows\System32\spoolsv.exe,0006WQUNW,spoolsv.exe,C:\Windows\System32,876,NT AUTHORITY\SYSTEM
1,C:\Windows\system32\sppsvc.exe,0006WQUNW,sppsvc.exe,C:\Windows\system32,2692,NT AUTHORITY\SYSTEM
2,"""C:\Windows\system32\mspaint.exe"" ",0006WQUNW,mspaint.exe,C:\Windows\system32,1636,will.lon
3,"C:\Users\nicbell76\AppData\Local\slack\app-3.1.1\slack.exe --reporter-url=https://slack.com/apps/breakpad?instanceUid=c116fa6f-e78f-4f7e-9927-09567265c493&amp;version=3.1.1&amp;channel=prod --application-name=Slack ""--crashes-directory=C:\Users\nicbell76\AppData\Local\Temp\Slack Crashes"" --v=1",0006WQUNW,slack.exe,C:\Users\nicbell76\AppData\Local\slack\app-3.1.1,463,nicbell76
4,C:\Windows\system32\lsass.exe,0006WQUNW,lsass.exe,C:\Windows\system32,1964,NT AUTHORITY\SYSTEM
5,C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation,0006WQUNW,svchost.exe,C:\Windows\system32,4404,NT AUTHORITY\SYSTEM
6,"""C:\Program Files\TightVNC\tvnserver.exe"" -service",0006WQUNW,tvnserver.exe,C:\Program Files\TightVNC,2326,cartemor
7,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",0006WQUNW,UIHost.exe,C:\Program Files\McAfee\WebAdvisor,1638,nicbell76
9,C:\Windows\System32\svchost.exe -k secsvcs,0006WQUNW,svchost.exe,C:\Windows\System32,5160,NT AUTHORITY\SYSTEM
10,"""C:\Users\lotti.richards\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=6930244878569528683 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6930244878569528683 --renderer-client-id=3 --mojo-platform-channel-handle=2904 /prefetch:1",0006WQUNW,opera.exe,C:\Users\lotti.richards\AppData\Local\Programs\Opera\56.0.3051.52,5123,lotti.richards
11,C:\Windows\System32\VBoxService.exe,0006WQUNW,VBoxService.exe,C:\Windows\System32,5920,NT AUTHORITY\SYSTEM
12,C:\Windows\Explorer.EXE,0006WQUNW,Explorer.EXE,C:\Windows,2684,NT AUTHORITY\SYSTEM
13,"""C:\Program Files\Common Files\McAfee\TaskScheduler\McAMTaskAgent.exe"" -Embedding",0006WQUNW,McAMTaskAgent.exe,C:\Program Files\Common Files\McAfee\TaskScheduler,1426,nicbell76
14,\SystemRoot\System32\smss.exe,0006WQUNW,smss.exe,\SystemRoot\System32,4892,NT AUTHORITY\SYSTEM
15,"""C:\Windows\system32\Dwm.exe""",0006WQUNW,Dwm.exe,C:\Windows\system32,1488,NT AUTHORITY\SYSTEM
16,"""C:\Program Files\McAfee\WebAdvisor\ServiceHost.exe""",0006WQUNW,ServiceHost.exe,C:\Program Files\McAfee\WebAdvisor,949,nicbell76
18,C:\Windows\system32\svchost.exe -k LocalService,0006WQUNW,svchost.exe,C:\Windows\system32,4672,NT AUTHORITY\SYSTEM
19,"""C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE"" MMSCOM homenetsvc",0006WQUNW,MMSSHOST.EXE,C:\Program Files\Common Files\McAfee\MMSSHost,1870,nicbell76
20,C:\Windows\system32\SearchIndexer.exe /Embedding,0006WQUNW,SearchIndexer.exe,C:\Windows\system32,4344,NT AUTHORITY\SYSTEM
22,C:\Windows\system32\svchost.exe -k RPCSS,0006WQUNW,svchost.exe,C:\Windows\system32,6392,NT AUTHORITY\SYSTEM
23,"""c:\program files\common files\mcafee\modulecore\modulecoreservice.exe""",0006WQUNW,modulecoreservice.exe,c:\program files\common files\mcafee\modulecore,4735,nicbell76
24,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,0006WQUNW,svchost.exe,C:\Windows\System32,2360,NT AUTHORITY\SYSTEM
25,C:\Windows\system32\svchost.exe -k DcomLaunch,0006WQUNW,svchost.exe,C:\Windows\system32,3476,NT AUTHORITY\SYSTEM
26,C:\Windows\system32\svchost.exe -k NetworkService,0006WQUNW,svchost.exe,C:\Windows\system32,1324,NT AUTHORITY\SYSTEM
27,"""C:\Program Files\PuTTY\putty.exe"" ",0006WQUNW,putty.exe,C:\Program Files\PuTTY,5955,nicbell76
28,"""C:\Program Files\McAfee\MAT\McPvTray.exe""",0006WQUNW,McPvTray.exe,C:\Program Files\McAfee\MAT,5486,nicbell76
29,"""C:\Program Files\Common Files\mcafee\Platform\mcuicnt.exe"" ""C:\Program Files\Common Files\McAfee\ActWiz\mcactwiz.dll"" nosplash:",0006WQUNW,mcuicnt.exe,C:\Program Files\Common Files\mcafee\Platform,2683,nicbell76
30,"""C:\Windows\system32\SearchProtocolHost.exe"" Global\UsGthrFltPipeMssGthrPipe15_ Global\UsGthrCtrlFltPipeMssGthrPipe15 1 -2147483646 ""Software\Microsoft\Windows Search"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)"" ""C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc"" ""DownLevelDaemon"" ",0006WQUNW,SearchProtocolHost.exe,C:\Windows\system32,3492,NT AUTHORITY\SYSTEM
31,C:\Windows\System32\svchost.exe -k LocalServicePeerNet,0006WQUNW,svchost.exe,C:\Windows\System32,4900,NT AUTHORITY\SYSTEM
