,arguments,hostname,name,path,pid,username
0,C:\ProgramData\McAfee\McInstruTrack\McInstruTrack.exe /SP:0,0007DPUWW,McInstruTrack.exe,C:\ProgramData\McAfee\McInstruTrack,5725,martha.hay
1,"""dwm.exe""",0007DPUWW,dwm.exe,C:\Windows\system32,996,NT AUTHORITY\SYSTEM
2,C:\ProgramData\McAfee\Direct\McDiReg.exe -MONITOR_PI2 9508,0007DPUWW,McDiReg.exe,C:\ProgramData\McAfee\Direct,913,martha.hay
3,C:\Windows\system32\svchost.exe -k NetworkService,0007DPUWW,svchost.exe,C:\Windows\system32,6412,NT AUTHORITY\SYSTEM
4,C:\Windows\System32\svchost.exe -k termsvcs,0007DPUWW,svchost.exe,C:\Windows\System32,5832,NT AUTHORITY\SYSTEM
5,"""C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroCEF\RdrCEF.exe"" --backgroundcolor=16514043",0007DPUWW,RdrCEF.exe,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroCEF,5791,darci.wood8
6,"""C:\Users\martha.hay\AppData\Local\Temp\scoped_dir9616_4071\mcafee_trial_setup_433.0207.3919_key.exe"" ",0007DPUWW,mcafee_trial_setup_433.0207.3919_key.exe,C:\Users\martha.hay\AppData\Local\Temp\scoped_dir9616_4071,3686,martha.hay
7,"""C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe"" --type=renderer /prefetch:1",0007DPUWW,AcroRd32.exe,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader,6154,darci.wood8
8,C:\Windows\System32\msdtc.exe,0007DPUWW,msdtc.exe,C:\Windows\System32,5752,NT AUTHORITY\SYSTEM
9,"""c:\program files\common files\mcafee\modulecore\modulecoreservice.exe""",0007DPUWW,modulecoreservice.exe,c:\program files\common files\mcafee\modulecore,1178,martha.hay
10,C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted,0007DPUWW,svchost.exe,C:\Windows\system32,6452,NT AUTHORITY\SYSTEM
11,ModuleCoreService.exe /startUserModeHosting=4_TIME_TO_DIE,0007DPUWW,ModuleCoreService.exe,c:\program files\common files\mcafee\modulecore,294,martha.hay
12,C:\Windows\system32\svchost.exe -k DcomLaunch,0007DPUWW,svchost.exe,C:\Windows\system32,3868,NT AUTHORITY\SYSTEM
16,C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork,0007DPUWW,svchost.exe,C:\Windows\system32,692,NT AUTHORITY\SYSTEM
17,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",0007DPUWW,mcshield.exe,C:\Program Files\Common Files\McAfee\AMCore,5317,martha.hay
18,"""C:\Program Files\Common Files\McAfee\TaskScheduler\McAMTaskAgent.exe"" -Embedding",0007DPUWW,McAMTaskAgent.exe,C:\Program Files\Common Files\McAfee\TaskScheduler,3058,martha.hay
19,"""C:\Program Files\Common Files\McAfee\CSP\3.0.127.0\\McCSPServiceHost.exe""",0007DPUWW,McCSPServiceHost.exe,C:\Program Files\Common Files\McAfee\CSP\3.0.127.0,4285,martha.hay
20,"""C:\ProgramData\McAfee\Direct\McDiReg.exe"" ",0007DPUWW,McDiReg.exe,C:\ProgramData\McAfee\Direct,2169,martha.hay
21,"""C:\Users\alejanallen17\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=2685998191293934672 --lang=en-GB --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=2685998191293934672 --renderer-client-id=12 --mojo-platform-channel-handle=4360 /prefetch:1",0007DPUWW,opera.exe,C:\Users\alejanallen17\AppData\Local\Programs\Opera\56.0.3051.52,2141,alejanallen17
24,"""C:\Users\alejanallen17\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=6930244878569528683 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6930244878569528683 --renderer-client-id=3 --mojo-platform-channel-handle=2904 /prefetch:1",0007DPUWW,opera.exe,C:\Users\alejanallen17\AppData\Local\Programs\Opera\56.0.3051.52,3748,alejanallen17
26,C:\Windows\system32\wbem\wmiprvse.exe,0007DPUWW,wmiprvse.exe,C:\Windows\system32\wbem,5976,NT AUTHORITY\SYSTEM
27,"""C:\Users\martha.hay\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",0007DPUWW,OneDrive.exe,C:\Users\martha.hay\AppData\Local\Microsoft\OneDrive,3523,martha.hay
28,"""LogonUI.exe"" /flags:0x0",0007DPUWW,LogonUI.exe,C:\Windows\system32,5672,NT AUTHORITY\SYSTEM
30,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",0007DPUWW,McApExe.exe,C:\Program Files\Common Files\McAfee\VSCore_18_6,1186,martha.hay
31,"""C:\Users\alejanallen17\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=16451249972883912486 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=16451249972883912486 --renderer-client-id=4 --mojo-platform-channel-handle=3140 /prefetch:1",0007DPUWW,opera.exe,C:\Users\alejanallen17\AppData\Local\Programs\Opera\56.0.3051.52,2297,alejanallen17
34,"""C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE"" MMSCOM homenetsvc",0007DPUWW,MMSSHOST.EXE,C:\Program Files\Common Files\McAfee\MMSSHost,2819,martha.hay
35,"C:\Users\alejanallen17\AppData\Local\Programs\Opera\56.0.3051.52\opera_crashreporter.exe --type=crashpad-handler /prefetch:7 --monitor-self-annotation=ptype=crashpad-handler ""--database=C:\Users\alejanallen17\AppData\Roaming\Opera Software\Opera Stable\Crash Reports"" ""--crash-count-file=C:\Users\alejanallen17\AppData\Roaming\Opera Software\Opera Stable\crash_count.txt"" --url=https://crashstats-collector.opera.com/collector/submit --annotation=channel=Stable --annotation=plat=Win64 --annotation=prod=OperaDesktop --annotation=ver=56.0.3051.52 --initial-client-data=0x238 0x304 0x30c 0x320 0x308 0x7ffb51313108 0x7ffb51313118 0x7ffb51313128",0007DPUWW,opera_crashreporter.exe,C:\Users\alejanallen17\AppData\Local\Programs\Opera\56.0.3051.52,1998,alejanallen17
36,"""C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe""",0007DPUWW,armsvc.exe,C:\Program Files (x86)\Common Files\Adobe\ARM\1.0,4892,darci.wood8
38,"""C:\Program Files\Microsoft SQL Server\MSSQL14.SQLEXPRESS\MSSQL\Binn\sqlservr.exe"" -sSQLEXPRESS",0007DPUWW,sqlservr.exe,C:\Program Files\Microsoft SQL Server\MSSQL14.SQLEXPRESS\MSSQL\Binn,6232,alejanallen17
39,"""C:\Program Files\internet explorer\iexplore.exe"" ",0007DPUWW,iexplore.exe,C:\Program Files\internet explorer,1241,alejanallen17
40,winlogon.exe,0007DPUWW,winlogon.exe,C:\Windows\system32,2844,NT AUTHORITY\SYSTEM
41,"""C:\Program Files\McAfee\WebAdvisor\ServiceHost.exe""",0007DPUWW,ServiceHost.exe,C:\Program Files\McAfee\WebAdvisor,3385,martha.hay
42,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,0007DPUWW,svchost.exe,C:\Windows\System32,3880,NT AUTHORITY\SYSTEM
43,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",0007DPUWW,ProtectedModuleHost.exe,C:\Program Files\Common Files\McAfee\ModuleCore,3107,martha.hay
45,"""C:\Users\alejanallen17\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=12376823585177401963 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=12376823585177401963 --renderer-client-id=7 --mojo-platform-channel-handle=2368 /prefetch:1",0007DPUWW,opera.exe,C:\Users\alejanallen17\AppData\Local\Programs\Opera\56.0.3051.52,6011,alejanallen17
46,"""C:\Users\alejanallen17\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=gpu-process --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --gpu-preferences=KAAAAAAAAACAAwBAAQAAAAAAAAAAAGAAAAAAAAAAAAAIAAAAAAAAACgAAAAEAAAAIAAAAAAAAAAoAAAAAAAAADAAAAAAAAAAOAAAAAAAAAAQAAAAAAAAAAAAAAAKAAAAEAAAAAAAAAAAAAAACwAAABAAAAAAAAAAAQAAAAoAAAAQAAAAAAAAAAEAAAALAAAA --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --service-request-channel-token=7207758415534163028 --mojo-platform-channel-handle=1472 --ignored="" --type=renderer "" /prefetch:2",0007DPUWW,opera.exe,C:\Users\alejanallen17\AppData\Local\Programs\Opera\56.0.3051.52,511,alejanallen17
48,taskhostex.exe ,0007DPUWW,taskhostex.exe,C:\Windows\system32,2416,NT AUTHORITY\SYSTEM
49,"""C:\Users\alejanallen17\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --start-maximized --ran-launcher",0007DPUWW,opera.exe,C:\Users\alejanallen17\AppData\Local\Programs\Opera\56.0.3051.52,6217,alejanallen17
52,"""C:\Program Files\Common Files\mcafee\Platform\mcuicnt.exe"" ""C:\Program Files\Common Files\McAfee\ActWiz\mcactwiz.dll"" nosplash:",0007DPUWW,mcuicnt.exe,C:\Program Files\Common Files\mcafee\Platform,6072,martha.hay
54,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",0007DPUWW,mchost.exe,C:\Program Files\Common Files\McAfee\Platform\Core,3726,martha.hay
55,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,0007DPUWW,svchost.exe,C:\Windows\System32,6080,NT AUTHORITY\SYSTEM
56,"""C:\Program Files\McAfee\MfeAV\MFEAvSvc.exe""",0007DPUWW,MFEAvSvc.exe,C:\Program Files\McAfee\MfeAV,4236,martha.hay
57,C:\Windows\Explorer.EXE,0007DPUWW,Explorer.EXE,C:\Windows,2760,NT AUTHORITY\SYSTEM
