,arguments,hostname,name,path,pid,username
0,C:\Windows\system32\dllhost.exe /Processid:{A7CCA429-5F8F-4A5B-B524-82C38D561286},0007EDGEB,dllhost.exe,C:\Windows\system32,2164,NT AUTHORITY\SYSTEM
1,"""C:\Program Files\Common Files\mcafee\Platform\mcuicnt.exe"" ""C:\Program Files\Common Files\McAfee\ActWiz\mcactwiz.dll"" nosplash:",0007EDGEB,mcuicnt.exe,C:\Program Files\Common Files\mcafee\Platform,5903,zarwatso67
2,"""C:\Users\zarwatso67\AppData\Local\Temp\scoped_dir9616_4071\mcafee_trial_setup_433.0207.3919_key.exe"" ",0007EDGEB,mcafee_trial_setup_433.0207.3919_key.exe,C:\Users\zarwatso67\AppData\Local\Temp\scoped_dir9616_4071,340,zarwatso67
3,"""C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe"" -ServerName:App.AppXtk181tbxbce2qsex02s8tw7hfxa9xb3t.mca",0007EDGEB,ShellExperienceHost.exe,C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy,4304,NT AUTHORITY\SYSTEM
4,"""C:\Users\micha.perr22\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=2685998191293934672 --lang=en-GB --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=2685998191293934672 --renderer-client-id=12 --mojo-platform-channel-handle=4360 /prefetch:1",0007EDGEB,opera.exe,C:\Users\micha.perr22\AppData\Local\Programs\Opera\56.0.3051.52,3506,micha.perr22
5,"""dwm.exe""",0007EDGEB,dwm.exe,C:\Windows\system32,4152,NT AUTHORITY\SYSTEM
6,C:\ProgramData\McAfee\McInstruTrack\McInstruTrack.exe /SP:0,0007EDGEB,McInstruTrack.exe,C:\ProgramData\McAfee\McInstruTrack,6082,zarwatso67
7,"""C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe"" -ServerName:CortanaUI.AppXa50dqqa5gqv4a428c9y1jjw7m3btvepj.mca",0007EDGEB,SearchUI.exe,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy,4992,NT AUTHORITY\SYSTEM
8,"""C:\Program Files (x86)\TeamViewer\TeamViewer.exe"" ",0007EDGEB,TeamViewer.exe,C:\Program Files (x86)\TeamViewer,507,johpeters96
9,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",0007EDGEB,McApExe.exe,C:\Program Files\Common Files\McAfee\VSCore_18_6,2378,zarwatso67
10,C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork,0007EDGEB,svchost.exe,C:\Windows\system32,3440,NT AUTHORITY\SYSTEM
11,C:\Windows\system32\svchost.exe -k UnistackSvcGroup,0007EDGEB,svchost.exe,C:\Windows\system32,1440,NT AUTHORITY\SYSTEM
13,winlogon.exe,0007EDGEB,winlogon.exe,C:\Windows\system32,4652,NT AUTHORITY\SYSTEM
14,"""C:\Users\micha.perr22\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=12376823585177401963 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=12376823585177401963 --renderer-client-id=7 --mojo-platform-channel-handle=2368 /prefetch:1",0007EDGEB,opera.exe,C:\Users\micha.perr22\AppData\Local\Programs\Opera\56.0.3051.52,2395,micha.perr22
15,"""C:\Program Files (x86)\TeamViewer\tv_w32.exe"" --action hooks  --log C:\Program Files (x86)\TeamViewer\TeamViewer13_Logfile.log  ",0007EDGEB,tv_w32.exe,C:\Program Files (x86)\TeamViewer,4925,johpeters96
16,C:\Windows\Explorer.EXE,0007EDGEB,Explorer.EXE,C:\Windows,4424,NT AUTHORITY\SYSTEM
17,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",0007EDGEB,mcshield.exe,C:\Program Files\Common Files\McAfee\AMCore,2406,zarwatso67
18,\??\C:\Windows\system32\conhost.exe 0x4,0007EDGEB,conhost.exe,C:\Windows\system32,2856,NT AUTHORITY\SYSTEM
19,C:\Windows\system32\svchost.exe -k NetworkService,0007EDGEB,svchost.exe,C:\Windows\system32,3364,NT AUTHORITY\SYSTEM
21,C:\Windows\system32\svchost.exe -k LocalService,0007EDGEB,svchost.exe,C:\Windows\system32,724,NT AUTHORITY\SYSTEM
22,C:\Windows\System32\spoolsv.exe,0007EDGEB,spoolsv.exe,C:\Windows\System32,4528,NT AUTHORITY\SYSTEM
23,C:\ProgramData\McAfee\Direct\McDiReg.exe -MONITOR_PI2 9508,0007EDGEB,McDiReg.exe,C:\ProgramData\McAfee\Direct,1593,zarwatso67
24,"""C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1809.2731.0_x64__8wekyb3d8bbwe\Calculator.exe"" -ServerName:App.AppXsm3pg4n7er43kdh1qp4e79f1j7am68r8.mca",0007EDGEB,Calculator.exe,C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1809.2731.0_x64__8wekyb3d8bbwe,3348,johpeters96
25,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,0007EDGEB,svchost.exe,C:\Windows\System32,1064,NT AUTHORITY\SYSTEM
26,"""C:\Users\micha.perr22\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=6930244878569528683 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6930244878569528683 --renderer-client-id=3 --mojo-platform-channel-handle=2904 /prefetch:1",0007EDGEB,opera.exe,C:\Users\micha.perr22\AppData\Local\Programs\Opera\56.0.3051.52,553,micha.perr22
27,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",0007EDGEB,UIHost.exe,C:\Program Files\McAfee\WebAdvisor,5511,zarwatso67
28,"""C:\Program Files\KeePassXC\KeePassXC.exe"" ",0007EDGEB,KeePassXC.exe,C:\Program Files\KeePassXC,4752,dar.lon
29,ModuleCoreService.exe /startUserModeHosting=4_TIME_TO_DIE,0007EDGEB,ModuleCoreService.exe,c:\program files\common files\mcafee\modulecore,2248,zarwatso67
30,"""C:\Program Files\McAfee\MAT\McPvTray.exe""",0007EDGEB,McPvTray.exe,C:\Program Files\McAfee\MAT,2323,zarwatso67
