,arguments,hostname,name,path,pid,username
0,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",0007EDGNS,mchost.exe,C:\Program Files\Common Files\McAfee\Platform\Core,6046,xav.par72
1,"""C:\Users\briajones31\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=6930244878569528683 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6930244878569528683 --renderer-client-id=3 --mojo-platform-channel-handle=2904 /prefetch:1",0007EDGNS,opera.exe,C:\Users\briajones31\AppData\Local\Programs\Opera\56.0.3051.52,1236,briajones31
2,"""C:\Users\briajones31\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=2685998191293934672 --lang=en-GB --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=2685998191293934672 --renderer-client-id=12 --mojo-platform-channel-handle=4360 /prefetch:1",0007EDGNS,opera.exe,C:\Users\briajones31\AppData\Local\Programs\Opera\56.0.3051.52,4202,briajones31
3,"usr\bin\mintty.exe --nodaemon -o AppID=GitForWindows.Bash -o AppLaunchCmd=""C:\Program Files\Git\git-bash.exe"" -o AppName=""Git Bash"" -i ""C:\Program Files\Git\git-bash.exe"" --store-taskbar-properties -- /usr/bin/bash --login -i",0007EDGNS,mintty.exe,C:\Program Files\Git\usr\bin,3673,svc_hc
4,C:\Windows\system32\svchost.exe -k appmodel,0007EDGNS,svchost.exe,C:\Windows\system32,3384,NT AUTHORITY\SYSTEM
5,"""C:\Users\poppyharri9\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=2685998191293934672 --lang=en-GB --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=2685998191293934672 --renderer-client-id=12 --mojo-platform-channel-handle=4360 /prefetch:1",0007EDGNS,opera.exe,C:\Users\poppyharri9\AppData\Local\Programs\Opera\56.0.3051.52,3013,poppyharri9
6,"C:\Windows\System32\reg.exe add ""HKEY_CURRENT_USER\Control Panel\Desktop"" /v ScreenSaverIsSecure /t REG_SZ /d 0 /f",0007EDGNS,reg.exe,C:\Windows\System32\reg.exe,364,xav.par72
7,"""C:\Program Files\McAfee\WebAdvisor\ServiceHost.exe""",0007EDGNS,ServiceHost.exe,C:\Program Files\McAfee\WebAdvisor,5326,xav.par72
8,"""C:\Program Files\Common Files\McAfee\PEF\CORE\PEFService.exe""",0007EDGNS,PEFService.exe,C:\Program Files\Common Files\McAfee\PEF\CORE,6265,xav.par72
9,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",0007EDGNS,ProtectedModuleHost.exe,C:\Program Files\Common Files\McAfee\ModuleCore,596,xav.par72
