,arguments,hostname,name,path,pid,username
0,"""C:\Program Files\McAfee\MfeAV\MFEAvSvc.exe""",0007FJPWB,MFEAvSvc.exe,C:\Program Files\McAfee\MfeAV,6087,ambe.alexand52
1,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",0007FJPWB,mcshield.exe,C:\Program Files\Common Files\McAfee\AMCore,2500,ambe.alexand52
2,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,0007FJPWB,svchost.exe,C:\Windows\System32,2068,NT AUTHORITY\SYSTEM
3,"""C:\Ruby24-x64\bin\ruby.exe"" ",0007FJPWB,ruby.exe,C:\Ruby24-x64\bin,2732,will.lon
4,C:\Windows\System32\svchost.exe -k secsvcs,0007FJPWB,svchost.exe,C:\Windows\System32,5840,NT AUTHORITY\SYSTEM
5,"""C:\Users\kyl.san67\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --start-maximized --ran-launcher",0007FJPWB,opera.exe,C:\Users\kyl.san67\AppData\Local\Programs\Opera\56.0.3051.52,2538,kyl.san67
6,C:\Windows\system32\SearchIndexer.exe /Embedding,0007FJPWB,SearchIndexer.exe,C:\Windows\system32,1800,NT AUTHORITY\SYSTEM
7,\??\C:\Windows\system32\conhost.exe,0007FJPWB,conhost.exe,C:\Windows\system32,984,NT AUTHORITY\SYSTEM
8,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",0007FJPWB,McApExe.exe,C:\Program Files\Common Files\McAfee\VSCore_18_6,1306,ambe.alexand52
9,"""C:\Users\kyl.san67\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=2685998191293934672 --lang=en-GB --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=2685998191293934672 --renderer-client-id=12 --mojo-platform-channel-handle=4360 /prefetch:1",0007FJPWB,opera.exe,C:\Users\kyl.san67\AppData\Local\Programs\Opera\56.0.3051.52,5908,kyl.san67
