,arguments,hostname,name,path,pid,username
0,C:\Windows\Explorer.EXE,0007FOAEB,Explorer.EXE,C:\Windows,4276,NT AUTHORITY\SYSTEM
1,"""C:\Windows\system32\SearchProtocolHost.exe"" Global\UsGthrFltPipeMssGthrPipe15_ Global\UsGthrCtrlFltPipeMssGthrPipe15 1 -2147483646 ""Software\Microsoft\Windows Search"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)"" ""C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc"" ""DownLevelDaemon"" ",0007FOAEB,SearchProtocolHost.exe,C:\Windows\system32,4592,NT AUTHORITY\SYSTEM
2,winlogon.exe,0007FOAEB,winlogon.exe,C:\Windows\system32,5592,NT AUTHORITY\SYSTEM
3,"""C:\Program Files\CyberGhost 6\CyberGhost.Service.exe""",0007FOAEB,CyberGhost.Service.exe,C:\Program Files\CyberGhost 6,1707,nicbell76
4,"""C:\Windows\system32\wuauclt.exe""",0007FOAEB,wuauclt.exe,C:\Windows\system32,2476,NT AUTHORITY\SYSTEM
5,C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation,0007FOAEB,svchost.exe,C:\Windows\system32,864,NT AUTHORITY\SYSTEM
6,"""C:\Users\dav.pat94\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=16451249972883912486 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=16451249972883912486 --renderer-client-id=4 --mojo-platform-channel-handle=3140 /prefetch:1",0007FOAEB,opera.exe,C:\Users\dav.pat94\AppData\Local\Programs\Opera\56.0.3051.52,5486,dav.pat94
7,C:\ProgramData\McAfee\McInstruTrack\McInstruTrack.exe /SP:0,0007FOAEB,McInstruTrack.exe,C:\ProgramData\McAfee\McInstruTrack,984,iri.jone4
8,C:\Windows\system32\lsm.exe,0007FOAEB,lsm.exe,C:\Windows\system32,3908,NT AUTHORITY\SYSTEM
9,"""C:\Program Files\PuTTY\putty.exe"" ",0007FOAEB,putty.exe,C:\Program Files\PuTTY,4882,dav.pat94
10,"""C:\Program Files\WindowsApps\Microsoft.MicrosoftStickyNotes_3.0.119.0_x64__8wekyb3d8bbwe\Microsoft.Notes.exe"" -ServerName:App.AppX495fygk72hjw82j58ny5h3nr8hpsd8vs.mca",0007FOAEB,Microsoft.Notes.exe,C:\Program Files\WindowsApps\Microsoft.MicrosoftStickyNotes_3.0.119.0_x64__8wekyb3d8bbwe,5775,iri.jone4
12,"""C:\Users\dav.pat94\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=12376823585177401963 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=12376823585177401963 --renderer-client-id=7 --mojo-platform-channel-handle=2368 /prefetch:1",0007FOAEB,opera.exe,C:\Users\dav.pat94\AppData\Local\Programs\Opera\56.0.3051.52,2096,dav.pat94
13,"""taskhost.exe""",0007FOAEB,taskhost.exe,C:\Windows\system32,6376,NT AUTHORITY\SYSTEM
14,"""C:\Windows\system32\mspaint.exe"" ",0007FOAEB,mspaint.exe,C:\Windows\system32,3971,nicbell76
15,"""C:\Program Files\McAfee\WebAdvisor\ServiceHost.exe""",0007FOAEB,ServiceHost.exe,C:\Program Files\McAfee\WebAdvisor,4413,iri.jone4
16,C:\Windows\System32\VBoxService.exe,0007FOAEB,VBoxService.exe,C:\Windows\System32,3164,NT AUTHORITY\SYSTEM
17,\??\C:\Windows\system32\conhost.exe,0007FOAEB,conhost.exe,C:\Windows\system32,1932,NT AUTHORITY\SYSTEM
18,"""C:\Program Files\Common Files\McAfee\TaskScheduler\McAMTaskAgent.exe"" -Embedding",0007FOAEB,McAMTaskAgent.exe,C:\Program Files\Common Files\McAfee\TaskScheduler,2535,iri.jone4
19,"""C:\Users\dav.pat94\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=6930244878569528683 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6930244878569528683 --renderer-client-id=3 --mojo-platform-channel-handle=2904 /prefetch:1",0007FOAEB,opera.exe,C:\Users\dav.pat94\AppData\Local\Programs\Opera\56.0.3051.52,3324,dav.pat94
20,"""C:\Users\iri.jone4\AppData\Local\Temp\scoped_dir9616_4071\mcafee_trial_setup_433.0207.3919_key.exe"" ",0007FOAEB,mcafee_trial_setup_433.0207.3919_key.exe,C:\Users\iri.jone4\AppData\Local\Temp\scoped_dir9616_4071,617,iri.jone4
21,C:\Windows\System32\spoolsv.exe,0007FOAEB,spoolsv.exe,C:\Windows\System32,40,NT AUTHORITY\SYSTEM
23,"""C:\Users\darc.flore1\AppData\Local\Programs\Python\Python37\python.exe"" ",0007FOAEB,python.exe,C:\Users\darc.flore1\AppData\Local\Programs\Python\Python37,890,darc.flore1
