,arguments,hostname,name,path,pid,username
0,"""C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1809.2731.0_x64__8wekyb3d8bbwe\Calculator.exe"" -ServerName:App.AppXsm3pg4n7er43kdh1qp4e79f1j7am68r8.mca",0007KTXNE,Calculator.exe,C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1809.2731.0_x64__8wekyb3d8bbwe,4944,lotti.richards
1,C:\Windows\system32\sppsvc.exe,0007KTXNE,sppsvc.exe,C:\Windows\system32,496,NT AUTHORITY\SYSTEM
2,"""C:\Windows\system32\Dwm.exe""",0007KTXNE,Dwm.exe,C:\Windows\system32,108,NT AUTHORITY\SYSTEM
3,C:\Windows\System32\VBoxService.exe,0007KTXNE,VBoxService.exe,C:\Windows\System32,2300,NT AUTHORITY\SYSTEM
4,"""taskhost.exe""",0007KTXNE,taskhost.exe,C:\Windows\system32,5488,NT AUTHORITY\SYSTEM
5,"""C:\Program Files\McAfee\MAT\McPvTray.exe""",0007KTXNE,McPvTray.exe,C:\Program Files\McAfee\MAT,419,amelibrook
6,"C:\Users\lotti.richards\AppData\Local\Programs\Opera\56.0.3051.52\opera_crashreporter.exe --type=crashpad-handler /prefetch:7 --monitor-self-annotation=ptype=crashpad-handler ""--database=C:\Users\lotti.richards\AppData\Roaming\Opera Software\Opera Stable\Crash Reports"" ""--crash-count-file=C:\Users\lotti.richards\AppData\Roaming\Opera Software\Opera Stable\crash_count.txt"" --url=https://crashstats-collector.opera.com/collector/submit --annotation=channel=Stable --annotation=plat=Win64 --annotation=prod=OperaDesktop --annotation=ver=56.0.3051.52 --initial-client-data=0x238 0x304 0x30c 0x320 0x308 0x7ffb51313108 0x7ffb51313118 0x7ffb51313128",0007KTXNE,opera_crashreporter.exe,C:\Users\lotti.richards\AppData\Local\Programs\Opera\56.0.3051.52,3421,lotti.richards
7,C:\Windows\system32\lsm.exe,0007KTXNE,lsm.exe,C:\Windows\system32,1524,NT AUTHORITY\SYSTEM
8,C:\Windows\system32\lsass.exe,0007KTXNE,lsass.exe,C:\Windows\system32,1676,NT AUTHORITY\SYSTEM
9,C:\Windows\System32\spoolsv.exe,0007KTXNE,spoolsv.exe,C:\Windows\System32,1376,NT AUTHORITY\SYSTEM
10,"""C:\Windows\system32\wuauclt.exe""",0007KTXNE,wuauclt.exe,C:\Windows\system32,5444,NT AUTHORITY\SYSTEM
11,C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork,0007KTXNE,svchost.exe,C:\Windows\system32,3116,NT AUTHORITY\SYSTEM
12,"C:\Users\amelibrook\AppData\Local\slack\app-3.1.1\slack.exe --reporter-url=https://slack.com/apps/breakpad?instanceUid=c116fa6f-e78f-4f7e-9927-09567265c493&amp;version=3.1.1&amp;channel=prod --application-name=Slack ""--crashes-directory=C:\Users\amelibrook\AppData\Local\Temp\Slack Crashes"" --v=1",0007KTXNE,slack.exe,C:\Users\amelibrook\AppData\Local\slack\app-3.1.1,1491,amelibrook
