,arguments,hostname,name,path,pid,username
0,"""C:\Users\bryphill15\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=gpu-process --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --gpu-preferences=KAAAAAAAAACAAwBAAQAAAAAAAAAAAGAAAAAAAAAAAAAIAAAAAAAAACgAAAAEAAAAIAAAAAAAAAAoAAAAAAAAADAAAAAAAAAAOAAAAAAAAAAQAAAAAAAAAAAAAAAKAAAAEAAAAAAAAAAAAAAACwAAABAAAAAAAAAAAQAAAAoAAAAQAAAAAAAAAAEAAAALAAAA --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --service-request-channel-token=7207758415534163028 --mojo-platform-channel-handle=1472 --ignored="" --type=renderer "" /prefetch:2",0007TFKSC,opera.exe,C:\Users\bryphill15\AppData\Local\Programs\Opera\56.0.3051.52,2347,bryphill15
1,"""C:\Users\bryphill15\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=6930244878569528683 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6930244878569528683 --renderer-client-id=3 --mojo-platform-channel-handle=2904 /prefetch:1",0007TFKSC,opera.exe,C:\Users\bryphill15\AppData\Local\Programs\Opera\56.0.3051.52,1412,bryphill15
2,"""C:\Program Files (x86)\VMware\VMware Player\vmware-authd.exe""",0007TFKSC,vmware-authd.exe,C:\Program Files (x86)\VMware\VMware Player,2249,jasmin.washin
3,"""C:\Users\bryphill15\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --start-maximized --ran-launcher",0007TFKSC,opera.exe,C:\Users\bryphill15\AppData\Local\Programs\Opera\56.0.3051.52,6006,bryphill15
4,C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation,0007TFKSC,svchost.exe,C:\Windows\system32,5424,NT AUTHORITY\SYSTEM
5,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",0007TFKSC,mchost.exe,C:\Program Files\Common Files\McAfee\Platform\Core,4913,jasmin.washin
6,C:\Windows\system32\lsm.exe,0007TFKSC,lsm.exe,C:\Windows\system32,1220,NT AUTHORITY\SYSTEM
7,C:\Windows\system32\svchost.exe -k DcomLaunch,0007TFKSC,svchost.exe,C:\Windows\system32,2832,NT AUTHORITY\SYSTEM
8,"""C:\ProgramData\McAfee\Direct\McDiReg.exe"" ",0007TFKSC,McDiReg.exe,C:\ProgramData\McAfee\Direct,1295,jasmin.washin
9,C:\ProgramData\McAfee\Direct\McDiReg.exe -MONITOR_PI2 9508,0007TFKSC,McDiReg.exe,C:\ProgramData\McAfee\Direct,701,jasmin.washin
10,C:\Windows\System32\svchost.exe -k LocalServicePeerNet,0007TFKSC,svchost.exe,C:\Windows\System32,1156,NT AUTHORITY\SYSTEM
13,"""C:\Windows\system32\wuauclt.exe""",0007TFKSC,wuauclt.exe,C:\Windows\system32,5464,NT AUTHORITY\SYSTEM
14,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,0007TFKSC,svchost.exe,C:\Windows\System32,3352,NT AUTHORITY\SYSTEM
15,"""C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE"" MMSCOM homenetsvc",0007TFKSC,MMSSHOST.EXE,C:\Program Files\Common Files\McAfee\MMSSHost,4247,jasmin.washin
16,C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork,0007TFKSC,svchost.exe,C:\Windows\system32,6120,NT AUTHORITY\SYSTEM
17,"""C:\Program Files\Microsoft SQL Server\MSSQL14.SQLEXPRESS\MSSQL\Binn\sqlservr.exe"" -sSQLEXPRESS",0007TFKSC,sqlservr.exe,C:\Program Files\Microsoft SQL Server\MSSQL14.SQLEXPRESS\MSSQL\Binn,4552,johpeters96
18,"""C:\Users\zoetho\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",0007TFKSC,OneDrive.exe,C:\Users\zoetho\AppData\Local\Microsoft\OneDrive,6342,zoetho
