,arguments,hostname,name,path,pid,username
0,C:\Windows\system32\svchost.exe -k LocalService,0007TFKSL,svchost.exe,C:\Windows\system32,5448,NT AUTHORITY\SYSTEM
1,"""C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE"" MMSCOM homenetsvc",0007TFKSL,MMSSHOST.EXE,C:\Program Files\Common Files\McAfee\MMSSHost,6452,darc.flore1
2,C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235},0007TFKSL,dllhost.exe,C:\Windows\system32,1460,NT AUTHORITY\SYSTEM
3,"""C:\Users\zarwatso67\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=6930244878569528683 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6930244878569528683 --renderer-client-id=3 --mojo-platform-channel-handle=2904 /prefetch:1",0007TFKSL,opera.exe,C:\Users\zarwatso67\AppData\Local\Programs\Opera\56.0.3051.52,2958,zarwatso67
4,C:\Windows\system32\svchost.exe -k DcomLaunch,0007TFKSL,svchost.exe,C:\Windows\system32,3532,NT AUTHORITY\SYSTEM
5,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",0007TFKSL,mcshield.exe,C:\Program Files\Common Files\McAfee\AMCore,4488,darc.flore1
6,C:\ProgramData\McAfee\McInstruTrack\McInstruTrack.exe /SP:0,0007TFKSL,McInstruTrack.exe,C:\ProgramData\McAfee\McInstruTrack,4221,darc.flore1
7,"""C:\Users\darc.flore1\AppData\Local\Temp\scoped_dir9616_4071\mcafee_trial_setup_433.0207.3919_key.exe"" ",0007TFKSL,mcafee_trial_setup_433.0207.3919_key.exe,C:\Users\darc.flore1\AppData\Local\Temp\scoped_dir9616_4071,5496,darc.flore1
8,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",0007TFKSL,ProtectedModuleHost.exe,C:\Program Files\Common Files\McAfee\ModuleCore,4878,darc.flore1
9,C:\Windows\system32\dllhost.exe /Processid:{3EAE8C5E-B51F-4CBD-9DCE-FA6AA0BDF8B8},0007TFKSL,dllhost.exe,C:\Windows\system32,2464,NT AUTHORITY\SYSTEM
10,C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted,0007TFKSL,svchost.exe,C:\Windows\system32,6000,NT AUTHORITY\SYSTEM
11,"""C:\Users\zarwatso67\AppData\Local\slack\app-3.1.1\slack.exe"" --type=gpu-process --no-sandbox --supports-dual-gpus=false --gpu-driver-bug-workarounds=7 10 11 20 24 26 43 63 76 --disable-gl-extensions=""GL_KHR_blend_equation_advanced GL_KHR_blend_equation_advanced_coherent"" --gpu-vendor-id=0x8086 --gpu-device-id=0x0a16 --gpu-driver-vendor=""Intel Corporation"" --gpu-driver-version=20.19.15.4331 --gpu-driver-date=11-18-2015 --service-request-channel-token=801A57F64621336F74806802DB83B30B --mojo-platform-channel-handle=1628 /prefetch:2",0007TFKSL,slack.exe,C:\Users\zarwatso67\AppData\Local\slack\app-3.1.1,3619,zarwatso67
12,C:\Windows\System32\spoolsv.exe,0007TFKSL,spoolsv.exe,C:\Windows\System32,2300,NT AUTHORITY\SYSTEM
