,arguments,hostname,name,path,pid,username
0,"C:\Users\cartemor\AppData\Local\Programs\Opera\56.0.3051.52\opera_crashreporter.exe --type=crashpad-handler /prefetch:7 --monitor-self-annotation=ptype=crashpad-handler ""--database=C:\Users\cartemor\AppData\Roaming\Opera Software\Opera Stable\Crash Reports"" ""--crash-count-file=C:\Users\cartemor\AppData\Roaming\Opera Software\Opera Stable\crash_count.txt"" --url=https://crashstats-collector.opera.com/collector/submit --annotation=channel=Stable --annotation=plat=Win64 --annotation=prod=OperaDesktop --annotation=ver=56.0.3051.52 --initial-client-data=0x238 0x304 0x30c 0x320 0x308 0x7ffb51313108 0x7ffb51313118 0x7ffb51313128",0008EDGSL,opera_crashreporter.exe,C:\Users\cartemor\AppData\Local\Programs\Opera\56.0.3051.52,1047,cartemor
1,"""C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe"" -ServerName:WindowsDefaultLockScreen.AppX7y4nbzq37zn4ks9k7amqjywdat7d3j2z.mca",0008EDGSL,LockApp.exe,C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy,5964,NT AUTHORITY\SYSTEM
2,c:\windows\system32\svchost.exe -k netsvcs -p -s LanmanServer,0008EDGSL,svchost.exe,c:\windows\system32,2640,NT AUTHORITY\SYSTEM
3,c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s PcaSvc,0008EDGSL,svchost.exe,c:\windows\system32,3488,NT AUTHORITY\SYSTEM
4,c:\windows\system32\svchost.exe -k localservice -p -s bthserv,0008EDGSL,svchost.exe,c:\windows\system32,5848,NT AUTHORITY\SYSTEM
5,c:\windows\system32\svchost.exe -k netsvcs -p -s Appinfo,0008EDGSL,svchost.exe,c:\windows\system32,4836,NT AUTHORITY\SYSTEM
6,c:\windows\system32\svchost.exe -k netsvcs -p -s WpnService,0008EDGSL,svchost.exe,c:\windows\system32,372,NT AUTHORITY\SYSTEM
7,c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s DsSvc,0008EDGSL,svchost.exe,c:\windows\system32,4316,NT AUTHORITY\SYSTEM
8,"""C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe"" -ServerName:CortanaUI.AppXa50dqqa5gqv4a428c9y1jjw7m3btvepj.mca",0008EDGSL,SearchUI.exe,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy,4560,NT AUTHORITY\SYSTEM
9,"""C:\Windows\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe"" -ServerName:ContentProcess.AppX6z3cwk4fvgady6zya12j1cw28d228a7k.mca",0008EDGSL,MicrosoftEdgeCP.exe,C:\Windows\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe,5596,will.lon
