,arguments,hostname,name,path,pid,username
0,c:\windows\system32\svchost.exe -k networkservice -p -s NlaSvc,0008EPUNE,svchost.exe,c:\windows\system32,3248,NT AUTHORITY\SYSTEM
1,"C:\Users\darc.flore1\AppData\Local\slack\app-3.1.1\slack.exe --reporter-url=https://slack.com/apps/breakpad?instanceUid=c116fa6f-e78f-4f7e-9927-09567265c493&amp;version=3.1.1&amp;channel=prod --application-name=Slack ""--crashes-directory=C:\Users\darc.flore1\AppData\Local\Temp\Slack Crashes"" --v=1",0008EPUNE,slack.exe,C:\Users\darc.flore1\AppData\Local\slack\app-3.1.1,5829,darc.flore1
2,c:\windows\system32\svchost.exe -k netsvcs -p -s BITS,0008EPUNE,svchost.exe,c:\windows\system32,1024,NT AUTHORITY\SYSTEM
3,c:\windows\system32\svchost.exe -k netsvcs -p -s lfsvc,0008EPUNE,svchost.exe,c:\windows\system32,4288,NT AUTHORITY\SYSTEM
4,"""C:\Users\zarwatso67\AppData\Local\GitHubDesktop\app-1.4.3\GitHubDesktop.exe"" --squirrel-firstrun",0008EPUNE,GitHubDesktop.exe,C:\Users\zarwatso67\AppData\Local\GitHubDesktop\app-1.4.3,6099,zarwatso67
5,"""c:\program files\common files\mcafee\modulecore\modulecoreservice.exe""",0008EPUNE,modulecoreservice.exe,c:\program files\common files\mcafee\modulecore,570,svc_cb
6,"""C:\Windows\system32\mspaint.exe"" ",0008EPUNE,mspaint.exe,C:\Windows\system32,5679,zarwatso67
7,c:\windows\system32\svchost.exe -k netsvcs -p -s SENS,0008EPUNE,svchost.exe,c:\windows\system32,5612,NT AUTHORITY\SYSTEM
8,c:\windows\system32\svchost.exe -k localservice -p -s netprofm,0008EPUNE,svchost.exe,c:\windows\system32,5072,NT AUTHORITY\SYSTEM
9,c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s PcaSvc,0008EPUNE,svchost.exe,c:\windows\system32,1652,NT AUTHORITY\SYSTEM
10,c:\windows\system32\svchost.exe -k unistacksvcgroup -s WpnUserService,0008EPUNE,svchost.exe,c:\windows\system32,4964,NT AUTHORITY\SYSTEM
11,c:\windows\system32\svchost.exe -k localservice -p -s bthserv,0008EPUNE,svchost.exe,c:\windows\system32,4100,NT AUTHORITY\SYSTEM
12,,0008EPUNE,svchost.exe,,5684,NT AUTHORITY\SYSTEM
13,c:\windows\system32\svchost.exe -k localservicenetworkrestricted -s BTAGService,0008EPUNE,svchost.exe,c:\windows\system32,3660,NT AUTHORITY\SYSTEM
14,"""C:\Program Files (x86)\TeamViewer\TeamViewer_Service.exe""",0008EPUNE,TeamViewer_Service.exe,C:\Program Files (x86)\TeamViewer,3035,annagra
15,c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s SysMain,0008EPUNE,svchost.exe,c:\windows\system32,2468,NT AUTHORITY\SYSTEM
16,"""C:\Windows\system32\SearchFilterHost.exe"" 0 736 740 748 8192 744 ",0008EPUNE,SearchFilterHost.exe,C:\Windows\system32,3144,NT AUTHORITY\SYSTEM
17,c:\windows\system32\svchost.exe -k localserviceandnoimpersonation -p -s SSDPSRV,0008EPUNE,svchost.exe,c:\windows\system32,5588,NT AUTHORITY\SYSTEM
18,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p,0008EPUNE,svchost.exe,C:\Windows\System32,3992,NT AUTHORITY\SYSTEM
19,C:\Windows\System32\RuntimeBroker.exe -Embedding,0008EPUNE,RuntimeBroker.exe,C:\Windows\System32,5404,NT AUTHORITY\SYSTEM
20,"""C:\Program Files\WindowsApps\Microsoft.MicrosoftStickyNotes_3.0.119.0_x64__8wekyb3d8bbwe\Microsoft.Notes.exe"" -ServerName:App.AppX495fygk72hjw82j58ny5h3nr8hpsd8vs.mca",0008EPUNE,Microsoft.Notes.exe,C:\Program Files\WindowsApps\Microsoft.MicrosoftStickyNotes_3.0.119.0_x64__8wekyb3d8bbwe,2558,lotti.richards
21,c:\windows\system32\svchost.exe -k dcomlaunch -p -s PlugPlay,0008EPUNE,svchost.exe,c:\windows\system32,4368,NT AUTHORITY\SYSTEM
22,C:\Windows\system32\DllHost.exe /Processid:{973D20D7-562D-44B9-B70B-5A0F49CCDF3F},0008EPUNE,DllHost.exe,C:\Windows\system32,6084,NT AUTHORITY\SYSTEM
