,arguments,hostname,name,path,pid,username
0,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",0008FOAWE,McApExe.exe,C:\Program Files\Common Files\McAfee\VSCore_18_6,4044,adri.benn59
1,"C:\Users\may.allen\AppData\Local\Programs\Opera\56.0.3051.52\opera_crashreporter.exe --type=crashpad-handler /prefetch:7 --monitor-self-annotation=ptype=crashpad-handler ""--database=C:\Users\may.allen\AppData\Roaming\Opera Software\Opera Stable\Crash Reports"" ""--crash-count-file=C:\Users\may.allen\AppData\Roaming\Opera Software\Opera Stable\crash_count.txt"" --url=https://crashstats-collector.opera.com/collector/submit --annotation=channel=Stable --annotation=plat=Win64 --annotation=prod=OperaDesktop --annotation=ver=56.0.3051.52 --initial-client-data=0x238 0x304 0x30c 0x320 0x308 0x7ffb51313108 0x7ffb51313118 0x7ffb51313128",0008FOAWE,opera_crashreporter.exe,C:\Users\may.allen\AppData\Local\Programs\Opera\56.0.3051.52,1421,may.allen
2,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,0008FOAWE,svchost.exe,C:\Windows\System32,3144,NT AUTHORITY\SYSTEM
3,C:\Windows\system32\sppsvc.exe,0008FOAWE,sppsvc.exe,C:\Windows\system32,896,NT AUTHORITY\SYSTEM
4,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",0008FOAWE,UIHost.exe,C:\Program Files\McAfee\WebAdvisor,4556,adri.benn59
5,C:\Windows\System32\svchost.exe -k secsvcs,0008FOAWE,svchost.exe,C:\Windows\System32,1416,NT AUTHORITY\SYSTEM
6,C:\ProgramData\McAfee\Direct\McDiReg.exe -MONITOR_PI2 9508,0008FOAWE,McDiReg.exe,C:\ProgramData\McAfee\Direct,1928,adri.benn59
7,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",0008FOAWE,mcshield.exe,C:\Program Files\Common Files\McAfee\AMCore,2900,adri.benn59
8,C:\Windows\system32\lsass.exe,0008FOAWE,lsass.exe,C:\Windows\system32,5800,NT AUTHORITY\SYSTEM
9,C:\ProgramData\McAfee\McInstruTrack\McInstruTrack.exe /SP:0,0008FOAWE,McInstruTrack.exe,C:\ProgramData\McAfee\McInstruTrack,4601,adri.benn59
10,"""c:\program files\common files\mcafee\modulecore\modulecoreservice.exe""",0008FOAWE,modulecoreservice.exe,c:\program files\common files\mcafee\modulecore,287,adri.benn59
11,"""C:\Users\may.allen\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --start-maximized --ran-launcher",0008FOAWE,opera.exe,C:\Users\may.allen\AppData\Local\Programs\Opera\56.0.3051.52,5576,may.allen
12,ModuleCoreService.exe /startUserModeHosting=4_TIME_TO_DIE,0008FOAWE,ModuleCoreService.exe,c:\program files\common files\mcafee\modulecore,359,adri.benn59
13,"""C:\Users\may.allen\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=2685998191293934672 --lang=en-GB --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=2685998191293934672 --renderer-client-id=12 --mojo-platform-channel-handle=4360 /prefetch:1",0008FOAWE,opera.exe,C:\Users\may.allen\AppData\Local\Programs\Opera\56.0.3051.52,2523,may.allen
14,"""C:\Program Files\Common Files\mcafee\Platform\mcuicnt.exe"" ""C:\Program Files\Common Files\McAfee\ActWiz\mcactwiz.dll"" nosplash:",0008FOAWE,mcuicnt.exe,C:\Program Files\Common Files\mcafee\Platform,1750,adri.benn59
