,arguments,hostname,name,path,pid,username
0,C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted,0008LKOWC,svchost.exe,C:\Windows\system32,5860,NT AUTHORITY\SYSTEM
1,"""C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.33.41.0_x64__kzf8qxf38zg5c\SkypeBackgroundHost.exe"" -ServerName:SkypeBackgroundHost",0008LKOWC,SkypeBackgroundHost.exe,C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.33.41.0_x64__kzf8qxf38zg5c,3339,johpeters96
2,"""C:\Program Files\McAfee\WebAdvisor\ServiceHost.exe""",0008LKOWC,ServiceHost.exe,C:\Program Files\McAfee\WebAdvisor,988,emm.ale52
3,C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork,0008LKOWC,svchost.exe,C:\Windows\system32,3084,NT AUTHORITY\SYSTEM
4,"""C:\Program Files\internet explorer\iexplore.exe"" ",0008LKOWC,iexplore.exe,C:\Program Files\internet explorer,6107,johpeters96
6,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,0008LKOWC,svchost.exe,C:\Windows\System32,5552,NT AUTHORITY\SYSTEM
7,"""C:\Users\Administrator\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=gpu-process --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --gpu-preferences=KAAAAAAAAACAAwBAAQAAAAAAAAAAAGAAAAAAAAAAAAAIAAAAAAAAACgAAAAEAAAAIAAAAAAAAAAoAAAAAAAAADAAAAAAAAAAOAAAAAAAAAAQAAAAAAAAAAAAAAAKAAAAEAAAAAAAAAAAAAAACwAAABAAAAAAAAAAAQAAAAoAAAAQAAAAAAAAAAEAAAALAAAA --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --service-request-channel-token=7207758415534163028 --mojo-platform-channel-handle=1472 --ignored="" --type=renderer "" /prefetch:2",0008LKOWC,opera.exe,C:\Users\Administrator\AppData\Local\Programs\Opera\56.0.3051.52,565,Administrator
8,"""C:\Users\Administrator\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --start-maximized --ran-launcher",0008LKOWC,opera.exe,C:\Users\Administrator\AppData\Local\Programs\Opera\56.0.3051.52,971,Administrator
9,"""C:\Program Files\Common Files\McAfee\TaskScheduler\McAMTaskAgent.exe"" -Embedding",0008LKOWC,McAMTaskAgent.exe,C:\Program Files\Common Files\McAfee\TaskScheduler,466,emm.ale52
10,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",0008LKOWC,ProtectedModuleHost.exe,C:\Program Files\Common Files\McAfee\ModuleCore,3751,emm.ale52
11,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",0008LKOWC,McApExe.exe,C:\Program Files\Common Files\McAfee\VSCore_18_6,2943,emm.ale52
12,C:\ProgramData\McAfee\McInstruTrack\McInstruTrack.exe /SP:0,0008LKOWC,McInstruTrack.exe,C:\ProgramData\McAfee\McInstruTrack,519,emm.ale52
13,"""C:\Users\emm.ale52\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",0008LKOWC,OneDrive.exe,C:\Users\emm.ale52\AppData\Local\Microsoft\OneDrive,2547,emm.ale52
14,"""dwm.exe""",0008LKOWC,dwm.exe,C:\Windows\system32,3148,NT AUTHORITY\SYSTEM
16,"""C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe"" -ServerName:App.AppXtk181tbxbce2qsex02s8tw7hfxa9xb3t.mca",0008LKOWC,ShellExperienceHost.exe,C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy,6108,NT AUTHORITY\SYSTEM
17,"""C:\ProgramData\McAfee\Direct\McDiReg.exe"" ",0008LKOWC,McDiReg.exe,C:\ProgramData\McAfee\Direct,2952,emm.ale52
18,"""c:\program files\common files\mcafee\modulecore\modulecoreservice.exe""",0008LKOWC,modulecoreservice.exe,c:\program files\common files\mcafee\modulecore,1659,emm.ale52
19,"""C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe""",0008LKOWC,armsvc.exe,C:\Program Files (x86)\Common Files\Adobe\ARM\1.0,4152,johpeters96
20,"""C:\Program Files\Wireshark\Wireshark.exe"" ",0008LKOWC,Wireshark.exe,C:\Program Files\Wireshark,6282,emm.ale52
21,"""C:\Program Files\Common Files\McAfee\PEF\CORE\PEFService.exe""",0008LKOWC,PEFService.exe,C:\Program Files\Common Files\McAfee\PEF\CORE,1155,emm.ale52
22,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",0008LKOWC,mcshield.exe,C:\Program Files\Common Files\McAfee\AMCore,3644,emm.ale52
23,"C:\WINDOWS\system32\cmd.exe /c """"C:\Ruby24-x64\bin\irb.cmd"" """,0008LKOWC,cmd.exe,C:\WINDOWS\system32,1732,Administrator
24,\??\C:\Windows\system32\conhost.exe 0x4,0008LKOWC,conhost.exe,C:\Windows\system32,2712,NT AUTHORITY\SYSTEM
25,C:\Windows\System32\svchost.exe -k smbsvcs,0008LKOWC,svchost.exe,C:\Windows\System32,568,NT AUTHORITY\SYSTEM
26,winlogon.exe,0008LKOWC,winlogon.exe,C:\Windows\system32,5804,NT AUTHORITY\SYSTEM
27,C:\Windows\system32\lsass.exe,0008LKOWC,lsass.exe,C:\Windows\system32,120,NT AUTHORITY\SYSTEM
28,C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235},0008LKOWC,dllhost.exe,C:\Windows\system32,4260,NT AUTHORITY\SYSTEM
29,"""C:\Program Files\Common Files\mcafee\Platform\mcuicnt.exe"" ""C:\Program Files\Common Files\McAfee\ActWiz\mcactwiz.dll"" nosplash:",0008LKOWC,mcuicnt.exe,C:\Program Files\Common Files\mcafee\Platform,4954,emm.ale52
30,"""C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe"" --type=renderer /prefetch:1",0008LKOWC,AcroRd32.exe,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader,6216,johpeters96
31,sihost.exe,0008LKOWC,sihost.exe,C:\Windows\System32,5068,NT AUTHORITY\SYSTEM
32,ModuleCoreService.exe /startUserModeHosting=4_TIME_TO_DIE,0008LKOWC,ModuleCoreService.exe,c:\program files\common files\mcafee\modulecore,574,emm.ale52
33,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe Get-Date,0008LKOWC,powershell.exe,C:\Windows\System32\powershell.exe,5472,johpeters96
