,arguments,hostname,name,path,pid,username
0,"""LogonUI.exe"" /flags:0x0 /state0:0xa3a5d855 /state1:0x41c64e6d",0008NDIWL,LogonUI.exe,C:\Windows\system32,3128,NT AUTHORITY\SYSTEM
1,winlogon.exe,0008NDIWL,winlogon.exe,C:\Windows\system32,960,NT AUTHORITY\SYSTEM
2,C:\Windows\System32\msdtc.exe,0008NDIWL,msdtc.exe,C:\Windows\System32,2248,NT AUTHORITY\SYSTEM
3,"""C:\Ruby24-x64\bin\ruby.exe"" ",0008NDIWL,ruby.exe,C:\Ruby24-x64\bin,807,emil.benne
4,"""C:\Users\darci.wood8\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=16451249972883912486 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=16451249972883912486 --renderer-client-id=4 --mojo-platform-channel-handle=3140 /prefetch:1",0008NDIWL,opera.exe,C:\Users\darci.wood8\AppData\Local\Programs\Opera\56.0.3051.52,5618,darci.wood8
5,C:\Windows\System32\RuntimeBroker.exe -Embedding,0008NDIWL,RuntimeBroker.exe,C:\Windows\System32,5964,NT AUTHORITY\SYSTEM
6,"""C:\Program Files\Windows Defender\\MpCmdRun.exe"" SpyNetServiceDss -RestrictPrivileges -AccessKey 5BDCBEBD-E077-6957-0484-82901932C7EC -Reinvoke",0008NDIWL,MpCmdRun.exe,C:\Program Files\Windows Defender,5832,NT AUTHORITY\SYSTEM
7,C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation,0008NDIWL,svchost.exe,C:\Windows\system32,4376,NT AUTHORITY\SYSTEM
8,C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork,0008NDIWL,svchost.exe,C:\Windows\system32,3376,NT AUTHORITY\SYSTEM
9,C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235},0008NDIWL,dllhost.exe,C:\Windows\system32,3152,NT AUTHORITY\SYSTEM
10,/loadhooks /Parent:0000000000001188,0008NDIWL,TabTip32.exe,C:\Program Files (x86)\Common Files\Microsoft Shared\Ink,1328,NT AUTHORITY\SYSTEM
11,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",0008NDIWL,ProtectedModuleHost.exe,C:\Program Files\Common Files\McAfee\ModuleCore,5335,matild.howard8
12,"""dwm.exe""",0008NDIWL,dwm.exe,C:\Windows\system32,2460,NT AUTHORITY\SYSTEM
13,C:\Windows\system32\dllhost.exe /Processid:{A7CCA429-5F8F-4A5B-B524-82C38D561286},0008NDIWL,dllhost.exe,C:\Windows\system32,2980,NT AUTHORITY\SYSTEM
14,C:\Windows\system32\svchost.exe -k RPCSS,0008NDIWL,svchost.exe,C:\Windows\system32,3632,NT AUTHORITY\SYSTEM
15,"C:\WINDOWS\system32\cmd.exe /c """"C:\Ruby24-x64\bin\irb.cmd"" """,0008NDIWL,cmd.exe,C:\WINDOWS\system32,3986,emil.benne
17,"""C:\Users\matild.howard8\AppData\Local\Temp\scoped_dir9616_4071\mcafee_trial_setup_433.0207.3919_key.exe"" ",0008NDIWL,mcafee_trial_setup_433.0207.3919_key.exe,C:\Users\matild.howard8\AppData\Local\Temp\scoped_dir9616_4071,2145,matild.howard8
18,"""C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE"" ",0008NDIWL,WINWORD.EXE,C:\Program Files\Microsoft Office\root\Office16,2597,mat.robinson7
19,"""C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe"" -ServerName:App.AppXtk181tbxbce2qsex02s8tw7hfxa9xb3t.mca",0008NDIWL,ShellExperienceHost.exe,C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy,760,NT AUTHORITY\SYSTEM
21,"""C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE"" MMSCOM homenetsvc",0008NDIWL,MMSSHOST.EXE,C:\Program Files\Common Files\McAfee\MMSSHost,2819,matild.howard8
23,"""C:\Users\darci.wood8\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=2685998191293934672 --lang=en-GB --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=2685998191293934672 --renderer-client-id=12 --mojo-platform-channel-handle=4360 /prefetch:1",0008NDIWL,opera.exe,C:\Users\darci.wood8\AppData\Local\Programs\Opera\56.0.3051.52,1110,darci.wood8
24,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,0008NDIWL,svchost.exe,C:\Windows\System32,2208,NT AUTHORITY\SYSTEM
25,taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E},0008NDIWL,taskhostw.exe,C:\Windows\System32,5008,NT AUTHORITY\SYSTEM
26,C:\Windows\system32\svchost.exe -k LocalService,0008NDIWL,svchost.exe,C:\Windows\system32,6416,NT AUTHORITY\SYSTEM
27,ModuleCoreService.exe /startUserModeHosting=4_TIME_TO_DIE,0008NDIWL,ModuleCoreService.exe,c:\program files\common files\mcafee\modulecore,4534,matild.howard8
28,C:\Windows\Explorer.EXE,0008NDIWL,Explorer.EXE,C:\Windows,5344,NT AUTHORITY\SYSTEM
29,"""C:\Program Files (x86)\OpenOffice 4\program\soffice.exe"" ",0008NDIWL,soffice.exe,C:\Program Files (x86)\OpenOffice 4\program,4080,emil.benne
