,arguments,hostname,name,path,pid,username
0,C:\Windows\System32\spoolsv.exe,0008WQUES,spoolsv.exe,C:\Windows\System32,5696,NT AUTHORITY\SYSTEM
1,C:\Windows\Explorer.EXE,0008WQUES,Explorer.EXE,C:\Windows,2040,NT AUTHORITY\SYSTEM
2,\??\C:\Windows\system32\conhost.exe,0008WQUES,conhost.exe,C:\Windows\system32,4904,NT AUTHORITY\SYSTEM
3,"""C:\Program Files\Common Files\mcafee\Platform\mcuicnt.exe"" ""C:\Program Files\Common Files\McAfee\ActWiz\mcactwiz.dll"" nosplash:",0008WQUES,mcuicnt.exe,C:\Program Files\Common Files\mcafee\Platform,1683,matild.howard8
4,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,0008WQUES,svchost.exe,C:\Windows\System32,4880,NT AUTHORITY\SYSTEM
5,"""C:\Program Files\Common Files\McAfee\TaskScheduler\McAMTaskAgent.exe"" -Embedding",0008WQUES,McAMTaskAgent.exe,C:\Program Files\Common Files\McAfee\TaskScheduler,3214,matild.howard8
6,C:\Windows\system32\svchost.exe -k DcomLaunch,0008WQUES,svchost.exe,C:\Windows\system32,3292,NT AUTHORITY\SYSTEM
7,C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation,0008WQUES,svchost.exe,C:\Windows\system32,628,NT AUTHORITY\SYSTEM
8,C:\Windows\System32\VBoxService.exe,0008WQUES,VBoxService.exe,C:\Windows\System32,4204,NT AUTHORITY\SYSTEM
9,C:\Windows\system32\SearchIndexer.exe /Embedding,0008WQUES,SearchIndexer.exe,C:\Windows\system32,940,NT AUTHORITY\SYSTEM
10,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",0008WQUES,McApExe.exe,C:\Program Files\Common Files\McAfee\VSCore_18_6,4987,matild.howard8
11,"""C:\Users\emma.ward12\AppData\Local\GoToMeeting\9508\g2mstart.exe"" ""/Action Host"" ""/BrokerServiceSuffix @ISL1"" ""/Build 9508"" ""/Download Auto"" ""/EGWAddress 216.115.208.230"" ""/EGWDNS egwglobal.gotomeeting.com"" ""/EGWPort 80 443 8200"" ""/Mode Normal"" ""/Product g2m"" ""/colClientUiReadyEvent Global\55848945-2CEA-4978-BF24-0C6A3B11E66E"" ""/sessionTrackingId e0-PH0LsK8MFgg2A9ZkKW16jt2JkQ4bP""",0008WQUES,g2mstart.exe,C:\Users\emma.ward12\AppData\Local\GoToMeeting\9508,5825,emma.ward12
12,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",0008WQUES,UIHost.exe,C:\Program Files\McAfee\WebAdvisor,2058,matild.howard8
13,"""C:\Windows\system32\Dwm.exe""",0008WQUES,Dwm.exe,C:\Windows\system32,6292,NT AUTHORITY\SYSTEM
15,"""C:\Program Files\Common Files\McAfee\CSP\3.0.127.0\\McCSPServiceHost.exe""",0008WQUES,McCSPServiceHost.exe,C:\Program Files\Common Files\McAfee\CSP\3.0.127.0,389,matild.howard8
17,"""C:\Users\martha.hay\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --start-maximized --ran-launcher",0008WQUES,opera.exe,C:\Users\martha.hay\AppData\Local\Programs\Opera\56.0.3051.52,5214,martha.hay
18,"""C:\Windows\system32\wuauclt.exe""",0008WQUES,wuauclt.exe,C:\Windows\system32,2548,NT AUTHORITY\SYSTEM
19,"""C:\Program Files\Windows Media Player\wmpnetwk.exe""",0008WQUES,wmpnetwk.exe,C:\Program Files\Windows Media Player,1012,NT AUTHORITY\SYSTEM
20,"""C:\Program Files\CCleaner\CCleaner.exe"" /uac",0008WQUES,CCleaner64.exe,C:\Program Files\CCleaner,1983,matild.howard8
21,"""c:\program files\common files\mcafee\modulecore\modulecoreservice.exe""",0008WQUES,modulecoreservice.exe,c:\program files\common files\mcafee\modulecore,6301,matild.howard8
24,winlogon.exe,0008WQUES,winlogon.exe,C:\Windows\system32,6496,NT AUTHORITY\SYSTEM
26,wininit.exe,0008WQUES,wininit.exe,C:\Windows\system32,3660,NT AUTHORITY\SYSTEM
27,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,0008WQUES,svchost.exe,C:\Windows\System32,4516,NT AUTHORITY\SYSTEM
28,"""C:\Program Files\McAfee\WebAdvisor\ServiceHost.exe""",0008WQUES,ServiceHost.exe,C:\Program Files\McAfee\WebAdvisor,3944,matild.howard8
29,C:\Windows\system32\svchost.exe -k NetworkService,0008WQUES,svchost.exe,C:\Windows\system32,6080,NT AUTHORITY\SYSTEM
31,"""C:\Program Files\McAfee\MfeAV\MFEAvSvc.exe""",0008WQUES,MFEAvSvc.exe,C:\Program Files\McAfee\MfeAV,3216,matild.howard8
32,"""C:\Users\nicbell76\Documents\kitty-0.70.0.6.exe"" ",0008WQUES,kitty-0.70.0.6.exe,C:\Users\nicbell76\Documents,4183,nicbell76
