,arguments,hostname,name,path,pid,username
0,"""C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE"" MMSCOM homenetsvc",0009DPUEC,MMSSHOST.EXE,C:\Program Files\Common Files\McAfee\MMSSHost,1194,xav.par72
1,"""C:\Users\roseros80\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --start-maximized --ran-launcher",0009DPUEC,opera.exe,C:\Users\roseros80\AppData\Local\Programs\Opera\56.0.3051.52,5095,roseros80
2,C:\Windows\system32\svchost.exe -k LocalService,0009DPUEC,svchost.exe,C:\Windows\system32,5652,NT AUTHORITY\SYSTEM
3,"""C:\Users\roseros80\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=2685998191293934672 --lang=en-GB --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=2685998191293934672 --renderer-client-id=12 --mojo-platform-channel-handle=4360 /prefetch:1",0009DPUEC,opera.exe,C:\Users\roseros80\AppData\Local\Programs\Opera\56.0.3051.52,3890,roseros80
4,C:\ProgramData\McAfee\Direct\McDiReg.exe -MONITOR_PI2 9508,0009DPUEC,McDiReg.exe,C:\ProgramData\McAfee\Direct,1819,xav.par72
5,"""C:\Program Files\McAfee\MfeAV\MFEAvSvc.exe""",0009DPUEC,MFEAvSvc.exe,C:\Program Files\McAfee\MfeAV,804,xav.par72
6,"""C:\Users\xav.par72\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=6930244878569528683 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6930244878569528683 --renderer-client-id=3 --mojo-platform-channel-handle=2904 /prefetch:1",0009DPUEC,opera.exe,C:\Users\xav.par72\AppData\Local\Programs\Opera\56.0.3051.52,5236,xav.par72
7,C:\Windows\system32\svchost.exe -k RPCSS,0009DPUEC,svchost.exe,C:\Windows\system32,4248,NT AUTHORITY\SYSTEM
8,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",0009DPUEC,mcshield.exe,C:\Program Files\Common Files\McAfee\AMCore,5275,xav.par72
9,"""C:\ProgramData\McAfee\Direct\McDiReg.exe"" ",0009DPUEC,McDiReg.exe,C:\ProgramData\McAfee\Direct,617,xav.par72
10,"""C:\Program Files\Common Files\mcafee\Platform\mcuicnt.exe"" ""C:\Program Files\Common Files\McAfee\ActWiz\mcactwiz.dll"" nosplash:",0009DPUEC,mcuicnt.exe,C:\Program Files\Common Files\mcafee\Platform,3297,xav.par72
12,C:\Windows\System32\msdtc.exe,0009DPUEC,msdtc.exe,C:\Windows\System32,1460,NT AUTHORITY\SYSTEM
