,arguments,hostname,name,path,pid,username
0,C:\Windows\system32\svchost.exe -k RPCSS,0009FSIWE,svchost.exe,C:\Windows\system32,76,NT AUTHORITY\SYSTEM
1,"""C:\Program Files\Common Files\McAfee\CSP\3.0.127.0\\McCSPServiceHost.exe""",0009FSIWE,McCSPServiceHost.exe,C:\Program Files\Common Files\McAfee\CSP\3.0.127.0,5315,lea.russel33
2,"""C:\Windows\system32\Dwm.exe""",0009FSIWE,Dwm.exe,C:\Windows\system32,1236,NT AUTHORITY\SYSTEM
3,C:\Windows\system32\services.exe,0009FSIWE,services.exe,C:\Windows\system32,1368,NT AUTHORITY\SYSTEM
4,"""C:\Program Files\McAfee\MAT\McPvTray.exe""",0009FSIWE,McPvTray.exe,C:\Program Files\McAfee\MAT,3224,lea.russel33
5,"""C:\Users\setnels67\AppData\Local\GitHubDesktop\app-1.4.3\GitHubDesktop.exe"" --type=gpu-process --no-sandbox --supports-dual-gpus=false --gpu-driver-bug-workarounds=9 12 13 23 27 29 49 70 84 --disable-gl-extensions=""GL_KHR_blend_equation_advanced GL_KHR_blend_equation_advanced_coherent"" --gpu-vendor-id=0x8086 --gpu-device-id=0x0a16 --gpu-driver-vendor=""Intel Corporation"" --gpu-driver-version=20.19.15.4331 --gpu-driver-date=11-18-2015 --service-request-channel-token=29571E74A71F5219E432184D13D76C95 --mojo-platform-channel-handle=1732 /prefetch:2",0009FSIWE,GitHubDesktop.exe,C:\Users\setnels67\AppData\Local\GitHubDesktop\app-1.4.3,3356,setnels67
6,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",0009FSIWE,McApExe.exe,C:\Program Files\Common Files\McAfee\VSCore_18_6,1275,lea.russel33
7,"""C:\Users\lea.russel33\AppData\Local\Temp\scoped_dir9616_4071\mcafee_trial_setup_433.0207.3919_key.exe"" ",0009FSIWE,mcafee_trial_setup_433.0207.3919_key.exe,C:\Users\lea.russel33\AppData\Local\Temp\scoped_dir9616_4071,3306,lea.russel33
8,"""C:\Users\kyl.san67\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=12376823585177401963 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=12376823585177401963 --renderer-client-id=7 --mojo-platform-channel-handle=2368 /prefetch:1",0009FSIWE,opera.exe,C:\Users\kyl.san67\AppData\Local\Programs\Opera\56.0.3051.52,1318,kyl.san67
9,"""C:\Program Files\Common Files\McAfee\TaskScheduler\McAMTaskAgent.exe"" -Embedding",0009FSIWE,McAMTaskAgent.exe,C:\Program Files\Common Files\McAfee\TaskScheduler,6224,lea.russel33
